symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason
BTC/USDT,2021-06-12 00:00:00+00:00,2021-06-15 00:00:00+00:00,37337.6,40543.0,0.08151439022879847,3,ROTATION_EXIT
LTC/USDT,2021-06-12 00:00:00+00:00,2021-06-18 00:00:00+00:00,162.759,167.11,0.02263404304263905,6,ROTATION_EXIT
DOGE/USDT,2021-06-27 00:00:00+00:00,2021-06-30 00:00:00+00:00,0.24575,0.26348,0.06786646442618305,3,ROTATION_EXIT
ETH/USDT,2021-06-30 00:00:00+00:00,2021-07-03 00:00:00+00:00,2164.68,2154.23,-0.008800247869838684,3,ROTATION_EXIT
DOGE/USDT,2021-07-06 00:00:00+00:00,2021-07-09 00:00:00+00:00,0.23099,0.20714,-0.10683105843380558,3,ROTATION_EXIT
LINK/USDT,2021-07-09 00:00:00+00:00,2021-07-12 00:00:00+00:00,18.3552,18.3726,-0.003047839989477108,3,ROTATION_EXIT
DOT/USDT,2021-07-09 00:00:00+00:00,2021-07-15 00:00:00+00:00,15.3116,13.8035,-0.10209277883533863,6,ROTATION_EXIT
BTC/USDT,2021-07-15 00:00:00+00:00,2021-07-18 00:00:00+00:00,32819.3,31520.2,-0.04341741419581069,3,ROTATION_EXIT
XRP/USDT,2021-07-15 00:00:00+00:00,2021-07-18 00:00:00+00:00,0.61972,0.58231,-0.06411700577416135,3,ROTATION_EXIT
XLM/USDT,2021-07-24 00:00:00+00:00,2021-07-27 00:00:00+00:00,0.268868,0.26036,-0.03550947408187333,3,ROTATION_EXIT
LINK/USDT,2021-07-27 00:00:00+00:00,2021-07-30 00:00:00+00:00,18.0397,19.3815,0.07009145066242639,3,ROTATION_EXIT
XRP/USDT,2021-07-30 00:00:00+00:00,2021-08-02 00:00:00+00:00,0.74901,0.72413,-0.03707659246599371,3,ROTATION_EXIT
DOT/USDT,2021-07-30 00:00:00+00:00,2021-08-05 00:00:00+00:00,15.2513,19.1478,0.25047449572473846,6,ROTATION_EXIT
LINK/USDT,2021-08-05 00:00:00+00:00,2021-08-08 00:00:00+00:00,24.1856,24.6957,0.017014850624234468,3,ROTATION_EXIT
DOGE/USDT,2021-08-08 00:00:00+00:00,2021-08-11 00:00:00+00:00,0.26185,0.25737,-0.021032748328052908,3,ROTATION_EXIT
XRP/USDT,2021-08-11 00:00:00+00:00,2021-08-14 00:00:00+00:00,0.85117,1.08965,0.275068552463549,3,ROTATION_EXIT
ADA/USDT,2021-08-11 00:00:00+00:00,2021-08-17 00:00:00+00:00,1.678234,2.071202,0.22922889688977466,6,ROTATION_EXIT
DOGE/USDT,2021-08-17 00:00:00+00:00,2021-08-20 00:00:00+00:00,0.31945,0.31784,-0.00901180890683817,3,ROTATION_EXIT
LINK/USDT,2021-08-17 00:00:00+00:00,2021-08-20 00:00:00+00:00,27.9559,27.076,-0.03534094142386024,3,ROTATION_EXIT
BNB/USDT,2021-08-20 00:00:00+00:00,2021-08-23 00:00:00+00:00,431.1,448.63,0.036509074173619815,3,ROTATION_EXIT
BNB/USDT,2021-08-26 00:00:00+00:00,2021-08-29 00:00:00+00:00,503.294,485.965,-0.03828573366644583,3,ROTATION_EXIT
BTC/USDT,2021-08-26 00:00:00+00:00,2021-08-29 00:00:00+00:00,48983.2,48890.0,-0.005887113554823631,3,ROTATION_EXIT
ETH/USDT,2021-08-29 00:00:00+00:00,2021-09-01 00:00:00+00:00,3244.26,3430.01,0.05303438852292386,3,ROTATION_EXIT
LTC/USDT,2021-09-04 00:00:00+00:00,2021-09-07 00:00:00+00:00,213.0,219.419,0.026023830273725013,3,ROTATION_EXIT
XRP/USDT,2021-09-07 00:00:00+00:00,2021-09-10 00:00:00+00:00,1.38957,1.08654,-0.2211961146469339,3,ROTATION_EXIT
LINK/USDT,2021-09-07 00:00:00+00:00,2021-09-10 00:00:00+00:00,34.8208,27.991,-0.19935040317747077,3,ROTATION_EXIT
