label_id,available_rows,total_rows
FORWARD_1D_RETURN,4710,4710
FORWARD_3D_RETURN,4680,4710
FORWARD_7D_CLOSE_TO_CLOSE_RETURN,4680,4710
FORWARD_14D_RETURN,4650,4710
FORWARD_28D_RETURN,4590,4710
FORWARD_7D_MAX_FAVOURABLE_EXCURSION,4680,4710
FORWARD_7D_MAX_ADVERSE_EXCURSION,4680,4710
