signal_id,original_7d_bh_p_value,block_28_raw_p_value,block_28_bh_p_value,classification,confirmation_eligible
REVERSAL_1BAR_VOL_NORMALIZED,1.0,0.5111488851114888,1.0,NOT_SIGNIFICANT_IN_EITHER,False
REVERSAL_3BAR_VOL_NORMALIZED,0.2483751624837516,0.0893910608939106,0.26817318268173185,NOT_SIGNIFICANT_IN_EITHER,False
REVERSAL_6BAR_VOL_NORMALIZED,0.0011248875112488,0.00029997000299970003,0.001124887511248875,ROBUST_TO_28D_BLOCK,False
DISTANCE_FROM_EMA20_ATR_4H,0.0007499250074992,9.999000099990002e-05,0.0004999500049995001,ROBUST_TO_28D_BLOCK,False
RETURN_6BAR,1.0,1.0,1.0,NOT_SIGNIFICANT_IN_EITHER,False
RETURN_18BAR,1.0,1.0,1.0,NOT_SIGNIFICANT_IN_EITHER,False
RETURN_42BAR,1.0,1.0,1.0,NOT_SIGNIFICANT_IN_EITHER,False
XSM_18BAR_SKIP_1BAR,1.0,1.0,1.0,NOT_SIGNIFICANT_IN_EITHER,False
DONCHIAN_42_POSITION,1.0,0.9998000199980002,1.0,NOT_SIGNIFICANT_IN_EITHER,False
PATH_EFFICIENCY_42BAR,1.0,1.0,1.0,NOT_SIGNIFICANT_IN_EITHER,False
VOLATILITY_CONTRACTION_BREAKOUT_4H,0.9886511348865114,0.33656634336566343,0.8414158584141586,NOT_SIGNIFICANT_IN_EITHER,False
QUOTE_TURNOVER_ACCELERATION_6_42,1.0,0.9577042295770423,1.0,NOT_SIGNIFICANT_IN_EITHER,False
PRICE_TURNOVER_CONFIRMATION_18,1.0,0.8634136586341365,1.0,NOT_SIGNIFICANT_IN_EITHER,False
LOW_REALIZED_VOLATILITY_42,0.0007499250074992,9.999000099990002e-05,0.0004999500049995001,ROBUST_TO_28D_BLOCK,False
DRAWDOWN_RESILIENCE_42,0.000999900009999,9.999000099990002e-05,0.0004999500049995001,ROBUST_TO_28D_BLOCK,False
