reconciliation_id,component_source,target_source,expected_component_bars,aggregate_rows,target_rows,mismatch_count,status,tolerance,details
4H_TO_OHLCV_8H,OHLCV_4H,OHLCV_8H,2,229883,229883,0,PASS,1e-10 absolute; source IEEE float storage,open=first; high=max; low=min; close=last; volume=sum; UTC buckets
4H_TO_OHLCV_1D,OHLCV_4H,OHLCV_1D,6,76612,76612,0,PASS,1e-10 absolute; source IEEE float storage,open=first; high=max; low=min; close=last; volume=sum; UTC buckets
