pattern_id,denominator_rule,WF01_denominator,WF01_events,WF01_rate,WF01_valid,WF02_denominator,WF02_events,WF02_rate,WF02_valid,WF03_denominator,WF03_events,WF03_rate,WF03_valid,aggregate_denominator,aggregate_events,aggregate_rate,valid_folds,observed_folds,all_folds_observed,minimum_valid_fold_rate,maximum_valid_fold_rate,valid_fold_rate_range,median_valid_fold_rate,policy_authorized
winner_to_loser_10pct,eligible_mfe_10pct,15,8,0.5333333333333333,True,27,4,0.14814814814814814,True,32,7,0.21875,True,74,19,0.25675675675675674,3,3,True,0.14814814814814814,0.5333333333333333,0.3851851851851852,0.21875,False
severe_giveback_after_10pct,eligible_mfe_10pct,15,10,0.6666666666666666,True,27,9,0.3333333333333333,True,32,11,0.34375,True,74,30,0.40540540540540543,3,3,True,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.34375,False
early_peak_severe_giveback,eligible_mfe_10pct,15,5,0.3333333333333333,True,27,5,0.18518518518518517,True,32,6,0.1875,True,74,16,0.21621621621621623,3,3,True,0.18518518518518517,0.3333333333333333,0.14814814814814814,0.1875,False
deep_mae_close_recovery,deep_mae_10pct,15,2,0.13333333333333333,True,25,4,0.16,True,33,20,0.6060606060606061,True,73,26,0.3561643835616438,3,3,True,0.13333333333333333,0.6060606060606061,0.4727272727272728,0.16,False
deep_mae_profitable_exit,deep_mae_10pct,15,1,0.06666666666666667,True,25,3,0.12,True,33,10,0.30303030303030304,True,73,14,0.1917808219178082,3,3,True,0.06666666666666667,0.30303030303030304,0.2363636363636364,0.12,False
stale_loser_14d,ALL_TRADES,29,6,0.20689655172413793,True,59,6,0.1016949152542373,True,59,8,0.13559322033898305,True,147,20,0.1360544217687075,3,3,True,0.1016949152542373,0.20689655172413793,0.10520163646990063,0.13559322033898305,False
