symbol,population,membership_exit_event_count,fixed_post_exit_net_pnl,union_post_exit_net_pnl,mean_return_4w,mean_mfe_8w,mean_mae_8w,reentered_pit_later
1INCH,REMOVED_PIT_ENTRANTS,1,0.0,0.0,-0.018064009424700544,0.25705870803063036,-0.17321814254859602,True
BAL,REMOVED_PIT_ENTRANTS,1,0.0,0.0,-0.04862899560672618,0.19678836539918199,-0.181942129980306,False
BAT,REMOVED_PIT_ENTRANTS,4,0.0,0.0,-0.0656044466382196,0.24597769508588363,-0.3886132565841447,True
COMP,REMOVED_PIT_ENTRANTS,12,0.0,0.0,0.09407062500623453,0.43844601802520283,-0.29998790029622063,True
DASH,REMOVED_PIT_ENTRANTS,4,0.0,0.0,-0.05046675967428671,0.15244143928970788,-0.29856728596982063,True
DOT,REMOVED_SURVIVORS,1,-2050.471317573178,0.0,-0.2664141819387831,0.06305699093836603,-0.35808967487242027,False
FTT,REMOVED_PIT_ENTRANTS,6,0.0,0.0,0.258921128469164,1.4892906639320518,-0.20861253754871456,True
LPT,REMOVED_PIT_ENTRANTS,2,0.0,0.0,0.21660490922903808,0.4792235881789336,-0.4324672578966393,True
LRC,REMOVED_PIT_ENTRANTS,6,0.0,0.0,0.058522380387842854,0.36769981757449816,-0.18098927638798745,True
PAXG,REMOVED_PIT_ENTRANTS,7,0.0,0.0,0.011102163959473055,0.18211542682998874,-0.05308267145079141,True
SNX,REMOVED_SURVIVORS,2,0.0,0.0,-0.021712391350790727,0.669420458772022,-0.4269053617479679,True
SUSHI,REMOVED_PIT_ENTRANTS,1,0.0,0.0,-0.21954887218045116,0.09215896885069808,-0.40816326530612246,False
UMA,REMOVED_PIT_ENTRANTS,2,0.0,0.0,-0.15636613914885972,0.1115512286142667,-0.5367984911304424,True
XTZ,REMOVED_PIT_ENTRANTS,1,0.0,0.0,-0.22742163911974356,0.12001198368973132,-0.5349861487222585,False
ZEC,REMOVED_SURVIVORS,3,0.0,0.0,-0.03730831173889918,0.5173471312028995,-0.3091199077628744,True
ZRX,REMOVED_PIT_ENTRANTS,1,0.0,0.0,-0.20194174757281558,0.0,-0.44563106796116503,False
