signal_id,available_rows,total_rows
REVERSAL_1BAR_VOL_NORMALIZED,98435,98460
REVERSAL_3BAR_VOL_NORMALIZED,98435,98460
REVERSAL_6BAR_VOL_NORMALIZED,98435,98460
DISTANCE_FROM_EMA20_ATR_4H,98458,98460
RETURN_6BAR,98460,98460
RETURN_18BAR,98458,98460
RETURN_42BAR,98435,98460
XSM_18BAR_SKIP_1BAR,98458,98460
DONCHIAN_42_POSITION,98435,98460
PATH_EFFICIENCY_42BAR,98435,98460
VOLATILITY_CONTRACTION_BREAKOUT_4H,98339,98460
QUOTE_TURNOVER_ACCELERATION_6_42,97202,98460
PRICE_TURNOVER_CONFIRMATION_18,97202,98460
LOW_REALIZED_VOLATILITY_42,98435,98460
DRAWDOWN_RESILIENCE_42,98437,98460
