source_id,event_id,publisher,source_type,publication_date,title,url,evidence_summary,supports_event_start,supports_terminal_status,supports_direct_symbol_mapping
SRC-TERRA-IMF-20220624,TERRA_UST_LUNA_COLLAPSE_2022,INTERNATIONAL_MONETARY_FUND,CENTRAL_BANK_OR_MULTILATERAL_ANALYSIS,2022-06-24,Cryptocurrencies and Decentralized Finance,https://www.imf.org/en/news/articles/2022/06/24/sp083022-cryptocurrencies-and-decentralized-finance,"The IMF identifies 9 May 2022 as the TerraUSD collapse date, describes the failed UST peg mechanism and the linked collapse of LUNA and the Terra system.",True,True,True
SRC-TERRA-SEC-20230216,TERRA_UST_LUNA_COLLAPSE_2022,UNITED_STATES_SEC,GOVERNMENT_ENFORCEMENT,2023-02-16,SEC Charges Terraform and CEO Do Kwon with Defrauding Investors in Crypto Schemes,https://www.sec.gov/newsroom/press-releases/2023-32,"The SEC identifies UST as Terraform's algorithmic stablecoin, LUNA as its linked token, and states that UST depegged in May 2022 while UST and sister-token prices fell close to zero.",False,True,True
SRC-CELSIUS-DOJ-20230713,CELSIUS_INSOLVENCY_2022,UNITED_STATES_DEPARTMENT_OF_JUSTICE,GOVERNMENT_ENFORCEMENT,2023-07-13,Celsius Founder and Former Chief Revenue Officer Charged in Connection with Multibillion-Dollar Fraud,https://www.justice.gov/usao-sdny/pr/celsius-founder-and-former-chief-revenue-officer-charged-connection-multibillion,"The DOJ states Celsius halted customer withdrawals on 12 June 2022, filed for Chapter 11 on 13 July 2022, and identifies CEL as Celsius's proprietary token.",True,True,True
SRC-CELSIUS-FTC-20230713,CELSIUS_INSOLVENCY_2022,UNITED_STATES_FTC,GOVERNMENT_CONSUMER_PROTECTION,2023-07-13,FTC Reaches Settlement with Crypto Platform Celsius Network,https://www.ftc.gov/news-events/news/press-releases/2023/07/ftc-reaches-settlement-crypto-platform-celsius-network-charges-former-executives-duping-consumers,"The FTC describes Celsius as bankrupt, states customers lost access to assets, and records allegations that the platform and executives misrepresented liquidity and safety.",False,True,False
SRC-VOYAGER-ISSUER-20220701,VOYAGER_INSOLVENCY_2022,VOYAGER_DIGITAL,ISSUER_CONTEMPORANEOUS_STATEMENT,2022-07-01,Voyager Digital Provides Market Update,https://www.prnewswire.com/news-releases/voyager-digital-provides-market-update-301579827.html,"Voyager announced suspension of trading, deposits, withdrawals and loyalty rewards effective 14:00 EDT on 1 July 2022 after a counterparty default.",True,False,False
SRC-VOYAGER-FTC-20231012,VOYAGER_INSOLVENCY_2022,UNITED_STATES_FTC,GOVERNMENT_CONSUMER_PROTECTION,2023-10-12,FTC Reaches Settlement with Crypto Company Voyager Digital,https://www.ftc.gov/news-events/news/press-releases/2023/10/ftc-reaches-settlement-crypto-company-voyager-digital-charges-former-executive-falsely-claiming,"The FTC identifies Voyager as bankrupt, records that customers lost access to assets, and states Voyager declared bankruptcy in July 2022.",False,True,False
SRC-FTX-CFTC-20221213,FTX_FTT_COLLAPSE_2022,UNITED_STATES_CFTC,GOVERNMENT_ENFORCEMENT,2022-12-13,"CFTC Charges Sam Bankman-Fried, FTX Trading and Alameda with Fraud and Material Misrepresentations",https://www.cftc.gov/PressRoom/PressReleases/8638-22,The CFTC alleges fraud and misappropriation through 11 November 2022 and records losses exceeding eight billion dollars in customer deposits.,True,True,False
SRC-FTX-SEC-20221221,FTX_FTT_COLLAPSE_2022,UNITED_STATES_SEC,GOVERNMENT_ENFORCEMENT,2022-12-21,SEC Charges Caroline Ellison and Gary Wang with Defrauding Investors in Crypto Asset Trading Platform FTX,https://www.sec.gov/newsroom/press-releases/2022-234,"The SEC identifies FTT as an FTX-issued token, alleges its price was manipulated to support collateral values, and describes the collapse of FTT and FTX in November 2022.",False,True,True
SRC-USDC-FED-20240223,USDC_SVB_DEPEG_2023,UNITED_STATES_FEDERAL_RESERVE,CENTRAL_BANK_OR_MULTILATERAL_ANALYSIS,2024-02-23,Primary and Secondary Markets for Stablecoins,https://www.federalreserve.gov/econres/notes/feds-notes/primary-and-secondary-markets-for-stablecoins-20240223.html,The Federal Reserve states that on 10 March 2023 Circle reported reserves at Silicon Valley Bank and USDC then depegged significantly in secondary markets.,True,False,True
SRC-USDC-CIRCLE-20230313,USDC_SVB_DEPEG_2023,CIRCLE,ISSUER_CONTEMPORANEOUS_STATEMENT,2023-03-13,"$3.3 Billion of USDC Reserve Risk Removed, Dollar De-peg Closes",https://www.circle.com/pressroom/3-3-billion-of-usdc-reserve-risk-removed-dollar-de-peg-closes,Circle states that the reserve exposure would become fully available and explicitly describes the dollar depeg as closed.,False,True,True
