canonical_symbol,entity_class,namespace,contract_address,mapping_start,mapping_end,effective_history_known,raw_catalog_supported,pilot_mapping_usable,exclusion_reason,silent_exclusion
1INCH,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
AAVE,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
ADA,NATIVE_CHAIN_ASSET,cardano,,,2024-12-31T23:59:59Z,True,True,True,,False
ALGO,NATIVE_CHAIN_ASSET,algorand,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
AVAX,NATIVE_CHAIN_ASSET,avalanche_c,,,2024-12-31T23:59:59Z,True,True,True,,False
BAL,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
BAT,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
BCH,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
BTC,NATIVE_CHAIN_ASSET,bitcoin,,,2024-12-31T23:59:59Z,True,True,True,,False
COMP,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
CRO,NATIVE_CHAIN_ASSET,cronos,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
CRV,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
DASH,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
DOGE,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
DOT,NATIVE_CHAIN_ASSET,polkadot,,,2024-12-31T23:59:59Z,True,True,True,,False
ETC,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
ETH,NATIVE_CHAIN_ASSET,ethereum,,,2024-12-31T23:59:59Z,True,True,True,,False
FLOW,NATIVE_CHAIN_ASSET,flow,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
FTT,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
ICP,NATIVE_CHAIN_ASSET,icp,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
LDO,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
LINK,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
LPT,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
LRC,PROTOCOL_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
LTC,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,True,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
MANA,UNSUPPORTED_CHAIN_OR_ENTITY,,,,2024-12-31T23:59:59Z,False,False,False,NO_CAUSAL_NATIVE_OR_CONTRACT_EFFECTIVE_MAPPING,False
