group_name,trade_count,winning_trade_count,losing_trade_count,net_pnl,gross_pnl,loss_amount,mean_return_fraction,maximum_adverse_excursion,event_id,entity,primary_category,direct_symbols,event_start_utc,association_end_utc,persistence_mode,pre_event_exposure_count,event_window_entry_count
TERRA_UST_LUNA_COLLAPSE_2022,0,0,0,0,0,0,,,TERRA_UST_LUNA_COLLAPSE_2022,TERRAFORM_LABS_TERRA,STABLECOIN_OR_PEG_FAILURE,LUNA|UST,2022-05-09T00:00:00Z,2025-01-01T00:00:00Z,TERMINAL_IMPAIRMENT,0,0
CELSIUS_INSOLVENCY_2022,0,0,0,0,0,0,,,CELSIUS_INSOLVENCY_2022,CELSIUS_NETWORK,FRAUD_OR_INSOLVENCY,CEL,2022-06-12T00:00:00Z,2025-01-01T00:00:00Z,TERMINAL_IMPAIRMENT,0,0
VOYAGER_INSOLVENCY_2022,0,0,0,0,0,0,,,VOYAGER_INSOLVENCY_2022,VOYAGER_DIGITAL,FRAUD_OR_INSOLVENCY,VGX,2022-07-01T18:00:00Z,2025-01-01T00:00:00Z,TERMINAL_IMPAIRMENT,0,0
FTX_FTT_COLLAPSE_2022,7,3,4,-10657.287679340297,-10169.94302606538,15450.620217626374,-0.07931972535152379,-0.4514224369296833,FTX_FTT_COLLAPSE_2022,FTX_TRADING_ALAMEDA,FRAUD_OR_INSOLVENCY,FTT,2022-11-11T00:00:00Z,2025-01-01T00:00:00Z,TERMINAL_IMPAIRMENT,0,7
USDC_SVB_DEPEG_2023,0,0,0,0,0,0,,,USDC_SVB_DEPEG_2023,CIRCLE_USDC,STABLECOIN_OR_PEG_FAILURE,USDC,2023-03-10T00:00:00Z,2023-03-14T00:00:00Z,ACUTE_RECOVERED,0,0
