signal_id,mean_one_way_turnover,median_turnover,mean_gross_top_excess,mean_cost_proxy,mean_net_top_excess_proxy,retention_share
BN_TAKER_BUY_IMBALANCE_1,0.7387820512820512,0.6666666666666666,-0.00024930329380590976,0.0014775641025641026,-0.0017268673963700125,0.2605311355311355
BN_TAKER_BUY_IMBALANCE_6,0.6829212454212453,0.6666666666666666,-0.00038755457909745594,0.001365842490842491,-0.0017533970699399467,0.3163919413919414
BN_TAKER_BUY_IMBALANCE_18,0.3633241758241758,0.3333333333333333,-0.000669768362478085,0.0007266483516483517,-0.0013964167141264367,0.635989010989011
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,0.7165750915750915,0.6666666666666666,-0.0004891556784386679,0.0014331501831501834,-0.001922305861588851,0.28273809523809523
BN_TRADE_COUNT_ZSCORE_42,0.6879578754578755,0.6666666666666666,0.00013488644735457122,0.001375915750915751,-0.0012410293035611797,0.31135531135531136
BN_TRADE_COUNT_ACCEL_6_42,0.6078296703296703,0.6666666666666666,-1.4346439028665298e-05,0.0012156593406593406,-0.001230005779688006,0.3914835164835165
BN_AVG_TRADE_SIZE_ACCEL_6_42,0.6039377289377289,0.6666666666666666,-0.0003324829336727006,0.001207875457875458,-0.0015403583915481582,0.39537545787545786
BN_FLOW_PRICE_CONFIRMATION_6,0.7477106227106226,0.8333333333333333,-0.0002792590210484434,0.0014954212454212454,-0.0017746802664696886,0.2516025641025641
BN_KC_RETURN_DIVERGENCE_1,0.7284798534798533,0.6666666666666666,-0.00017961949484195808,0.001456959706959707,-0.0016365792018016652,0.27083333333333337
BN_KC_RETURN_DIVERGENCE_6,0.8875915750915749,0.8333333333333333,-2.4190438183886095e-05,0.0017751831501831505,-0.0017993735883670365,0.11172161172161171
BN_KC_PRICE_BASIS_REVERSION_42,0.7779304029304028,0.8333333333333333,-0.00043090860799691776,0.0015558608058608059,-0.0019867694138577235,0.2213827838827839
BN_KC_TURNOVER_SHARE_ACCEL_6_42,0.6057692307692307,0.6666666666666666,0.001131945968722314,0.0012115384615384616,-7.959249281614749e-05,0.39354395604395603
BN_LOG_MEDIAN_QUOTE_TURNOVER_42,0.03365384615384615,0.0,0.000360154161033116,6.73076923076923e-05,0.00029284646872542364,0.9656593406593407
BN_LOW_REALIZED_VOLATILITY_42,0.11286630036630035,0.16666666666666666,6.397881064179467e-05,0.00022573260073260074,-0.00016175379009080617,0.8864468864468865
