trade_id,symbol,entry_timestamp,exit_timestamp,entry_price,exit_price,quantity,entry_fee,exit_fee,gross_pnl,net_pnl,holding_bars,exit_reason
TRADE-000001,BTC/USDT,2019-10-28T00:00:00Z,2019-11-17T00:00:00Z,9238.016699999998,8466.66455,1.0563937864185171,9.758983440710493,8.944131822309929,-814.8516184005628,-833.5547336635832,20,HEALTH_SCORE_CONFIRMED_DETERIORATION
TRADE-000002,BTC/USDT,2020-01-09T00:00:00Z,2020-03-02T00:00:00Z,8154.075,8520.1378,1.9863114997039084,16.196532941948146,16.92364769120196,727.1147492538131,693.994568620663,53,HEALTH_SCORE_CONFIRMED_DETERIORATION
TRADE-000003,ETH/USDT,2020-01-08T00:00:00Z,2020-03-13T00:00:00Z,144.20206499999998,132.8206992857143,87.64218084252416,12.638183458595421,11.640695746429092,-997.4877121663283,-1021.7665913713528,65,INITIAL_PROTECTIVE_STOP
TRADE-000004,ADA/USDT,2020-04-08T00:00:00Z,2020-04-14T00:00:00Z,0.035965974,0.03208323607142857,255615.82920648452,9.193472267228863,8.20098299202561,-992.4892752032529,-1009.8837304625074,6,INITIAL_PROTECTIVE_STOP
TRADE-000005,ETH/USDT,2020-04-08T00:00:00Z,2020-04-14T00:00:00Z,171.42567,150.7688635714286,47.56672635750277,8.154157935541573,7.1715812767338125,-982.5766588077599,-997.9023980200353,6,INITIAL_PROTECTIVE_STOP
TRADE-000006,BTC/USDT,2020-05-09T00:00:00Z,2020-05-11T00:00:00Z,9986.1906,9015.332935714287,1.0114067774809523,10.100100854056578,9.118168832428681,-981.9320216278976,-1001.1502913143828,2,INITIAL_PROTECTIVE_STOP
TRADE-000007,ADA/USDT,2020-05-21T00:00:00Z,2021-11-25T00:00:00Z,0.0567993855,1.7492739255,142273.41246025695,8.081042400730638,248.8751707086343,240794.12830790365,240537.17209479428,553,HEALTH_SCORE_CONFIRMED_DETERIORATION
TRADE-000008,ADA/USDT,2022-01-19T00:00:00Z,2022-01-20T00:00:00Z,1.604565882,1.3796643941428572,20054.612361442178,32.17894677190557,27.668634613418977,-4510.312158486592,-4570.159739871917,1,INITIAL_PROTECTIVE_STOP
TRADE-000009,ETH/USDT,2020-04-20T00:00:00Z,2022-01-24T00:00:00Z,187.503705,2410.8439750000002,37.47823978271559,7.027308816137568,90.3541885737652,83326.87975762763,83229.49826023773,644,HEALTH_SCORE_CONFIRMED_DETERIORATION
TRADE-000010,ETH/USDT,2022-07-20T00:00:00Z,2022-07-27T00:00:00Z,1581.700455,1359.611282857143,18.744775411080187,29.648619796578345,25.485608143527763,-4163.011653050581,-4218.145880990687,7,INITIAL_PROTECTIVE_STOP
TRADE-000011,ETH/USDT,2022-08-12T00:00:00Z,2022-08-20T00:00:00Z,1854.1065899999999,1624.6729714285716,17.96896719402639,33.31638048993813,29.193695324621377,-4122.685165316759,-4185.195241131318,8,INITIAL_PROTECTIVE_STOP
