universe_id,partition_id,snapshot_hours,asset_checks,feature_ready_pass,trend_pass,touch_pass_after_trend,reclaim_pass_after_touch,candidate_events,candidate_signal_hours,partition_final_hour_skips,candidate_survival_fraction_of_feature_ready
C2,DISCOVERY_2019_2021,24144,144858,144858,74873,60909,4940,4940,3470,1,0.03410236231343799
C2,VALIDATION_2022,8760,52554,52554,23354,19042,1430,1430,952,1,0.027210107698747956
C2,STRESS_2023,8760,52554,52554,26700,22305,1804,1804,1327,1,0.03432659740457434
D2,DISCOVERY_2019_2021,24144,144858,144858,75189,61071,4940,4940,3456,1,0.03410236231343799
D2,VALIDATION_2022,8760,52554,52554,23354,19042,1430,1430,952,1,0.027210107698747956
D2,STRESS_2023,8760,52554,52554,27244,22702,1837,1837,1342,1,0.03495452296685314
E2,DISCOVERY_2019_2021,24144,144858,144858,74852,60869,4934,4934,3467,1,0.0340609424401828
E2,VALIDATION_2022,8760,52554,52554,23354,19042,1430,1430,952,1,0.027210107698747956
E2,STRESS_2023,8760,52554,52554,26853,22414,1815,1815,1328,1,0.03453590592533394
