symbol,open_time,close_time,expected_close_time,close_time_standard,quote_volume,number_of_trades,taker_buy_quote_volume
BTCUSDT,2023-03-24T11:33:00+00:00,2023-03-24T11:33:59.999000+00:00,2023-03-24T11:33:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:34:00+00:00,2023-03-24T11:34:59.999000+00:00,2023-03-24T11:34:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:35:00+00:00,2023-03-24T11:35:59.999000+00:00,2023-03-24T11:35:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:36:00+00:00,2023-03-24T11:36:59.999000+00:00,2023-03-24T11:36:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:37:00+00:00,2023-03-24T11:37:59.999000+00:00,2023-03-24T11:37:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:38:00+00:00,2023-03-24T11:38:59.999000+00:00,2023-03-24T11:38:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:39:00+00:00,2023-03-24T11:39:59.999000+00:00,2023-03-24T11:39:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:40:00+00:00,2023-03-24T11:40:59.999000+00:00,2023-03-24T11:40:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:41:00+00:00,2023-03-24T11:41:59.999000+00:00,2023-03-24T11:41:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:42:00+00:00,2023-03-24T11:42:59.999000+00:00,2023-03-24T11:42:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:43:00+00:00,2023-03-24T11:43:59.999000+00:00,2023-03-24T11:43:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:44:00+00:00,2023-03-24T11:44:59.999000+00:00,2023-03-24T11:44:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:45:00+00:00,2023-03-24T11:45:59.999000+00:00,2023-03-24T11:45:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:46:00+00:00,2023-03-24T11:46:59.999000+00:00,2023-03-24T11:46:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:47:00+00:00,2023-03-24T11:47:59.999000+00:00,2023-03-24T11:47:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:48:00+00:00,2023-03-24T11:48:59.999000+00:00,2023-03-24T11:48:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:49:00+00:00,2023-03-24T11:49:59.999000+00:00,2023-03-24T11:49:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:50:00+00:00,2023-03-24T11:50:59.999000+00:00,2023-03-24T11:50:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:51:00+00:00,2023-03-24T11:51:59.999000+00:00,2023-03-24T11:51:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:52:00+00:00,2023-03-24T11:52:59.999000+00:00,2023-03-24T11:52:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:53:00+00:00,2023-03-24T11:53:59.999000+00:00,2023-03-24T11:53:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:54:00+00:00,2023-03-24T11:54:59.999000+00:00,2023-03-24T11:54:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:55:00+00:00,2023-03-24T11:55:59.999000+00:00,2023-03-24T11:55:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:56:00+00:00,2023-03-24T11:56:59.999000+00:00,2023-03-24T11:56:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:57:00+00:00,2023-03-24T11:57:59.999000+00:00,2023-03-24T11:57:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:58:00+00:00,2023-03-24T11:58:59.999000+00:00,2023-03-24T11:58:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T11:59:00+00:00,2023-03-24T11:59:59.999000+00:00,2023-03-24T11:59:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:00:00+00:00,2023-03-24T12:00:59.999000+00:00,2023-03-24T12:00:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:01:00+00:00,2023-03-24T12:01:59.999000+00:00,2023-03-24T12:01:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:02:00+00:00,2023-03-24T12:02:59.999000+00:00,2023-03-24T12:02:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:03:00+00:00,2023-03-24T12:03:59.999000+00:00,2023-03-24T12:03:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:04:00+00:00,2023-03-24T12:04:59.999000+00:00,2023-03-24T12:04:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:05:00+00:00,2023-03-24T12:05:59.999000+00:00,2023-03-24T12:05:59.999000+00:00,True,0.0,0,0.0
BTCUSDT,2023-03-24T12:06:00+00:00,2023-03-24T12:06:59.999000+00:00,2023-03-24T12:06:59.999000+00:00,True,0.0,0,0.0
