period_id,universe_id,landmark_age_hours,decision_row_count_reconstructed,unique_control_position_count_reconstructed,unique_pair_count_reconstructed,unique_signal_day_count_reconstructed,decision_row_count_frozen,unique_control_position_count_frozen,unique_pair_count_frozen,unique_signal_day_count_frozen,_merge,key_match,parity_pass,decision_row_count_match,unique_control_position_count_match,unique_pair_count_match,unique_signal_day_count_match
ROBUSTNESS_2022,C2,24,45,45,8,22,45,45,8,22,both,True,True,True,True,True,True
ROBUSTNESS_2022,C2,48,45,45,8,22,45,45,8,22,both,True,True,True,True,True,True
ROBUSTNESS_2022,C2,72,21,21,7,12,21,21,7,12,both,True,True,True,True,True,True
ROBUSTNESS_2022,C2,96,21,21,7,12,21,21,7,12,both,True,True,True,True,True,True
ROBUSTNESS_2022,C2,120,21,21,7,12,21,21,7,12,both,True,True,True,True,True,True
ROBUSTNESS_2022,C2,144,21,21,7,12,21,21,7,12,both,True,True,True,True,True,True
ROBUSTNESS_2022,D2,24,45,45,8,22,45,45,8,22,both,True,True,True,True,True,True
ROBUSTNESS_2022,D2,48,45,45,8,22,45,45,8,22,both,True,True,True,True,True,True
ROBUSTNESS_2022,D2,72,21,21,7,12,21,21,7,12,both,True,True,True,True,True,True
ROBUSTNESS_2022,D2,96,21,21,7,12,21,21,7,12,both,True,True,True,True,True,True
ROBUSTNESS_2022,D2,120,21,21,7,12,21,21,7,12,both,True,True,True,True,True,True
ROBUSTNESS_2022,D2,144,21,21,7,12,21,21,7,12,both,True,True,True,True,True,True
ROBUSTNESS_2022,E2,24,45,45,8,22,45,45,8,22,both,True,True,True,True,True,True
ROBUSTNESS_2022,E2,48,45,45,8,22,45,45,8,22,both,True,True,True,True,True,True
ROBUSTNESS_2022,E2,72,21,21,7,12,21,21,7,12,both,True,True,True,True,True,True
ROBUSTNESS_2022,E2,96,21,21,7,12,21,21,7,12,both,True,True,True,True,True,True
ROBUSTNESS_2022,E2,120,21,21,7,12,21,21,7,12,both,True,True,True,True,True,True
ROBUSTNESS_2022,E2,144,21,21,7,12,21,21,7,12,both,True,True,True,True,True,True
ROBUSTNESS_2023,C2,24,124,124,12,69,124,124,12,69,both,True,True,True,True,True,True
ROBUSTNESS_2023,C2,48,124,124,12,69,124,124,12,69,both,True,True,True,True,True,True
ROBUSTNESS_2023,C2,72,60,60,10,38,60,60,10,38,both,True,True,True,True,True,True
ROBUSTNESS_2023,C2,96,60,60,10,38,60,60,10,38,both,True,True,True,True,True,True
ROBUSTNESS_2023,C2,120,60,60,10,38,60,60,10,38,both,True,True,True,True,True,True
ROBUSTNESS_2023,C2,144,60,60,10,38,60,60,10,38,both,True,True,True,True,True,True
ROBUSTNESS_2023,D2,24,127,127,12,69,127,127,12,69,both,True,True,True,True,True,True
ROBUSTNESS_2023,D2,48,127,127,12,69,127,127,12,69,both,True,True,True,True,True,True
ROBUSTNESS_2023,D2,72,60,60,11,41,60,60,11,41,both,True,True,True,True,True,True
ROBUSTNESS_2023,D2,96,60,60,11,41,60,60,11,41,both,True,True,True,True,True,True
ROBUSTNESS_2023,D2,120,60,60,11,41,60,60,11,41,both,True,True,True,True,True,True
ROBUSTNESS_2023,D2,144,60,60,11,41,60,60,11,41,both,True,True,True,True,True,True
ROBUSTNESS_2023,E2,24,126,126,14,71,126,126,14,71,both,True,True,True,True,True,True
ROBUSTNESS_2023,E2,48,126,126,14,71,126,126,14,71,both,True,True,True,True,True,True
ROBUSTNESS_2023,E2,72,60,60,11,39,60,60,11,39,both,True,True,True,True,True,True
ROBUSTNESS_2023,E2,96,60,60,11,39,60,60,11,39,both,True,True,True,True,True,True
ROBUSTNESS_2023,E2,120,60,60,11,39,60,60,11,39,both,True,True,True,True,True,True
ROBUSTNESS_2023,E2,144,60,60,11,39,60,60,11,39,both,True,True,True,True,True,True
