decision_id,control_position_id,universe_id,period_id,pair,signal_time,entry_time,decision_time,landmark_age_hours,completed_information_time,source_hour_open,feature_valid,feature_status,btc_kucoin_close,btc_binance_close,btc_cross_venue_log_close_price_basis,eth_kucoin_close,eth_binance_close,eth_cross_venue_log_close_price_basis,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_LOG_CLOSE_PRICE_BASIS,BTC_ETH_CROSS_VENUE_LOG_CLOSE_PRICE_BASIS_DISPERSION
D2:000097|144h,D2:000097,D2,ROBUSTNESS_2023,INJ-USDT,2023-06-26 10:00:00+00:00,2023-06-26 11:00:00+00:00,2023-07-02 11:00:00+00:00,144,2023-07-02 10:00:00+00:00,2023-07-02 10:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30520.6,30509.99,-0.0003476944957236857,1917.78,1917.12,-0.0003442071535197565,-0.0003459508246217211,3.4873422039291904e-06
D2:000100|048h,D2:000100,D2,ROBUSTNESS_2023,ETH-USDT,2023-06-30 18:00:00+00:00,2023-06-30 19:00:00+00:00,2023-07-02 19:00:00+00:00,48,2023-07-02 18:00:00+00:00,2023-07-02 18:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30444.4,30523.07,0.002580721937868445,1907.09,1912.12,0.002634054115002243,0.002607388026435344,5.3332177133797766e-05
D2:000101|024h,D2:000101,D2,ROBUSTNESS_2023,XRP-USDT,2023-07-02 03:00:00+00:00,2023-07-02 04:00:00+00:00,2023-07-03 04:00:00+00:00,24,2023-07-03 03:00:00+00:00,2023-07-03 03:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30752.8,30756.65,0.00012518401660321403,1949.29,1949.01,-0.00014365236153271834,-9.234172464752156e-06,0.00026883637813593234
D2:000098|072h,D2:000098,D2,ROBUSTNESS_2023,SOL-USDT,2023-06-30 04:00:00+00:00,2023-06-30 05:00:00+00:00,2023-07-03 05:00:00+00:00,72,2023-07-03 04:00:00+00:00,2023-07-03 04:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30759.4,30679.99,-0.0025849880416849657,1949.19,1948.9,-0.00014879081834180157,-0.0013668894300133837,0.002436197223343164
D2:000099|072h,D2:000099,D2,ROBUSTNESS_2023,LTC-USDT,2023-06-30 04:00:00+00:00,2023-06-30 05:00:00+00:00,2023-07-03 05:00:00+00:00,72,2023-07-03 04:00:00+00:00,2023-07-03 04:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30759.4,30679.99,-0.0025849880416849657,1949.19,1948.9,-0.00014879081834180157,-0.0013668894300133837,0.002436197223343164
D2:000100|072h,D2:000100,D2,ROBUSTNESS_2023,ETH-USDT,2023-06-30 18:00:00+00:00,2023-06-30 19:00:00+00:00,2023-07-03 19:00:00+00:00,72,2023-07-03 18:00:00+00:00,2023-07-03 18:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,31002.2,31199.14,0.00633236062398507,1963.97,1970.5,0.0033193827863939977,0.004825871705189534,0.003012977837591072
D2:000101|048h,D2:000101,D2,ROBUSTNESS_2023,XRP-USDT,2023-07-02 03:00:00+00:00,2023-07-02 04:00:00+00:00,2023-07-04 04:00:00+00:00,48,2023-07-04 03:00:00+00:00,2023-07-04 03:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,31257.6,31195.69,-0.001982602366639022,1956.61,1963.34,0.0034337206405535793,0.0007255591369572786,0.005416323007192601
D2:000098|096h,D2:000098,D2,ROBUSTNESS_2023,SOL-USDT,2023-06-30 04:00:00+00:00,2023-06-30 05:00:00+00:00,2023-07-04 05:00:00+00:00,96,2023-07-04 04:00:00+00:00,2023-07-04 04:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,31193.0,31058.0,-0.0043372865218404754,1963.09,1954.01,-0.004636091120108579,-0.004486688820974527,0.0002988045982681032
D2:000099|096h,D2:000099,D2,ROBUSTNESS_2023,LTC-USDT,2023-06-30 04:00:00+00:00,2023-06-30 05:00:00+00:00,2023-07-04 05:00:00+00:00,96,2023-07-04 04:00:00+00:00,2023-07-04 04:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,31193.0,31058.0,-0.0043372865218404754,1963.09,1954.01,-0.004636091120108579,-0.004486688820974527,0.0002988045982681032
D2:000102|024h,D2:000102,D2,ROBUSTNESS_2023,BTC-USDT,2023-07-03 16:00:00+00:00,2023-07-03 17:00:00+00:00,2023-07-04 17:00:00+00:00,24,2023-07-04 16:00:00+00:00,2023-07-04 16:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30958.6,30960.29,5.458754187680117e-05,1954.15,1955.63,0.0007570758818604401,0.00040583171186862063,0.0007024883399836389
D2:000100|096h,D2:000100,D2,ROBUSTNESS_2023,ETH-USDT,2023-06-30 18:00:00+00:00,2023-06-30 19:00:00+00:00,2023-07-04 19:00:00+00:00,96,2023-07-04 18:00:00+00:00,2023-07-04 18:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30898.3,30902.0,0.00011974051920196163,1950.04,1949.39,-0.0003333820614911334,-0.00010682077114458587,0.000453122580693095
D2:000101|072h,D2:000101,D2,ROBUSTNESS_2023,XRP-USDT,2023-07-02 03:00:00+00:00,2023-07-02 04:00:00+00:00,2023-07-05 04:00:00+00:00,72,2023-07-05 03:00:00+00:00,2023-07-05 03:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30838.5,30868.71,0.0009791401171294247,1942.03,1941.28,-0.0003862684201493825,0.00029643584849002114,0.0013654085372788072
D2:000098|120h,D2:000098,D2,ROBUSTNESS_2023,SOL-USDT,2023-06-30 04:00:00+00:00,2023-06-30 05:00:00+00:00,2023-07-05 05:00:00+00:00,120,2023-07-05 04:00:00+00:00,2023-07-05 04:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30866.0,30834.86,-0.0010093863406098972,1941.35,1936.89,-0.002300013390681907,-0.0016546998656459021,0.0012906270500720098
D2:000099|120h,D2:000099,D2,ROBUSTNESS_2023,LTC-USDT,2023-06-30 04:00:00+00:00,2023-06-30 05:00:00+00:00,2023-07-05 05:00:00+00:00,120,2023-07-05 04:00:00+00:00,2023-07-05 04:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30866.0,30834.86,-0.0010093863406098972,1941.35,1936.89,-0.002300013390681907,-0.0016546998656459021,0.0012906270500720098
D2:000102|048h,D2:000102,D2,ROBUSTNESS_2023,BTC-USDT,2023-07-03 16:00:00+00:00,2023-07-03 17:00:00+00:00,2023-07-05 17:00:00+00:00,48,2023-07-05 16:00:00+00:00,2023-07-05 16:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30354.6,30462.6,0.0035516305757810306,1902.75,1908.7,0.0031221738883456585,0.0033369022320633443,0.000429456687435372
D2:000100|120h,D2:000100,D2,ROBUSTNESS_2023,ETH-USDT,2023-06-30 18:00:00+00:00,2023-06-30 19:00:00+00:00,2023-07-05 19:00:00+00:00,120,2023-07-05 18:00:00+00:00,2023-07-05 18:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30520.8,30505.52,-0.0005007675481435088,1911.99,1910.09,-0.0009942231227547636,-0.0007474953354491363,0.0004934555746112548
D2:000101|096h,D2:000101,D2,ROBUSTNESS_2023,XRP-USDT,2023-07-02 03:00:00+00:00,2023-07-02 04:00:00+00:00,2023-07-06 04:00:00+00:00,96,2023-07-06 03:00:00+00:00,2023-07-06 03:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30475.5,30490.85,0.0005035564807259694,1911.32,1913.51,0.0011451490598663415,0.0008243527702961554,0.0006415925791403721
D2:000098|144h,D2:000098,D2,ROBUSTNESS_2023,SOL-USDT,2023-06-30 04:00:00+00:00,2023-06-30 05:00:00+00:00,2023-07-06 05:00:00+00:00,144,2023-07-06 04:00:00+00:00,2023-07-06 04:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,30492.0,30465.4,-0.000872740690658703,1913.66,1911.0,-0.0013909735395471914,-0.0011318571151029471,0.0005182328488884885
