snapshot_date,policy,independent_top6,policy_top6,overlap_count,exact_set_match,jaccard_similarity,missing_from_policy,extra_in_policy
2021-05-09 00:00:00+00:00,CURRENT_ONLY,ADA|BNB|BTC|DOGE|ETH|XRP,ADA|BTC|DOGE|ETH|XLM|XRP,5,False,0.7142857142857143,BNB,XLM
2022-06-26 00:00:00+00:00,CURRENT_ONLY,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BTC|CRO|ETH|XLM|XRP,4,False,0.5,BNB|SOL,CRO|XLM
2023-10-22 00:00:00+00:00,CURRENT_ONLY,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BTC|ETH|LINK|XLM|XRP,4,False,0.5,BNB|SOL,LINK|XLM
2024-03-10 00:00:00+00:00,CURRENT_ONLY,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BTC|DOGE|ETH|LINK|XRP,4,False,0.5,BNB|SOL,DOGE|LINK
2021-05-09 00:00:00+00:00,ESTIMATED_ONLY,ADA|BNB|BTC|DOGE|ETH|XRP,ADA|BNB|BTC|DOGE|ETH|XRP,6,True,1.0,,
2022-06-26 00:00:00+00:00,ESTIMATED_ONLY,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BNB|BTC|ETH|SOL|XRP,6,True,1.0,,
2023-10-22 00:00:00+00:00,ESTIMATED_ONLY,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BNB|BTC|ETH|SOL|XRP,6,True,1.0,,
2024-03-10 00:00:00+00:00,ESTIMATED_ONLY,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BNB|BTC|ETH|SOL|XRP,6,True,1.0,,
2021-05-09 00:00:00+00:00,CURRENT_THEN_ESTIMATED_FALLBACK,ADA|BNB|BTC|DOGE|ETH|XRP,BNB|BTC|DOGE|ETH|XLM|XRP,5,False,0.7142857142857143,ADA,XLM
2022-06-26 00:00:00+00:00,CURRENT_THEN_ESTIMATED_FALLBACK,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BNB|BTC|ETH|SOL|XRP,6,True,1.0,,
2023-10-22 00:00:00+00:00,CURRENT_THEN_ESTIMATED_FALLBACK,ADA|BNB|BTC|ETH|SOL|XRP,BNB|BTC|ETH|SOL|XLM|XRP,5,False,0.7142857142857143,ADA,XLM
2024-03-10 00:00:00+00:00,CURRENT_THEN_ESTIMATED_FALLBACK,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BNB|BTC|ETH|SOL|XRP,6,True,1.0,,
2021-05-09 00:00:00+00:00,REGISTERED_LOCAL_PANEL,ADA|BNB|BTC|DOGE|ETH|XRP,ADA|BTC|DOGE|ETH|XLM|XRP,5,False,0.7142857142857143,BNB,XLM
2022-06-26 00:00:00+00:00,REGISTERED_LOCAL_PANEL,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BTC|CRO|ETH|XLM|XRP,4,False,0.5,BNB|SOL,CRO|XLM
2023-10-22 00:00:00+00:00,REGISTERED_LOCAL_PANEL,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BTC|ETH|LINK|XLM|XRP,4,False,0.5,BNB|SOL,LINK|XLM
2024-03-10 00:00:00+00:00,REGISTERED_LOCAL_PANEL,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BTC|DOGE|ETH|LINK|XRP,4,False,0.5,BNB|SOL,DOGE|LINK
