policy,snapshot_count,exact_top6_match_count,minimum_overlap,mean_overlap,mean_jaccard_similarity
CURRENT_ONLY,4,0,4,4.25,0.5535714285714286
CURRENT_THEN_ESTIMATED_FALLBACK,4,2,5,5.5,0.8571428571428572
ESTIMATED_ONLY,4,4,6,6.0,1.0
REGISTERED_LOCAL_PANEL,4,0,4,4.25,0.5535714285714286
