snapshot_date,canonical_symbol,registered_rank,registered_market_cap_usd,live_current_market_cap_usd,live_estimated_market_cap_usd,relative_error_to_current,relative_error_to_estimated,inferred_registered_metric
2021-05-09 00:00:00+00:00,BTC,1,1090293033441.2048,1090293033441.2048,1090229219393.1466,0.0,5.853268920250395e-05,CLOSER_TO_CURRENT
2021-05-09 00:00:00+00:00,ETH,2,453962679013.81714,453962679013.81714,453464297377.385,0.0,0.0010990537497979967,CLOSER_TO_CURRENT
2021-05-09 00:00:00+00:00,XRP,3,153436725711.86145,153436725711.86145,70634831990.94115,0.0,1.1722530002129767,CLOSER_TO_CURRENT
2021-05-09 00:00:00+00:00,DOGE,4,74249424965.11722,74249424965.1172,74317186727.46303,2.0550716816552675e-16,0.0009117912737238934,CLOSER_TO_CURRENT
2021-05-09 00:00:00+00:00,XLM,5,65991605147.8076,65991605147.80759,14433263474.495909,2.3122318404475024e-16,3.572188768286335,CLOSER_TO_CURRENT
2021-05-09 00:00:00+00:00,ADA,6,57022025716.06039,57022025716.06039,57011986465.83746,0.0,0.0001760901670903708,CLOSER_TO_CURRENT
2021-05-09 00:00:00+00:00,LINK,7,51746697770.1087,51746697770.1087,21992840935.97571,0.0,1.3528882839989023,CLOSER_TO_CURRENT
2021-05-09 00:00:00+00:00,DOT,8,42673273838.65952,42673273838.659515,39977958401.43702,1.787862482755708e-16,0.067420037065365,CLOSER_TO_CURRENT
2021-05-09 00:00:00+00:00,UNI,9,39444195306.4623,39444195306.4623,20505356348.989014,0.0,0.9236044785150511,CLOSER_TO_CURRENT
2021-05-09 00:00:00+00:00,BCH,10,26510673946.218296,26510673946.2183,26509502470.15243,1.4389288153759515e-16,4.419079789156929e-05,CLOSER_TO_CURRENT
2022-06-26 00:00:00+00:00,BTC,1,401907776246.90607,401907776246.90607,401890687457.256,0.0,4.252098937202412e-05,CLOSER_TO_CURRENT
2022-06-26 00:00:00+00:00,ETH,2,143867796717.28784,143867796717.28784,146076143695.3649,0.0,0.015117779825037436,CLOSER_TO_CURRENT
2022-06-26 00:00:00+00:00,XRP,3,35917547540.54317,35917547540.54317,17365504266.610138,0.0,1.068327356874072,CLOSER_TO_CURRENT
2022-06-26 00:00:00+00:00,ADA,4,16420429547.88744,16420429547.887442,16596107553.986803,1.161570485869469e-16,0.010585494552134367,CLOSER_TO_CURRENT
2022-06-26 00:00:00+00:00,XLM,5,12706140151.88456,12706140151.88456,3017206764.023931,0.0,3.211226192181432,CLOSER_TO_CURRENT
2022-06-26 00:00:00+00:00,CRO,6,12470571799.4999,12470571799.4999,3150442261.1783504,0.0,2.958355927727928,CLOSER_TO_CURRENT
2022-06-26 00:00:00+00:00,DOGE,7,9919346898.89512,9919346898.89512,9748210746.151678,0.0,0.017555647615743464,CLOSER_TO_CURRENT
2022-06-26 00:00:00+00:00,FTT,8,9035240186.926752,9035240186.92675,3694164105.066663,2.1110104361943546e-16,1.4458145144485148,CLOSER_TO_CURRENT
2022-06-26 00:00:00+00:00,LINK,9,6782414488.53018,6782414488.53018,3167452334.950224,0.0,1.1412838367579616,CLOSER_TO_CURRENT
2022-06-26 00:00:00+00:00,UNI,10,5639701582.2787,5639701582.2787,2574465025.800672,0.0,1.1906304905131595,CLOSER_TO_CURRENT
2023-10-22 00:00:00+00:00,BTC,1,585327499000.0365,585327499000.0365,585300714677.2026,0.0,4.576164382207195e-05,CLOSER_TO_CURRENT
2023-10-22 00:00:00+00:00,ETH,2,200014370740.0251,200014370740.0251,200005686456.2696,0.0,4.3420184242571253e-05,CLOSER_TO_CURRENT
2023-10-22 00:00:00+00:00,XRP,3,52261014640.77458,52261014640.77459,27932100563.18373,1.459863453415898e-16,0.8710019506967511,CLOSER_TO_CURRENT
2023-10-22 00:00:00+00:00,XLM,4,11676290444.90352,11676290444.90352,3079988047.2372355,0.0,2.791018103260891,CLOSER_TO_CURRENT
2023-10-22 00:00:00+00:00,LINK,5,10106449902.9489,10106449902.9489,5627776337.700235,0.0,0.7958158420842385,CLOSER_TO_CURRENT
2023-10-22 00:00:00+00:00,ADA,6,9114143091.576456,9114143091.576458,9209883901.7503,2.0927350093672813e-16,0.010395441592444857,CLOSER_TO_CURRENT
2023-10-22 00:00:00+00:00,DOGE,7,8720690596.16858,8720690596.168581,8719838440.699333,2.187153198223189e-16,9.772606167432243e-05,CLOSER_TO_CURRENT
2023-10-22 00:00:00+00:00,XVG,8,5730107669.722394,5730107669.722395,57301020.68602107,1.6643218092487473e-16,99.00009774904915,CLOSER_TO_CURRENT
2023-10-22 00:00:00+00:00,CRO,9,5384164562.17995,5384164562.17995,1417724538.669992,0.0,2.7977508432145703,CLOSER_TO_CURRENT
2023-10-22 00:00:00+00:00,LTC,10,4807288106.410951,4807288106.41095,4807047060.243619,1.9838093646487295e-16,5.014433274956943e-05,CLOSER_TO_CURRENT
2024-03-10 00:00:00+00:00,BTC,1,1353579668685.426,1353579668685.4263,1353522875665.7415,1.8036664604832995e-16,4.19594088179974e-05,CLOSER_TO_CURRENT
2024-03-10 00:00:00+00:00,ETH,2,465068887749.35565,465068887749.3557,465083705768.34595,1.312389580506497e-16,3.1860972135790395e-05,CLOSER_TO_CURRENT
2024-03-10 00:00:00+00:00,XRP,3,60720105770.706566,60720105770.706566,33240335791.17969,0.0,0.826699530117822,CLOSER_TO_CURRENT
2024-03-10 00:00:00+00:00,ADA,4,24865968959.73985,24865968959.739845,25120777534.948574,1.5341036063389788e-16,0.010143339506678475,CLOSER_TO_CURRENT
2024-03-10 00:00:00+00:00,DOGE,5,24249752854.79463,24249752854.79463,24247384099.09526,0.0,9.769118555992638e-05,CLOSER_TO_CURRENT
2024-03-10 00:00:00+00:00,LINK,6,21614061815.9216,21614061815.9216,12689615071.98429,0.0,0.7032874278149231,CLOSER_TO_CURRENT
2024-03-10 00:00:00+00:00,CRO,7,16427562908.3642,16427562908.3642,4366254363.88551,0.0,2.762392554185823,CLOSER_TO_CURRENT
2024-03-10 00:00:00+00:00,XLM,8,14714605713.754875,14714605713.754877,3997165775.3238826,1.2962281626272554e-16,2.6812598077853247,CLOSER_TO_CURRENT
2024-03-10 00:00:00+00:00,UNI,9,14114795734.3824,14114795734.3824,10639262536.091238,0.0,0.3266704986836465,CLOSER_TO_CURRENT
2024-03-10 00:00:00+00:00,XVG,10,10188420750.475088,10188420750.475088,101884207.50475058,0.0,99.00000000000028,CLOSER_TO_CURRENT
