snapshot_date,canonical_symbol,independent_filtered_rank,coinmetrics_asset_present,current_metric_available,estimated_metric_available,current_market_cap_usd,estimated_market_cap_usd,coverage_failure
2021-05-09 00:00:00+00:00,BTC,1,True,True,True,1090293033441.2048,1090229219393.1466,NONE
2021-05-09 00:00:00+00:00,ETH,2,True,True,True,453962679013.81714,453464297377.385,NONE
2021-05-09 00:00:00+00:00,BNB,3,True,False,True,,102429554509.26926,CURRENT_METRIC_MISSING
2021-05-09 00:00:00+00:00,DOGE,4,True,True,True,74249424965.1172,74317186727.46303,NONE
2021-05-09 00:00:00+00:00,ADA,5,True,True,True,57022025716.06039,57011986465.83746,NONE
2021-05-09 00:00:00+00:00,XRP,6,True,True,True,153436725711.86145,70634831990.94115,NONE
2022-06-26 00:00:00+00:00,BTC,1,True,True,True,401907776246.90607,401890687457.256,NONE
2022-06-26 00:00:00+00:00,ETH,2,True,True,True,143867796717.28784,146076143695.3649,NONE
2022-06-26 00:00:00+00:00,BNB,3,True,False,True,,38293515694.43803,CURRENT_METRIC_MISSING
2022-06-26 00:00:00+00:00,XRP,4,True,True,True,35917547540.54317,17365504266.610138,NONE
2022-06-26 00:00:00+00:00,ADA,5,True,True,True,16420429547.887442,16596107553.986803,NONE
2022-06-26 00:00:00+00:00,SOL,6,True,False,True,,13552810978.9268,CURRENT_METRIC_MISSING
2023-10-22 00:00:00+00:00,BTC,1,True,True,True,585327499000.0365,585300714677.2026,NONE
2023-10-22 00:00:00+00:00,ETH,2,True,True,True,200014370740.0251,200005686456.2696,NONE
2023-10-22 00:00:00+00:00,BNB,3,True,False,True,,33485055820.88436,CURRENT_METRIC_MISSING
2023-10-22 00:00:00+00:00,XRP,4,True,True,True,52261014640.77459,27932100563.18373,NONE
2023-10-22 00:00:00+00:00,SOL,5,True,False,True,,12073569712.952763,CURRENT_METRIC_MISSING
2023-10-22 00:00:00+00:00,ADA,6,True,True,True,9114143091.576458,9209883901.7503,NONE
2024-03-10 00:00:00+00:00,BTC,1,True,True,True,1353579668685.4263,1353522875665.7415,NONE
2024-03-10 00:00:00+00:00,ETH,2,True,True,True,465068887749.3557,465083705768.34595,NONE
2024-03-10 00:00:00+00:00,BNB,3,True,False,True,,81112801176.68115,CURRENT_METRIC_MISSING
2024-03-10 00:00:00+00:00,SOL,4,True,False,True,,63803107788.275406,CURRENT_METRIC_MISSING
2024-03-10 00:00:00+00:00,XRP,5,True,True,True,60720105770.706566,33240335791.17969,NONE
2024-03-10 00:00:00+00:00,ADA,6,True,True,True,24865968959.739845,25120777534.948574,NONE
