timestamp,asset,cohort,trade_id,bars_held,total_health_score,structure_retention_score,trend_continuation_score,momentum_persistence_score,r_state_score,volatility_stability_score,time_efficiency_score,current_r,mfe_r,giveback_r,consecutive_low_health_bars,initial_stop,exit_triggered,exit_reason,next_5_bar_return_if_held,next_10_bar_return_if_held,next_5_bar_MAE_if_held,next_5_bar_MFE_if_held
2022-10-27T00:00:00+00:00,ETH/USDT,RD14_REFERENCE_TRANSFER_COHORT,ETH/USDT-2022-10-26T00:00:00+00:00,1,87.82653408546133,25.0,11.659972454482554,15.0,16.166561630978777,10.0,10.0,0.8499684892936332,0.8499684892936332,0.0,0,1338.9085714285713,False,,0.00420130508626082,0.03892272918821593,-0.05498090896320995,0.062272535723863154
2022-10-28T00:00:00+00:00,ETH/USDT,RD14_REFERENCE_TRANSFER_COHORT,ETH/USDT-2022-10-26T00:00:00+00:00,2,83.95122161353618,23.412388435426045,12.901599932980215,15.0,12.637233245129924,10.0,10.0,0.42644908299177053,0.8499684892936332,0.4235194063018627,0,1338.9085714285713,False,,0.042525509361688085,0.03568999108410664,-0.02250767757487715,0.09877489020242369
2022-10-29T00:00:00+00:00,ETH/USDT,RD14_REFERENCE_TRANSFER_COHORT,ETH/USDT-2022-10-26T00:00:00+00:00,3,89.39628753067136,24.656683358002915,14.365326907377053,15.0,15.374277265291386,10.0,10.0,0.7548943654111465,0.8499684892936332,0.0950741238824867,0,1338.9085714285713,False,,-0.023132840141524613,0.008690897394660668,-0.03374075265358634,0.07025410099710516
2022-10-30T00:00:00+00:00,AVAX/USDT,RD14_REFERENCE_TRANSFER_COHORT,AVAX/USDT-2022-10-29T00:00:00+00:00,1,79.16609187106143,24.3990099009901,6.771932378507124,15.0,12.995149591564198,10.0,10.0,-0.04058204901229615,0.0,0.04058204901229615,0,16.643857142857144,False,,-0.013889648384097897,-0.1240225296658829,-0.0470279433477333,0.08361130857986554
2022-10-30T00:00:00+00:00,ETH/USDT,RD14_REFERENCE_TRANSFER_COHORT,ETH/USDT-2022-10-26T00:00:00+00:00,4,93.63019759451281,25.0,16.2662822852063,15.0,17.61763587334047,9.746279435966043,10.0,1.2852907620021405,1.2852907620021405,0.0,0,1338.9085714285713,False,,-0.054746057814603066,-0.17611720978476963,-0.07261400540854257,0.01265697739031646
2022-10-31T00:00:00+00:00,AVAX/USDT,RD14_REFERENCE_TRANSFER_COHORT,AVAX/USDT-2022-10-29T00:00:00+00:00,2,78.13801180750852,23.86791852323361,6.459842822545184,15.0,12.810250461729726,10.0,10.0,-0.06276994459243275,0.0,0.06276994459243275,0,16.643857142857144,False,,0.06246917639322702,-0.29316674886295135,-0.045043564030905814,0.08586771877911126
2022-10-31T00:00:00+00:00,ETH/USDT,RD14_REFERENCE_TRANSFER_COHORT,ETH/USDT-2022-10-26T00:00:00+00:00,5,90.58295570411507,24.22765585845546,17.711503822304543,13.588816911789618,15.646421518299753,9.408557593265693,10.0,1.0487450393972548,1.2852907620021405,0.2365457226048857,0,1338.9085714285713,False,,0.03415063498051052,-0.3065824217276498,-0.05567081604426005,0.05513642650572104
2022-11-01T00:00:00+00:00,AVAX/USDT,RD14_REFERENCE_TRANSFER_COHORT,AVAX/USDT-2022-10-29T00:00:00+00:00,3,84.68045689769892,25.0,9.557499804164909,15.0,15.122957093534009,10.0,10.0,0.536887128060203,0.536887128060203,0.0,0,16.643857142857144,False,,0.017379124299647275,-0.20071591616517948,-0.09592239053745588,0.06863457148786067
2022-11-01T00:00:00+00:00,ETH/USDT,RD14_REFERENCE_TRANSFER_COHORT,ETH/USDT-2022-10-26T00:00:00+00:00,6,86.70639591206947,23.805997290490346,17.740911749261905,12.0,14.436288548790944,8.72319832352628,10.0,0.9035290830561977,1.2852907620021405,0.3817616789459428,0,1338.9085714285713,False,,0.03457615910882783,-0.17364378544723924,-0.04495918004018418,0.0671049619776698
2022-11-02T00:00:00+00:00,AVAX/USDT,RD14_REFERENCE_TRANSFER_COHORT,AVAX/USDT-2022-10-29T00:00:00+00:00,4,80.57274325023172,23.66928675400291,9.957844975902933,15.0,11.945611520325878,10.0,10.0,0.15560565927522738,0.536887128060203,0.3812814687849756,0,16.643857142857144,False,,-0.021049240186865714,-0.24136820061214626,-0.06422166138645768,0.10610535359501694
