day,successful_transaction_count,unique_sending_addresses,unique_receiving_addresses,unique_active_addresses,native_fees_paid,block_count,native_transfer_count
2023-03-01 00:00:00.000 UTC,97955,19075,10448,23502,696456177598746300000,41453,22648
2023-03-02 00:00:00.000 UTC,91322,19076,10722,23375,657385281272202900000,41071,21715
2023-03-03 00:00:00.000 UTC,124955,21712,23392,36305,1.244216936468136e+21,42267,38043
2023-03-04 00:00:00.000 UTC,83406,16222,9053,20174,789891722065417300000,40168,18569
2023-03-05 00:00:00.000 UTC,91696,22760,9965,27296,767273826878446600000,40718,22042
2023-03-06 00:00:00.000 UTC,97940,21275,10470,25476,764462410616176400000,40744,20773
2023-03-07 00:00:00.000 UTC,103801,16996,9877,21191,809024391190150400000,40975,21345
2023-03-08 00:00:00.000 UTC,107522,18055,11299,22560,765743437569853900000,41694,24804
2023-03-09 00:00:00.000 UTC,119786,22759,12167,27439,1.0005065097488659e+21,42119,29554
2023-03-10 00:00:00.000 UTC,147186,20872,12831,26223,1.6537927367440482e+21,42948,30108
2023-03-11 00:00:00.000 UTC,225335,25462,14442,30949,3.0368422304940394e+21,44035,31697
2023-03-12 00:00:00.000 UTC,126711,18462,11118,23098,1.3160197009049602e+21,42624,22631
2023-03-13 00:00:00.000 UTC,143872,24514,15120,29549,1.104516509103965e+21,42322,33184
2023-03-14 00:00:00.000 UTC,146776,21607,12149,26405,1.4394022414929953e+21,42618,30675
2023-03-15 00:00:00.000 UTC,132887,19420,11593,24730,1.0136343944172018e+21,42476,30796
2023-03-16 00:00:00.000 UTC,116199,18122,10736,22951,906578908145719600000,42175,23384
2023-03-17 00:00:00.000 UTC,134158,20482,12064,25635,1.0359134803418213e+21,42471,26426
2023-03-18 00:00:00.000 UTC,155872,21620,12565,26763,1.460961773584149e+21,43189,30734
2023-03-19 00:00:00.000 UTC,143294,20438,11816,25357,1.229875961119593e+21,42856,29511
2023-03-20 00:00:00.000 UTC,142449,21838,12295,26938,1.0075966803705517e+21,42869,28230
2023-03-21 00:00:00.000 UTC,146333,21232,12222,26385,1.1180131650711177e+21,42730,29655
2023-03-22 00:00:00.000 UTC,140341,20897,12030,25991,1.1169860548418124e+21,41727,29205
2023-03-23 00:00:00.000 UTC,120945,22022,11194,26722,965971144996198200000,36664,26043
2023-03-24 00:00:00.000 UTC,139230,21923,12696,27162,1.1142919090637418e+21,41180,32097
2023-03-25 00:00:00.000 UTC,124856,19583,11975,24859,850618940179287200000,41481,29537
2023-03-26 00:00:00.000 UTC,127800,19932,9971,24893,942872770044024000000,37030,24286
2023-03-27 00:00:00.000 UTC,157762,23227,14208,29127,1.2468901902848725e+21,41312,35663
2023-03-28 00:00:00.000 UTC,175108,29751,18849,35473,1.1910078681556991e+21,41911,39302
2023-03-29 00:00:00.000 UTC,165363,29621,15728,35490,1.1372924605684541e+21,41788,35082
2023-03-30 00:00:00.000 UTC,179445,25228,14390,31024,1.4768236797713404e+21,43335,33429
2023-03-31 00:00:00.000 UTC,206624,31712,20673,39032,1.5171882273522138e+21,42922,43942
