day,successful_transaction_count,unique_sending_addresses,unique_receiving_addresses,unique_active_addresses,native_fees_paid,block_count,native_transfer_count
2024-03-01 00:00:00.000 UTC,419284,,,,59.1579813999999,154,1400477
2024-03-02 00:00:00.000 UTC,339311,,,,42.009248719999285,127,1171236
2024-03-03 00:00:00.000 UTC,385447,,,,46.136782049999944,155,1287754
2024-03-04 00:00:00.000 UTC,361258,,,,82.79483360999986,129,1204899
2024-03-05 00:00:00.000 UTC,424347,,,,103.21170841000033,167,1352012
2024-03-06 00:00:00.000 UTC,381934,,,,67.49302936000021,140,1233423
2024-03-07 00:00:00.000 UTC,436344,,,,52.15660504000033,180,1352183
2024-03-08 00:00:00.000 UTC,426928,,,,48.05150656000122,154,1389313
2024-03-09 00:00:00.000 UTC,359029,,,,40.70419202,163,1207607
2024-03-10 00:00:00.000 UTC,368196,,,,36.54145850000018,143,1201222
2024-03-11 00:00:00.000 UTC,394098,,,,41.0352691500007,170,1189317
2024-03-12 00:00:00.000 UTC,341867,,,,38.60291378000036,141,1087395
2024-03-13 00:00:00.000 UTC,390118,,,,35.64534435000051,160,1203201
2024-03-14 00:00:00.000 UTC,329706,,,,33.75232286000043,141,1091219
2024-03-15 00:00:00.000 UTC,307904,,,,37.14060523000028,127,1234397
2024-03-16 00:00:00.000 UTC,355760,,,,38.20667673999991,144,1154821
2024-03-17 00:00:00.000 UTC,366109,,,,25.52442346000045,146,1140380
2024-03-18 00:00:00.000 UTC,416270,,,,41.868221420001206,144,1263601
2024-03-19 00:00:00.000 UTC,463952,,,,46.05466678999997,157,1378161
2024-03-20 00:00:00.000 UTC,361515,,,,33.245185479999996,149,1150551
2024-03-21 00:00:00.000 UTC,327642,,,,38.087698390000746,120,1085319
2024-03-22 00:00:00.000 UTC,339533,,,,37.43395736000025,135,1207583
2024-03-23 00:00:00.000 UTC,326610,,,,24.56584449000021,156,1106501
2024-03-24 00:00:00.000 UTC,331527,,,,21.30059523999984,170,1080655
2024-03-25 00:00:00.000 UTC,317064,,,,27.830972770000354,132,1036478
2024-03-26 00:00:00.000 UTC,317742,,,,31.698124370001775,134,1061721
2024-03-27 00:00:00.000 UTC,355902,,,,30.342206380000313,136,1116197
2024-03-28 00:00:00.000 UTC,428670,,,,30.19377772000085,152,1287822
2024-03-29 00:00:00.000 UTC,449421,,,,29.313325249999775,144,1337031
2024-03-30 00:00:00.000 UTC,490072,,,,29.88527822999872,155,1363564
2024-03-31 00:00:00.000 UTC,319675,,,,28.048975870000675,137,998717
