variant_id,decision,carry_forward,rationale,net_return,monthly_geometric_return,profit_factor,maximum_drawdown,two_x_net_return,two_x_profit_factor,two_x_minimum_cash,two_x_capital_feasible,mean_high_opportunity_capture,delta_net_return_vs_baseline,delta_high_opportunity_capture_vs_baseline,maximum_positions_observed
BASELINE_V2,REFERENCE_BASELINE,False,Frozen RD16-J comparison baseline.,0.916365563453498,0.009072777790036568,1.409847927442455,0.1130412238926507,0.4033942942691071,1.157795651363098,-7208.671002163035,False,0.057199754959560284,0.0,0.0,3
PER_TRADE_NOTIONAL_25,PROMISING_BUT_FRAGILE,False,Restores stressed-cost capital feasibility but fails one or more retention gates.,0.48345327269742033,0.005491274856882944,1.344070840825143,0.08998968164213472,0.1861578164841171,1.1171410537319915,21599.380956670997,True,0.03741020014675482,-0.4329122907560776,-0.019789554812805463,4
PER_TRADE_NOTIONAL_20,PROMISING_BUT_FRAGILE,False,Restores stressed-cost capital feasibility but fails one or more retention gates.,0.39121863221088304,0.004595402137184346,1.3442504994094702,0.07728162643699255,0.15208815863880742,1.1184080306095756,37550.30446084717,True,0.030655375775286674,-0.5251469312426149,-0.02654437918427361,4
PORTFOLIO_NOTIONAL_90,PROMISING_BUT_FRAGILE,False,Restores stressed-cost capital feasibility but fails one or more retention gates.,0.6422116365815924,0.006911835158000645,1.303662613636939,0.14929273016554734,0.16326032611207753,1.0675586829455634,10488.677322325173,True,0.025903991300274952,-0.27415392687190554,-0.03129576365928533,3
PORTFOLIO_NOTIONAL_80,PROMISING_BUT_FRAGILE,False,Restores stressed-cost capital feasibility but fails one or more retention gates.,0.5984306021903325,0.006534090784797275,1.2950418658756075,0.15338398170013545,0.1409670275273649,1.0608422949597405,13789.165283717914,True,0.02153716120022734,-0.31793496126316545,-0.03566259375933294,3
STRONG_BULL_HOLD_72,REJECT_REMEDIATION,False,Does not restore sufficient robust capital efficiency and bull-capture evidence.,0.9105835888853853,0.009030438470466695,1.4160913512521713,0.12159069840592662,0.41379308984923124,1.1656254100117034,-9964.484332120432,False,0.05709203577095896,-0.005781974568112691,-0.00010771918860132124,3
STRONG_BULL_HOLD_96,RETAIN_FOR_COMPOSITE_V3_REGISTRATION,True,"Passes all fixed capital, robustness, return-preservation, and bull-capture gates.",1.0815586314022658,0.010232043860760598,1.505786335911124,0.11030602524673228,0.5946846385769569,1.243486912246254,3041.820393014721,True,0.06270309657265272,0.16519306794876787,0.005503341613092433,3
PORTFOLIO_80_SB72,PROMISING_BUT_FRAGILE,False,Restores stressed-cost capital feasibility but fails one or more retention gates.,0.5297617345499186,0.0059205562923332344,1.2668276250817778,0.18247073139774517,0.08897635655368274,1.0393190321957817,13789.165283717914,True,0.014284997346674658,-0.38660382890357936,-0.04291475761288563,3
OPEN_RISK_300_PORTFOLIO_80,PROMISING_BUT_FRAGILE,False,Restores stressed-cost capital feasibility but fails one or more retention gates.,0.5984306021903325,0.006534090784797275,1.2950418658756075,0.15338398170013545,0.1409670275273649,1.0608422949597405,13789.165283717914,True,0.02153716120022734,-0.31793496126316545,-0.03566259375933294,3
EVIDENCE_CAPITAL_BULL_COMPOSITE,PROMISING_BUT_FRAGILE,False,Restores stressed-cost capital feasibility but fails one or more retention gates.,0.48056412360334866,0.005464056089673264,1.3495311627070656,0.09726752107866155,0.19278106894069125,1.1241243413160267,38595.6622962041,True,0.035667161680533466,-0.4358014398501493,-0.021532593279026818,3
