architecture_id,variant_id,router_decision,candidate_count,hypothetical_net_pnl,hypothetical_return_on_initial_equity
COMPOSITE_ALPHA_V2,BASELINE_V2,ADMITTED,596,91636.55634534839,0.916365563453484
COMPOSITE_ALPHA_V2,BASELINE_V2,REJECTED_ENGINE_CONFLICT,38,3013.4170057521133,0.030134170057521132
COMPOSITE_ALPHA_V2,BASELINE_V2,REJECTED_SAME_SYMBOL_ACTIVE,34,-2623.3625240724928,-0.026233625240724926
COMPOSITE_ALPHA_V2,BASELINE_V2,REJECTED_ENGINE_COOLDOWN,19,-6723.227915895571,-0.0672322791589557
COMPOSITE_ALPHA_V2,BASELINE_V2,REJECTED_MAX_POSITIONS,0,0.0,0.0
COMPOSITE_ALPHA_V2,BASELINE_V2,REJECTED_MAX_OPEN_RISK,1,4668.578961042637,0.046685789610426374
COMPOSITE_ALPHA_V2,BASELINE_V2,REJECTED_PORTFOLIO_NOTIONAL,0,0.0,0.0
COMPOSITE_ALPHA_V2,BASELINE_V2,REJECTED_INVALID_SIZE,0,0.0,0.0
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,ADMITTED,597,48345.327269741756,0.48345327269741756
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,REJECTED_ENGINE_CONFLICT,38,1021.8841066578157,0.010218841066578157
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,REJECTED_SAME_SYMBOL_ACTIVE,34,-1960.7857301776066,-0.019607857301776065
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,REJECTED_ENGINE_COOLDOWN,19,-4129.950840823494,-0.041299508408234945
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,REJECTED_MAX_POSITIONS,0,0.0,0.0
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,REJECTED_MAX_OPEN_RISK,0,0.0,0.0
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,REJECTED_PORTFOLIO_NOTIONAL,0,0.0,0.0
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,REJECTED_INVALID_SIZE,0,0.0,0.0
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,ADMITTED,597,39121.86322108844,0.3912186322108844
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,REJECTED_ENGINE_CONFLICT,38,817.5072853262518,0.008175072853262518
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,REJECTED_SAME_SYMBOL_ACTIVE,34,-1702.067443796269,-0.01702067443796269
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,REJECTED_ENGINE_COOLDOWN,19,-3443.278366169655,-0.034432783661696546
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,REJECTED_MAX_POSITIONS,0,0.0,0.0
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,REJECTED_MAX_OPEN_RISK,0,0.0,0.0
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,REJECTED_PORTFOLIO_NOTIONAL,0,0.0,0.0
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,REJECTED_INVALID_SIZE,0,0.0,0.0
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,ADMITTED,576,64221.16365815849,0.6422116365815849
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,REJECTED_ENGINE_CONFLICT,38,2374.1702868969423,0.023741702868969424
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,REJECTED_SAME_SYMBOL_ACTIVE,32,-1520.8592550823419,-0.015208592550823418
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,REJECTED_ENGINE_COOLDOWN,19,-6492.290907132722,-0.06492290907132722
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,REJECTED_MAX_POSITIONS,0,0.0,0.0
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,REJECTED_MAX_OPEN_RISK,0,0.0,0.0
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,REJECTED_PORTFOLIO_NOTIONAL,23,26059.768094959185,0.26059768094959185
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,REJECTED_INVALID_SIZE,0,0.0,0.0
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,ADMITTED,576,59843.06021903285,0.5984306021903285
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,REJECTED_ENGINE_CONFLICT,38,1728.4730461562524,0.017284730461562522
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,REJECTED_SAME_SYMBOL_ACTIVE,32,-2062.06434196159,-0.0206206434196159
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,REJECTED_ENGINE_COOLDOWN,17,-6246.962776631747,-0.062469627766317475
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,REJECTED_MAX_POSITIONS,0,0.0,0.0
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,REJECTED_MAX_OPEN_RISK,0,0.0,0.0
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,REJECTED_PORTFOLIO_NOTIONAL,25,24709.093952464646,0.24709093952464645
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,REJECTED_INVALID_SIZE,0,0.0,0.0
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,ADMITTED,578,91058.35888853722,0.9105835888853722
