architecture_id,variant_id,period,start_equity,end_equity,return,trade_count
COMPOSITE_ALPHA_V2,BASELINE_V2,2019,100000.0,95490.52571550729,-0.045094742844927094,15
COMPOSITE_ALPHA_V2,BASELINE_V2,2020,95490.52571550729,133084.72160538327,0.3936955588859097,124
COMPOSITE_ALPHA_V2,BASELINE_V2,2021,133084.72160538327,158755.37976815685,0.19288959583873977,143
COMPOSITE_ALPHA_V2,BASELINE_V2,2022,158755.37976815685,158034.4744863214,-0.00454098174744233,18
COMPOSITE_ALPHA_V2,BASELINE_V2,2023,158034.4744863214,187802.06896736808,0.18836139758621595,110
COMPOSITE_ALPHA_V2,BASELINE_V2,2024,187802.06896736808,191636.5563453498,0.020417705721058832,186
COMPOSITE_ALPHA_V2,BASELINE_V2,2025,191636.5563453498,191636.5563453498,0.0,0
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,2019,100000.0,97275.22529733772,-0.027247747026622804,15
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,2020,97275.22529733772,117341.4081916265,0.20628256406452095,124
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,2021,117341.4081916265,132569.86335828897,0.12977903880097785,143
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,2022,132569.86335828897,131651.0723568939,-0.006930617397650107,18
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,2023,131651.0723568939,145401.36272,0.10444495526652697,110
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,2024,145401.36272,148345.32726974203,0.020247159274643378,187
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,2025,148345.32726974203,148345.32726974203,0.0,0
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,2019,100000.0,97820.18023787017,-0.02179819762129831,15
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,2020,97820.18023787017,113873.12655330107,0.16410669328552463,124
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,2021,113873.12655330107,126172.05215698849,0.1080055143469747,143
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,2022,126172.05215698849,125456.88090448495,-0.005668222401690737,18
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,2023,125456.88090448495,136733.28727223002,0.08988272533517105,110
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,2024,136733.28727223002,139121.8632210883,0.017468869479476012,187
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,2025,139121.8632210883,139121.8632210883,0.0,0
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,2019,100000.0,95490.52571550729,-0.045094742844927094,15
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,2020,95490.52571550729,132384.38859279867,0.3863615013201247,124
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,2021,132384.38859279867,159000.43723579112,0.20105126386813477,140
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,2022,159000.43723579112,158233.92634911567,-0.004820809929841574,18
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,2023,158233.92634911567,184936.78926250353,0.16875561094573754,106
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,2024,184936.78926250353,164221.16365815923,-0.112014627738238,173
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,2025,164221.16365815923,164221.16365815923,0.0,0
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,2019,100000.0,95527.96105996051,-0.04472038940039491,15
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,2020,95527.96105996051,131656.3245690927,0.378196740600957,124
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,2021,131656.3245690927,156698.96029141918,0.1902121740394187,140
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,2022,156698.96029141918,155907.5376904431,-0.005050592547035659,18
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,2023,155907.5376904431,181201.92415747812,0.16223966359636455,106
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,2024,181201.92415747812,159843.06021903324,-0.11787327335377751,173
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,2025,159843.06021903324,159843.06021903324,0.0,0
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,2019,100000.0,95490.52571550729,-0.045094742844927094,15
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,2020,95490.52571550729,135127.84338968023,0.41509162691452217,121
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,2021,135127.84338968023,155106.58204165375,0.14785064388513214,137
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,2022,155106.58204165375,155343.89338018722,0.001529988833547602,17
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,2023,155343.89338018722,187557.79708612288,0.20737154840773586,107
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,2024,187557.79708612288,191058.35888853853,0.0186639097750132,181
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,2025,191058.35888853853,191058.35888853853,0.0,0
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,2019,100000.0,95490.52571550729,-0.045094742844927094,15
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,2020,95490.52571550729,142031.29748814326,0.4873862765327506,119
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,2021,142031.29748814326,170790.26231134802,0.2024832929911491,133
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,2022,170790.26231134802,170402.48459071392,-0.0022704908077674224,17
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,2023,170402.48459071392,206530.5755948582,0.21201622201060966,104
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,2024,206530.5755948582,208155.8631402266,0.007869476665559816,179
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,2025,208155.8631402266,208155.8631402266,0.0,0
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,2019,100000.0,95527.96105996051,-0.04472038940039491,15
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,2020,95527.96105996051,133754.35306830241,0.40015919511092846,121
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,2021,133754.35306830241,153224.24160776107,0.1455645225207456,134
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,2022,153224.24160776107,153923.87052019523,0.004566045849488498,16
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,2023,153923.87052019523,180173.34301675987,0.17053542382901976,102
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,2024,180173.34301675987,152976.17345499186,-0.15095001905602712,169
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,2025,152976.17345499186,152976.17345499186,0.0,0
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,2019,100000.0,95527.96105996051,-0.04472038940039491,15
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,2020,95527.96105996051,131656.3245690927,0.378196740600957,124
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,2021,131656.3245690927,156698.96029141918,0.1902121740394187,140
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,2022,156698.96029141918,155907.5376904431,-0.005050592547035659,18
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,2023,155907.5376904431,181201.92415747812,0.16223966359636455,106
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,2024,181201.92415747812,159843.06021903324,-0.11787327335377751,173
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,2025,159843.06021903324,159843.06021903324,0.0,0
