architecture_id,variant_id,engine_id,trade_count,net_pnl,return_on_initial_equity,profit_factor,positive_net_contribution
COMPOSITE_ALPHA_V2,BASELINE_V2,COMPRESSION_EXPANSION_SPECIALIST_V2,272,27614.57867234623,0.2761457867234623,1.2634728662739887,True
COMPOSITE_ALPHA_V2,BASELINE_V2,TREND_CONTINUATION_CORE_V2,324,64021.977673002155,0.6402197767300215,1.5390109178496427,True
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,COMPRESSION_EXPANSION_SPECIALIST_V2,272,14242.31307755132,0.1424231307755132,1.2185652203878368,True
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,TREND_CONTINUATION_CORE_V2,325,34103.01419219044,0.34103014192190445,1.4526124902281823,True
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,COMPRESSION_EXPANSION_SPECIALIST_V2,272,11300.357602709413,0.11300357602709413,1.2141871234168398,True
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,TREND_CONTINUATION_CORE_V2,325,27821.505618379022,0.2782150561837902,1.4569568592207771,True
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,COMPRESSION_EXPANSION_SPECIALIST_V2,262,9438.556042507445,0.09438556042507446,1.0950569690694871,True
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,TREND_CONTINUATION_CORE_V2,314,54782.607615651024,0.5478260761565102,1.4882808810648942,True
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,COMPRESSION_EXPANSION_SPECIALIST_V2,262,5568.5581063468435,0.05568558106346844,1.0579164764274251,True
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,TREND_CONTINUATION_CORE_V2,314,54274.502112685994,0.54274502112686,1.508755262971524,True
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,COMPRESSION_EXPANSION_SPECIALIST_V2,266,28927.0503360043,0.289270503360043,1.2804508940919077,True
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,TREND_CONTINUATION_CORE_V2,312,62131.30855253291,0.621313085525329,1.5370154457449448,True
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,COMPRESSION_EXPANSION_SPECIALIST_V2,264,37597.37055629828,0.3759737055629828,1.3672298244109198,True
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,TREND_CONTINUATION_CORE_V2,303,70558.49258392719,0.7055849258392719,1.6330612839751206,True
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,COMPRESSION_EXPANSION_SPECIALIST_V2,255,3230.0500600425585,0.03230050060042559,1.0340111022188252,True
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,TREND_CONTINUATION_CORE_V2,302,49746.1233949491,0.497461233949491,1.4803123941055787,True
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,COMPRESSION_EXPANSION_SPECIALIST_V2,262,5568.5581063468435,0.05568558106346844,1.0579164764274251,True
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,TREND_CONTINUATION_CORE_V2,314,54274.502112685994,0.54274502112686,1.508755262971524,True
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,COMPRESSION_EXPANSION_SPECIALIST_V2,266,15868.534133254054,0.15868534133254053,1.2466764276493525,True
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,TREND_CONTINUATION_CORE_V2,312,32187.878227080524,0.32187878227080524,1.4399724101069782,True
