architecture_id,variant_id,decision,carry_forward,description,per_trade_notional_cap_fraction,portfolio_notional_cap_fraction,maximum_open_risk_fraction,strong_bull_holding_bars,candidate_count,trade_count,net_return,cagr,monthly_geometric_return,maximum_drawdown,profit_factor,win_rate,total_fees,turnover_on_initial_equity,minimum_cash,minimum_equity,capital_feasible,two_x_net_return,two_x_profit_factor,two_x_minimum_cash,two_x_capital_feasible,maximum_positions_observed,maximum_open_risk_fraction_observed,maximum_open_notional_fraction_observed,fourth_or_fifth_position_observed,positive_active_year_fraction,top_3_trade_profit_share,top_engine_profit_share,both_engines_positive,mean_high_opportunity_capture,high_opportunity_bull_adequacy,delta_net_return_vs_baseline,delta_monthly_return_vs_baseline,delta_maximum_drawdown_vs_baseline,delta_two_x_return_vs_baseline,delta_two_x_minimum_cash_vs_baseline,delta_high_opportunity_capture_vs_baseline,strategic_objective_met,rationale
COMPOSITE_ALPHA_V2,BASELINE_V2,REFERENCE_BASELINE,False,Frozen COMPOSITE_ALPHA_V2 comparison baseline.,,,0.0225,48,688,596,0.916365563453498,0.11447384855126796,0.009072777790036568,0.1130412238926507,1.409847927442455,0.41442953020134227,51297.12691843805,255.77096617587134,3359.8551604996246,95178.94982197955,True,0.4033942942691071,1.157795651363098,-7208.671002163035,False,3,0.0225,1.4985014985014986,False,0.6666666666666666,0.11198954130627406,0.6986510648842382,True,0.057199754959560284,False,0.0,0.0,0.0,0.0,0.0,0.0,False,Frozen RD16-J comparison baseline.
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,PROMISING_BUT_FRAGILE,False,Cap each admitted trade at 25% of frozen initial equity.,0.25,,0.0225,48,688,597,0.48345327269742033,0.06792235150032622,0.005491274856882944,0.08998968164213472,1.344070840825143,0.4154103852596315,29729.54562133042,148.25735374219676,43393.11849492503,97058.66165654233,True,0.1861578164841171,1.1171410537319915,21599.380956670997,True,4,0.015227196377449275,1.0,True,0.6666666666666666,0.11579164622718684,0.7054045575472759,True,0.03741020014675482,False,-0.4329122907560776,-0.003581502933153624,-0.023051542250515977,-0.21723647778499,28808.051958834032,-0.019789554812805463,False,Restores stressed-cost capital feasibility but fails one or more retention gates.
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,PROMISING_BUT_FRAGILE,False,Cap each admitted trade at 20% of frozen initial equity.,0.2,,0.0225,48,688,597,0.39121863221088304,0.05656016737252356,0.004595402137184346,0.07728162643699255,1.3442504994094702,0.4154103852596315,23913.047357207353,119.25006223314529,55076.41572605411,97646.92932523385,True,0.15208815863880742,1.1184080306095756,37550.30446084717,True,4,0.014679141805573722,0.8,True,0.6666666666666666,0.11451723475127527,0.7111498105586643,True,0.030655375775286674,False,-0.5251469312426149,-0.004477375652852222,-0.035759597455658154,-0.2513061356302997,44758.9754630102,-0.02654437918427361,False,Restores stressed-cost capital feasibility but fails one or more retention gates.
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,PROMISING_BUT_FRAGILE,False,Cap aggregate open entry notional at 90% of initial equity.,,0.9,0.0225,48,688,576,0.6422116365815924,0.08616885744782765,0.006911835158000645,0.14929273016554734,1.303662613636939,0.4131944444444444,47895.13104695083,238.9150737612286,11986.595029181379,95178.94982197955,True,0.16326032611207753,1.0675586829455634,10488.677322325173,True,3,0.01843093538887168,0.9,False,0.5,0.12499810538437298,0.8530304419155694,True,0.025903991300274952,False,-0.27415392687190554,-0.0021609426320359226,0.03625150627289664,-0.2401339681570296,17697.348324488208,-0.03129576365928533,False,Restores stressed-cost capital feasibility but fails one or more retention gates.
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,PROMISING_BUT_FRAGILE,False,Cap aggregate open entry notional at 80% of initial equity.,,0.8,0.0225,48,688,576,0.5984306021903325,0.0812892009256605,0.006534090784797275,0.15338398170013545,1.2950418658756075,0.4166666666666667,45746.35746629657,228.2038402430562,15277.363706967939,95220.89679192728,True,0.1409670275273649,1.0608422949597405,13789.165283717914,True,3,0.01692943538887168,0.8,False,0.5,0.1274587882010576,0.9069473037313726,True,0.02153716120022734,False,-0.31793496126316545,-0.002538687005239293,0.04034275780748475,-0.2624272667417422,20997.83628588095,-0.03566259375933294,False,Restores stressed-cost capital feasibility but fails one or more retention gates.
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,REJECT_REMEDIATION,False,Extend only Strong Bull candidate paths to 72 bars.,,,0.0225,72,688,578,0.9105835888853853,0.11391283636969907,0.009030438470466695,0.12159069840592662,1.4160913512521713,0.4134948096885813,49679.0499036146,247.6915624741122,3361.4692495136915,95178.94982197955,True,0.41379308984923124,1.1656254100117034,-9964.484332120432,False,3,0.0225,1.4985014985014986,False,0.8333333333333334,0.12750393178372774,0.6823240536169408,True,0.05709203577095896,False,-0.005781974568112691,-4.233931956987291e-05,0.008549474513275923,0.010398795580124132,-2755.8133299573965,-0.00010771918860132124,False,Does not restore sufficient robust capital efficiency and bull-capture evidence.
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,RETAIN_FOR_COMPOSITE_V3_REGISTRATION,True,Extend only Strong Bull candidate paths to 96 bars.,,,0.0225,96,688,567,1.0815586314022658,0.1299355665514641,0.010232043860760598,0.11030602524673228,1.505786335911124,0.4144620811287478,48687.39928253005,242.6527801005365,4924.12494235066,95178.94982197955,True,0.5946846385769569,1.243486912246254,3041.820393014721,True,3,0.0225,1.4985014985014986,False,0.6666666666666666,0.16179493549626373,0.6523778788806595,True,0.06270309657265272,False,0.16519306794876787,0.0011592660707240299,-0.002735198645918424,0.19129034430784975,10250.491395177756,0.005503341613092433,False,"Passes all fixed capital, robustness, return-preservation, and bull-capture gates."
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,PROMISING_BUT_FRAGILE,False,Combine an 80% open-notional cap with a 72-bar Strong Bull hold.,,0.8,0.0225,72,688,557,0.5297617345499186,0.07340644395137264,0.0059205562923332344,0.18247073139774517,1.2668276250817778,0.4129263913824057,44078.53779962368,219.90741544184536,15277.363706967939,95220.89679192728,True,0.08897635655368274,1.0393190321957817,13789.165283717914,True,3,0.01766489392235431,0.8,False,0.6666666666666666,0.15139240238199908,0.939028248939369,True,0.014284997346674658,False,-0.38660382890357936,-0.0031522214977033336,0.06942950750509447,-0.31441793771542437,20997.83628588095,-0.04291475761288563,False,Restores stressed-cost capital feasibility but fails one or more retention gates.
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,PROMISING_BUT_FRAGILE,False,Raise open risk to 3.00% only while aggregate open notional is capped at 80%.,,0.8,0.03,48,688,576,0.5984306021903325,0.0812892009256605,0.006534090784797275,0.15338398170013545,1.2950418658756075,0.4166666666666667,45746.35746629657,228.2038402430562,15277.363706967939,95220.89679192728,True,0.1409670275273649,1.0608422949597405,13789.165283717914,True,3,0.01692943538887168,0.8,False,0.5,0.1274587882010576,0.9069473037313726,True,0.02153716120022734,False,-0.31793496126316545,-0.002538687005239293,0.04034275780748475,-0.2624272667417422,20997.83628588095,-0.03566259375933294,False,Restores stressed-cost capital feasibility but fails one or more retention gates.
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,PROMISING_BUT_FRAGILE,False,"Combine a 25% per-trade cap, 80% portfolio cap, 3.00% open risk, and a 72-bar Strong Bull hold.",0.25,0.8,0.03,72,688,578,0.48056412360334866,0.06757549773923222,0.005464056089673264,0.09726752107866155,1.3495311627070656,0.4134948096885813,28778.30546626595,143.50735374219676,47097.14933457854,97058.66165654233,True,0.19278106894069125,1.1241243413160267,38595.6622962041,True,3,0.015273037704090438,0.75,False,0.6666666666666666,0.13381643693089376,0.6697936164216904,True,0.035667161680533466,False,-0.4358014398501493,-0.0036087217003633043,-0.015773702813989154,-0.21061322532841587,45804.333298367135,-0.021532593279026818,False,Restores stressed-cost capital feasibility but fails one or more retention gates.
