architecture_id,variant_id,window_id,start,end,days,architecture_return,equal_weight_return,capture_ratio,high_opportunity_window,strategic_bull_adequacy
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.03289272167599033,0.33154791649728477,-0.09920955626412362,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,0.013484454365154885,0.37052437252117865,0.03639289440908272,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.003796010612976186,-0.15141585105211164,,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,-0.0004849319041422273,2.667291938689029,-0.00018180683453067039,True,False
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.061561743890489073,0.37373514866458524,-0.16472024135396127,False,
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.014018995338449192,0.6437975137033425,-0.021775472939942184,False,
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.3908260483752064,8.977084241529303,0.043535967565859306,True,False
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.03841246441250734,0.33154791649728477,-0.11585795748115317,False,
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,0.0025842648242411226,0.37052437252117865,0.006974614940056095,False,
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.013855070007597337,-0.15141585105211164,,False,
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.1884391182190055,2.667291938689029,0.07064810397605863,True,False
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_72,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.07362299073214373,0.37373514866458524,-0.19699241828126232,False,
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.014018995338449192,0.6437975137033425,-0.021775472939942184,False,
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.5215815050932315,8.977084241529303,0.05810143817970643,True,False
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.03827935935759674,0.33154791649728477,-0.1154564919665548,False,
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.013176310543214553,0.37052437252117865,-0.035561251891632076,False,
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.01117283018188997,-0.15141585105211164,,False,
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.17952143035518264,2.667291938689029,0.06730475496559901,True,False
COMPOSITE_ALPHA_V2,STRONG_BULL_HOLD_96,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.07182292012856983,0.37373514866458524,-0.1921759844777899,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.014018995338449192,0.6437975137033425,-0.021775472939942184,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.3715384884284565,8.977084241529303,0.04138743476525097,True,False
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.025775942441514044,0.33154791649728477,-0.07774424497620132,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,0.0011422806343905911,0.37052437252117865,0.0030828758351795064,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.009257157117979475,-0.15141585105211164,,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,-0.034187854578413,2.667291938689029,-0.012817440071901652,True,False
COMPOSITE_ALPHA_V2,PORTFOLIO_80_SB72,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.07680659780910026,0.37373514866458524,-0.20551076901260792,False,
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.014018995338449192,0.6437975137033425,-0.021775472939942184,False,
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.38831391610494204,8.977084241529303,0.043256129234985355,True,False
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.03289272167599033,0.33154791649728477,-0.09920955626412362,False,
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,0.013484454365154885,0.37052437252117865,0.03639289440908272,False,
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.003796010612976186,-0.15141585105211164,,False,
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,-0.0004849319041422273,2.667291938689029,-0.00018180683453067039,True,False
COMPOSITE_ALPHA_V2,OPEN_RISK_300_PORTFOLIO_80,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.061561743890489073,0.37373514866458524,-0.16472024135396127,False,
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.007016507166893726,0.6437975137033425,-0.010898624206440917,False,
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.2325055039117656,8.977084241529303,0.025899891062196027,True,False
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.025635153875656846,0.33154791649728477,-0.07731960479946731,False,
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.009054442959507192,0.37052437252117865,-0.024436835012761955,False,
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.012489365018549803,-0.15141585105211164,,False,
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.12118689500969082,2.667291938689029,0.04543443229887091,True,False
COMPOSITE_ALPHA_V2,EVIDENCE_CAPITAL_BULL_COMPOSITE,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.05590073605844903,0.37373514866458524,-0.14957313021852828,False,
