pair,resolution,boundary_status,first_valid_open,last_valid_open,discovery_channels
AITECH-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AIX-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AIXBT-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AKE-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AKITA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AKRO-USDT,,NOT_CONFIRMED,,,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
AKT-USDT,,EXACT_FULL_HISTORY,2022-05-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ALBT-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ALEPH-USDT,,EXACT_FULL_HISTORY,2020-09-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ALEX-USDT,,EXACT_FULL_HISTORY,2024-01-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ALGO-USDT,,EXACT_FULL_HISTORY,2019-06-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ALGODOWN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ALGOUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ALICE-USDT,,EXACT_FULL_HISTORY,2021-09-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ALKIMI-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ALL-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ALLO-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ALPA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ALPACA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ALPHA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ALPINE-USDT,,EXACT_FULL_HISTORY,2022-04-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ALT-USDT,,NOT_CONFIRMED,,,announcement_listing
