pair,resolution,boundary_status,first_valid_open,last_valid_open,discovery_channels
DTA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
DUCK-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
DUSK-USDT,,EXACT_FULL_HISTORY,2022-05-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
DVPN-USDT,,NOT_CONFIRMED,,,announcement_listing
DX-USDT,,NOT_CONFIRMED,,,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
DYDX-USDT,,EXACT_FULL_HISTORY,2021-09-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
DYDXDOWN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
DYDXUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
DYM-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
DYP-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
DZD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
E4C-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EAT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EBTC-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ECHO-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ECOSYSTEM-USDT,,NOT_CONFIRMED,,,announcement_listing
ECOX-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EDEN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EDG-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EDGE-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EDGEN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EDGEOLD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EDN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EDR-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EDU-USDT,,EXACT_FULL_HISTORY,2023-05-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
EFI-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EFX-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EGAME-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EGL1-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EGLD-USDT,,EXACT_FULL_HISTORY,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
EGO-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EGP-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EGT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EIGEN-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ELA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ELDE-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ELEC-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ELF-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ELITEHERO-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ELIX-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ELIZAOS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ELON-USDT,,EXACT_FULL_HISTORY,2021-05-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ELP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ELSA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EMYC-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ENA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ENADOWN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ENAUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ENJ-USDT,,EXACT_FULL_HISTORY,2021-03-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,current_currency_non_causal_seed
ENQ-USDT,,NOT_CONFIRMED,,,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ENS-USDT,,EXACT_FULL_HISTORY,2021-11-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ENSO-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EOS-USDT,,NOT_CONFIRMED,,,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
EOS3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EOS3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EOSC-USDT,,NOT_CONFIRMED,,,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
EPIC-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EPIK-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EPK-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EPRX-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EPS-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EPT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EPX-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EQTY-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EQX-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EQZ-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ERA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ERG-USDT,,EXACT_FULL_HISTORY,2021-08-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ERN-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ERSDL-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ERTHA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ES-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ESE-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ESIM-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ESP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ESPORTS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ETC-USDT,,EXACT_FULL_HISTORY,2018-01-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,current_currency_non_causal_seed
ETCDOWN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ETCUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ETF-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ETGM-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ETH-USDT,,EXACT_FULL_HISTORY,2017-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ETH2-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ETH3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ETH3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ETHDOWN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ETHFI-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ETHO-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ETHUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ETHW-USDT,,EXACT_FULL_HISTORY,2022-09-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ETN-USDT,,EXACT_FULL_HISTORY,2019-07-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,current_currency_non_causal_seed
EUL-USDT,,EXACT_FULL_HISTORY,2022-10-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
EUR-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EVER-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EVX-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EWT-USDT,,EXACT_FULL_HISTORY,2020-08-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
EXRD-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
EXY-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
EYWA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
F-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FALCONS-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FARTCOIN-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FASTER-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FB-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FCD-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FCL-USDT,,NOT_CONFIRMED,,,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
FCON-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FEAR-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FET-USDT,,EXACT_FULL_HISTORY,2023-02-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
FETDOWN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FETUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FF-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FI-USDT,,NOT_CONFIRMED,,,announcement_listing
FIDA-USDT,,EXACT_FULL_HISTORY,2022-07-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
FIGHT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FIL-USDT,,EXACT_FULL_HISTORY,2020-10-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
FILDOWN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FILUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FINC-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FIRE-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FITFI-USDT,,EXACT_FULL_HISTORY,2022-05-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
FJD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FKX-USDT,,NOT_CONFIRMED,,,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
FLAME-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FLIP-USDT,,EXACT_FULL_HISTORY,2023-11-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
FLIXX-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FLK-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FLOCK-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FLOKI-USDT,,EXACT_FULL_HISTORY,2023-02-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
FLOKIDOWN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FLOKIUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FLOW-USDT,,EXACT_FULL_HISTORY,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
FLR-USDT,,EXACT_FULL_HISTORY,2023-01-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
FLUX-USDT,,EXACT_FULL_HISTORY,2021-04-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
FLY-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FOGO-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FOLKS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FOMO-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FORESTPLUS-USDT,,NOT_CONFIRMED,,,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
FORM-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FORMOLD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FORT-USDT,,EXACT_FULL_HISTORY,2022-06-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
FORTH-USDT,,EXACT_FULL_HISTORY,2021-04-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
FORWARD-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FOTA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FOXY-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FRA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FRAG-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FRAX-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FRED-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FREEDOG-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FRM-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FRONT-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FRONTDOWN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FRONTUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FRR-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FSN-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FST-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FT-USDT,,NOT_CONFIRMED,,,announcement_listing
FTG-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FTM-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FTM3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FTM3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FTOLD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FTON-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FTT-USDT,,EXACT_FULL_HISTORY,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
FUEL-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FUN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FURY-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
FWOG-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FX-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
FXS-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
G-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
G3-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
G7-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GAFI-USDT,,EXACT_FULL_HISTORY,2021-12-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
GAIA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GAIN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GAL-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GALA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GALAX-USDT,,EXACT_FULL_HISTORY,2021-08-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
GALAX3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GALAX3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GALAXY-USDT,,NOT_CONFIRMED,,,announcement_listing
GAME-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GAMEAI-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GAMMA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GARI-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GAS-USDT,,EXACT_FULL_HISTORY,2021-03-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,current_currency_non_causal_seed
GAT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GBP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GEEQ-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GEL-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GEM-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GENIUS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GENS-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GF-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GFT-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GGC-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GGG-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GHS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GHST-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GHX-USDT,,EXACT_FULL_HISTORY,2021-04-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
GIGA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GIGGLE-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GIZA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GLA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GLCH-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GLM-USDT,,EXACT_FULL_HISTORY,2021-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
GLMR-USDT,,EXACT_FULL_HISTORY,2022-01-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
GLMRDOWN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GLMRUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GLQ-USDT,,EXACT_FULL_HISTORY,2021-05-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
GLS-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GMB-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GMEE-USDT,,EXACT_FULL_HISTORY,2021-06-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
GMM-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GMRX-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GMT-USDT,,EXACT_FULL_HISTORY,2022-03-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
GMT3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GMT3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GMX-USDT,,EXACT_FULL_HISTORY,2022-10-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
GNS-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GO-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GOAL-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GOAT-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GOATS-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GOD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GODL-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GODS-USDT,,EXACT_FULL_HISTORY,2021-11-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
GOM2-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GOMINING-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GORK-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GOVI-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GPS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GPT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GRAIL-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GRAM-USDT,,EXACT_FULL_HISTORY,2022-10-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,current_currency_non_causal_seed
GRAPE-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GRASS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GRIFFAIN-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GRIFT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GRIN-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GROVE-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GRT-USDT,,EXACT_FULL_HISTORY,2020-12-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
GRT2L-USDT,,EXACT_FULL_HISTORY,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,current_currency_non_causal_seed
GRT2S-USDT,,EXACT_FULL_HISTORY,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,current_currency_non_causal_seed
GRVT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GSPI-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GST-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GTAI-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GTC-USDT,,EXACT_FULL_HISTORY,2021-09-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
GTQ-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GTT-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
GUN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GVT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GWEI-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GX-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GYD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
GZIL-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
H-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
H1-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
H2O-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
H3RO3S-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
HAEDAL-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HAI-USDT,,EXACT_FULL_HISTORY,2021-04-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
HAIO-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HAKA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
HALO-USDT,,NOT_CONFIRMED,,,announcement_listing
HALOOLD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HANA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HAPI-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
HAPPY-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HARD-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
HAS-USDT,,NOT_CONFIRMED,,,announcement_listing
HAT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HAVE-USDT,,NOT_CONFIRMED,,,announcement_listing
HAWK-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
HBAR-USDT,,EXACT_FULL_HISTORY,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
HBB-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
HC-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HEART-USDT,,EXACT_FULL_HISTORY,2021-12-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
HEGIC-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
HEI-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HERO-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
HFT-USDT,,EXACT_FULL_HISTORY,2022-11-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
HFUN-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
HGP-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
HIAZUKI-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HIBAKC-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HIBAYC-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HIBEANZ-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HIBIRDS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HICLONEX-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HICOOLCATS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HIDOODLES-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HIENS3-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HIENS4-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HIFI-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HIFIDENZA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HIFLUF-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
HIFRIENDS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
