audit,value
absent_archive_confirmed_bases,[]
archive_confirmed_count,0
archive_confirmed_in_seed_count,0
archive_confirmed_retention_ratio,
p0b_delisted_count,6
p0b_delisted_in_seed_count,6
p0b_delisted_retention_ratio,1.0
threshold_pass,False
