audit,value
collection_listing_status,OK
selected_collection_count,12
archive_capture_count,0
usable_official_capture_count,0
archive_candidate_count,0
new_kline_confirmed_count,0
pre_2020_usable_capture_count,0
multi_pair_capture_count,0
launch_era_residual_uncertainty,No complete launch-era claim without a usable pre-2020 multi-pair official capture.
