collection_id,name,from,to,index_url
CC-MAIN-2017-04,January 2017 Index,2017-01-16T10:37:01,2017-01-25T03:12:25,https://index.commoncrawl.org/CC-MAIN-2017-04-index
CC-MAIN-2017-22,May 2017 Index,2017-05-22T15:17:15,2017-05-30T14:44:50,https://index.commoncrawl.org/CC-MAIN-2017-22-index
CC-MAIN-2017-39,September 2017 Index,2017-09-19T11:22:42,2017-09-26T23:28:17,https://index.commoncrawl.org/CC-MAIN-2017-39-index
CC-MAIN-2017-51,December 2017 Index,2017-12-10T23:55:16,2017-12-19T00:16:55,https://index.commoncrawl.org/CC-MAIN-2017-51-index
CC-MAIN-2018-05,January 2018 Index,2018-01-16T07:04:44,2018-01-24T12:59:39,https://index.commoncrawl.org/CC-MAIN-2018-05-index
CC-MAIN-2018-22,May 2018 Index,2018-05-20T09:28:30,2018-05-28T11:16:37,https://index.commoncrawl.org/CC-MAIN-2018-22-index
CC-MAIN-2018-39,September 2018 Index,2018-09-18T13:06:31,2018-09-26T16:13:48,https://index.commoncrawl.org/CC-MAIN-2018-39-index
CC-MAIN-2018-51,December 2018 Index,2018-12-09T18:55:47,2018-12-19T17:31:24,https://index.commoncrawl.org/CC-MAIN-2018-51-index
CC-MAIN-2019-04,January 2019 Index,2019-01-15T22:54:38,2019-01-24T14:36:22,https://index.commoncrawl.org/CC-MAIN-2019-04-index
CC-MAIN-2019-22,May 2019 Index,2019-05-19T06:15:20,2019-05-27T15:18:25,https://index.commoncrawl.org/CC-MAIN-2019-22-index
CC-MAIN-2019-39,September 2019 Index,2019-09-15T05:24:33,2019-09-24T10:52:00,https://index.commoncrawl.org/CC-MAIN-2019-39-index
CC-MAIN-2019-51,December 2019 Index,2019-12-05T14:16:05,2019-12-16T14:52:04,https://index.commoncrawl.org/CC-MAIN-2019-51-index
