direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,coefficient_name,coefficient_value
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,96,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.013368575755163844
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,120,True,3,INTERCEPT,-0.017852470327629558
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,120,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.08191516366387035
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,120,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.04072686807983791
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,144,True,3,INTERCEPT,-0.03181304764213068
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,144,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.08220066149902791
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,144,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.045040013358067635
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,24,True,3,INTERCEPT,0.038538091556180994
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,24,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,-0.025770672941728676
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,24,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.011754419260297726
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,48,True,3,INTERCEPT,-0.05035082387620195
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,48,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.08112201675073724
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,48,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,0.05473159988055213
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,72,True,3,INTERCEPT,0.017438463891895635
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,72,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.0223745509163607
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,72,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.04626510106239883
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,96,True,3,INTERCEPT,0.019178601938376887
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,96,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,-0.035026291875162506
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,96,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,0.011572312240401374
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,120,True,3,INTERCEPT,-0.018829289789875955
