direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,subset_row_count,subset_unique_pair_count,subset_unique_signal_day_count,subset_actual_mean_rcv,subset_actual_median_rcv,subset_actual_negative_fraction,complement_actual_mean_rcv,subset_support_pass,subset_mean_lt_zero,subset_median_lt_zero,subset_negative_fraction_gt_0_5,subset_mean_lt_complement_mean,all_lopo_subset_required_pass,negative_subset_gate_pass
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,116,12,65,0.021000910463756933,-0.00497259971986735,0.5603448275862069,-0.001245430565921489,True,False,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,87,12,55,0.019111640390855788,-0.0025550010124714,0.5287356321839081,0.01651163278871194,True,False,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,58,10,36,0.006592715175890001,0.0047019447695115495,0.4827586206896552,-0.0335602405783245,True,False,False,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,28,9,20,-0.005139176735578773,-0.01069487216378065,0.5714285714285714,0.01802879025234775,True,True,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,32,9,25,-0.0121769081805915,-0.01472137871301825,0.71875,0.010541761724914651,True,True,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,43,10,31,0.0023588313801494575,-0.0042604325977716,0.5813953488372093,0.0002778394268448236,True,False,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,120,12,66,0.029072919213748875,-0.0033816519187554,0.525,0.003870899347347485,True,False,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,84,12,49,0.03057907305169267,0.00196186782100965,0.47619047619047616,0.016946356955086898,True,False,False,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,58,11,40,0.03406598912037865,0.01630566433571995,0.41379310344827586,-0.01341367562667385,True,False,False,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,96,True,3,35,11,27,0.03449676701750698,0.0044610667870352,0.4,0.02450872305246177,True,False,False,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,120,True,3,31,8,24,-0.00531194217224778,-0.0088147649716425,0.6451612903225806,0.04164127464803995,True,True,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,144,True,3,43,11,35,0.0066491279464129536,-0.0042604325977716,0.5813953488372093,0.023706998176775313,True,False,True,True,True,False,False
