universe_id,landmark_age_hours,direction,training_period,evaluation_period,removed_pair,training_row_count,evaluation_row_count,training_pair_count,evaluation_pair_count,structural_support_pass,model_fit_pass,continuous_lopo_pass,classification_auc_lopo_pass,subset_required_lopo_pass,spearman_predicted_vs_actual,auc_adverse_score,subset_row_count,subset_actual_mean_rcv,subset_actual_negative_fraction
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LTC-USDT,45,117,8,11,True,True,False,False,False,-0.04637831051528816,0.4847953216374269,83,0.020376704178606635,0.5301204819277109
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LUNC-USDT,43,124,7,12,True,True,False,False,False,-0.07080111196208132,0.473142112125163,81,0.017594841168671434,0.5185185185185185
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,OP-USDT,45,120,8,11,True,True,False,False,False,-0.06616323090871609,0.4775828460038986,83,0.020104822621129555,0.5301204819277109
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SHIB-USDT,45,115,8,11,True,True,False,False,False,-0.04487891509671449,0.48880822746521474,80,0.021272392397641088,0.5125
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SOL-USDT,38,101,7,11,True,True,False,False,False,-0.1347588168663372,0.4491725768321513,72,0.01790798213561882,0.5416666666666666
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XMR-USDT,45,117,8,11,True,True,False,False,False,-0.05045477131129625,0.48005865102639295,83,0.02001267326585457,0.5301204819277109
C2,48,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XRP-USDT,41,108,7,11,True,True,False,False,False,-0.02907857516747443,0.4830508474576271,72,0.01085377476352089,0.5416666666666666
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ADA-USDT,19,60,6,10,True,True,False,False,False,-0.031113590166720898,0.49777777777777776,57,0.006819121882880476,0.47368421052631576
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ATOM-USDT,19,60,6,10,True,True,False,False,False,-0.040402085293717506,0.49833333333333335,60,0.005254283317416185,0.5
C2,72,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,AVAX-USDT,17,60,6,10,True,True,False,True,False,0.010987183455833473,0.5133333333333333,30,0.007042006309171454,0.5
