policy_id,portfolio_id,universe_id,pf1_break_even_cost_multiplier,method
MB_BREADTH_ACCELERATION_CONFIRMATION,UNION_FOCUS,D2,6.078961555531807,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_BREADTH_ACCELERATION_CONFIRMATION,MOMENTUM_BREAKOUT,D2,6.524925295535771,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_BREADTH_ACCELERATION_CONFIRMATION,RELATIVE_STRENGTH_ROTATION,D2,8.459921700744866,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_BREADTH_ACCELERATION_CONFIRMATION,UNION_FOCUS,E2,6.462202593038517,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_BREADTH_ACCELERATION_CONFIRMATION,MOMENTUM_BREAKOUT,E2,7.864829072154407,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_BREADTH_ACCELERATION_CONFIRMATION,RELATIVE_STRENGTH_ROTATION,E2,6.875845254144063,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_RELATIVE_STRENGTH_LEADER_CONFIRMATION,UNION_FOCUS,C2,6.9065922119435506,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_RELATIVE_STRENGTH_LEADER_CONFIRMATION,MOMENTUM_BREAKOUT,C2,11.709706905931064,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_RELATIVE_STRENGTH_LEADER_CONFIRMATION,RELATIVE_STRENGTH_ROTATION,C2,5.759229070011739,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_RELATIVE_STRENGTH_LEADER_CONFIRMATION,UNION_FOCUS,D2,8.476048045930243,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_RELATIVE_STRENGTH_LEADER_CONFIRMATION,MOMENTUM_BREAKOUT,D2,10.818004590276402,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_RELATIVE_STRENGTH_LEADER_CONFIRMATION,RELATIVE_STRENGTH_ROTATION,D2,8.459921700744866,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_RELATIVE_STRENGTH_LEADER_CONFIRMATION,UNION_FOCUS,E2,7.876987098438794,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_RELATIVE_STRENGTH_LEADER_CONFIRMATION,MOMENTUM_BREAKOUT,E2,10.639130859227691,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
MB_RELATIVE_STRENGTH_LEADER_CONFIRMATION,RELATIVE_STRENGTH_ROTATION,E2,6.875845254144063,BASE_ROUTED_QUANTITIES_AND_FILLS_FIXED_COST_SCALED_UNTIL_PF_1
