transport_direction,universe_id,landmark_age_hours,train_period_id,evaluation_period_id,train_row_count,train_unique_positions,train_unique_pairs,train_unique_signal_days,evaluation_row_count,evaluation_unique_positions,evaluation_unique_pairs,evaluation_unique_signal_days,base_support_pass,design_rank,fit_status,actual_negative_row_count,actual_nonnegative_row_count,classification_support_pass,negative_rcv_auc,actual_negative_event_median_prediction,actual_nonnegative_event_median_prediction,classification_point_pass,lopo_run_count,all_lopo_classification_auc_pass,classification_gate_pass,joint_cell_qualified
CALIBRATE_2023_EVALUATE_2022,C2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,FIT_PASS,12,9,False,,-0.005519475836040025,0.0041855948387274355,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,127,127,12,69,45,45,8,22,True,4,FIT_PASS,30,15,True,0.3844444444444444,0.03162840520112789,0.025029326542713365,False,15,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,127,127,12,69,45,45,8,22,True,4,FIT_PASS,32,13,True,0.46875,0.036826891539463266,0.028399630811382547,False,15,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,FIT_PASS,14,7,False,,0.041631493262030264,0.038458431725491224,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,FIT_PASS,10,11,True,0.5454545454545454,0.007540705375391782,0.016706771318861557,True,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,FIT_PASS,9,12,False,,0.013954508160150245,0.02291121733660693,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,FIT_PASS,12,9,False,,0.0050507816286833145,0.01221417610656588,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,126,126,14,71,45,45,8,22,True,4,FIT_PASS,30,15,True,0.4711111111111111,0.023163592412302,0.01720768478700231,False,17,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,126,126,14,71,45,45,8,22,True,4,FIT_PASS,32,13,True,0.44471153846153844,0.025485328553119937,0.022217574372024283,False,17,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,FIT_PASS,14,7,False,,0.01917336319864752,0.02151234040570219,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,FIT_PASS,10,11,True,0.6272727272727273,-0.0038571188549095387,0.017695970774544642,True,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,FIT_PASS,9,12,False,,0.00399393065021187,0.006757689926672497,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,FIT_PASS,12,9,False,,-0.0005671865064268227,0.005868788653881027,False,13,False,False,False
