transport_direction,landmark_age_hours,joint_qualified_universe_count,universe_count,landmark_qualified,qualified_universes
CALIBRATE_2022_EVALUATE_2023,24,0,3,False,
CALIBRATE_2022_EVALUATE_2023,48,0,3,False,
CALIBRATE_2022_EVALUATE_2023,72,0,3,False,
CALIBRATE_2022_EVALUATE_2023,96,0,3,False,
CALIBRATE_2022_EVALUATE_2023,120,0,3,False,
CALIBRATE_2022_EVALUATE_2023,144,0,3,False,
CALIBRATE_2023_EVALUATE_2022,24,0,3,False,
CALIBRATE_2023_EVALUATE_2022,48,0,3,False,
CALIBRATE_2023_EVALUATE_2022,72,0,3,False,
CALIBRATE_2023_EVALUATE_2022,96,0,3,False,
CALIBRATE_2023_EVALUATE_2022,120,0,3,False,
CALIBRATE_2023_EVALUATE_2022,144,0,3,False,
