transport_direction,universe_id,landmark_age_hours,train_period_id,evaluation_period_id,train_row_count,train_unique_positions,train_unique_pairs,train_unique_signal_days,evaluation_row_count,evaluation_unique_positions,evaluation_unique_pairs,evaluation_unique_signal_days,base_support_pass,design_rank,fit_status,spearman_predicted_vs_actual,predicted_bottom_half_actual_mean_rcv,predicted_top_half_actual_mean_rcv,continuous_point_pass,lopo_run_count,all_lopo_continuous_pass,continuous_gate_pass,joint_cell_qualified
CALIBRATE_2022_EVALUATE_2023,C2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,124,124,12,69,True,4,FIT_PASS,0.0432753287183923,0.004590398192850429,0.03454092711793072,True,16,False,False,False
CALIBRATE_2022_EVALUATE_2023,C2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,124,124,12,69,True,4,FIT_PASS,0.062005989120540415,0.015031847626059434,0.02163981571566307,True,16,False,False,False
CALIBRATE_2022_EVALUATE_2023,C2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,4,FIT_PASS,0.10842352427551352,-0.002151885955231475,0.012660452590063839,True,13,False,False,False
CALIBRATE_2022_EVALUATE_2023,C2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,4,FIT_PASS,0.05991968261908627,0.0012995005795832617,0.013134644069714145,True,13,False,False,False
CALIBRATE_2022_EVALUATE_2023,C2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,4,FIT_PASS,0.11951372033006069,-0.0005739853708481762,-0.0009439706044000485,False,13,False,False,False
CALIBRATE_2022_EVALUATE_2023,C2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,4,FIT_PASS,0.2080895965614137,-0.0029537011213696656,0.006492135108129289,True,13,True,True,False
CALIBRATE_2022_EVALUATE_2023,D2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,127,127,12,69,True,4,FIT_PASS,-0.03364244509089142,0.02032621961349939,0.03492648070985681,False,15,False,False,False
CALIBRATE_2022_EVALUATE_2023,D2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,127,127,12,69,True,4,FIT_PASS,0.023118745758732986,0.022530501012876247,0.029342405024995605,True,15,False,False,False
CALIBRATE_2022_EVALUATE_2023,D2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,FIT_PASS,0.17233522311818864,0.018093750055876014,0.04687291720174445,True,13,True,True,False
CALIBRATE_2022_EVALUATE_2023,D2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,FIT_PASS,-0.1297001386296266,0.0364679979393919,0.024202166124751057,False,13,False,False,False
CALIBRATE_2022_EVALUATE_2023,D2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,FIT_PASS,0.2140991444897845,0.009016326265711383,0.026343017026096052,True,13,True,True,False
CALIBRATE_2022_EVALUATE_2023,D2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,FIT_PASS,0.19497554739692985,0.005015424924706399,0.01794895743199151,True,13,True,True,False
CALIBRATE_2022_EVALUATE_2023,E2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,126,126,14,71,True,4,FIT_PASS,0.031617518059012174,0.011430054241973292,0.037480147523634044,True,17,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,126,126,14,71,True,4,FIT_PASS,0.020685941755520177,0.022064026968552874,0.020823263309459546,False,17,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,FIT_PASS,0.0975589425246868,0.014906037273523697,0.019742789491731968,True,13,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,FIT_PASS,-0.021511951914794873,0.013682606003460726,0.020818548358860992,False,13,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,FIT_PASS,0.21182943704038867,0.0018898059234835366,0.009300738224201303,True,13,True,True,False
