transport_direction,universe_id,landmark_age_hours,held_out_pair,train_row_count,train_unique_pairs,evaluation_row_count,evaluation_unique_pairs,lopo_support_pass,design_rank,fit_status,continuous_lopo_pass,classification_lopo_auc_pass,negative_subset_lopo_pass,spearman_predicted_vs_actual,predicted_bottom_half_actual_mean_rcv,predicted_top_half_actual_mean_rcv,continuous_point_pass,actual_negative_row_count,actual_nonnegative_row_count,classification_support_pass,negative_rcv_auc,actual_negative_event_median_prediction,actual_nonnegative_event_median_prediction,classification_point_pass,predicted_negative_subset_row_count,predicted_negative_subset_unique_pairs,predicted_negative_subset_signal_days,predicted_negative_subset_support_pass,predicted_negative_subset_actual_mean_rcv,predicted_negative_subset_actual_median_rcv,predicted_negative_subset_actual_negative_fraction,predicted_nonnegative_complement_actual_mean_rcv,negative_subset_point_pass
CALIBRATE_2022_EVALUATE_2023,C2,24,ADA-USDT,40,7,124,12,True,4,FIT_PASS,True,True,False,0.03842867333171894,0.0070384942548217195,0.03209283105595944,True,69,55,True,0.5118577075098815,-0.011185873220103934,-0.007286698054390459,True,75,12,45,True,0.023577685695265607,-0.0071447287972747,0.5733333333333334,0.01342481106374514,False
CALIBRATE_2022_EVALUATE_2023,C2,24,ATOM-USDT,42,7,124,12,True,4,FIT_PASS,True,True,False,0.029940279997888584,0.00897241653418034,0.030158908776600834,True,69,55,True,0.5027667984189723,-0.006799642096724581,-0.00037395710544055327,True,68,12,42,True,0.026222845387282066,-0.00730811955417525,0.5588235294117647,0.011481940766665212,False
CALIBRATE_2022_EVALUATE_2023,C2,24,AVAX-USDT,40,7,124,12,True,4,FIT_PASS,True,True,False,0.03068676999453555,0.004307693588654781,0.03482363172212638,True,69,55,True,0.5118577075098815,-0.007186478378646284,-0.0055313025844132,True,73,12,43,True,0.013186280506063758,-0.0049355634768306,0.5616438356164384,0.028696935143642712,False
CALIBRATE_2022_EVALUATE_2023,C2,24,BTC-USDT,38,7,100,11,True,4,FIT_PASS,True,True,False,0.0160163704412789,0.008851296702004054,0.0349399610734779,True,56,44,True,0.5117694805194806,-0.01459062021147519,-0.008106235084129554,True,66,11,42,True,0.03098261201850604,-0.00730451628518005,0.5454545454545454,0.00425619104566762,False
CALIBRATE_2022_EVALUATE_2023,C2,24,DOGE-USDT,45,8,119,11,True,4,FIT_PASS,True,False,False,0.03384320105431224,0.0045103169378055245,0.034660701959724434,True,67,52,True,0.493398392652124,-0.008620474825341964,-0.006532801114858211,False,73,11,46,True,0.02306347481916276,-0.0071519353352651,0.5753424657534246,0.014393851198154587,False
CALIBRATE_2022_EVALUATE_2023,C2,24,ETH-USDT,33,7,104,11,True,4,FIT_PASS,True,True,False,0.03257987598994284,0.004743159890642009,0.03177561043281686,True,60,44,True,0.5189393939393939,-0.015687882496411294,-0.004361313615029221,True,65,11,43,True,0.023027474267964584,-0.0049355634768306,0.5692307692307692,0.010312569984670863,False
CALIBRATE_2022_EVALUATE_2023,C2,24,GRAM-USDT,45,8,123,11,True,4,FIT_PASS,True,True,False,0.033230465663414054,0.005339111835611431,0.03454092711793072,True,68,55,True,0.5073529411764706,-0.009058212247123179,-0.005803238745222858,True,75,11,45,True,0.02324281045920871,-0.0071447287972747,0.5733333333333334,0.015083594142569793,False
CALIBRATE_2022_EVALUATE_2023,C2,24,KAS-USDT,45,8,121,11,True,4,FIT_PASS,True,True,False,0.04734024452327787,0.006699202583644335,0.03637525942524182,True,66,55,True,0.518595041322314,-0.01007959956461267,-0.005803238745222858,True,75,11,46,True,0.024203347617198456,-0.0071447287972747,0.5733333333333334,0.017512867579750596,False
CALIBRATE_2022_EVALUATE_2023,C2,24,LINK-USDT,45,8,119,11,True,4,FIT_PASS,True,True,False,0.03880380175401176,0.004905461485739556,0.03487021721524327,True,66,53,True,0.5087192681532304,-0.009641862142831456,-0.005803238745222858,True,72,11,45,True,0.024496153183027496,-0.0060771823800894,0.5694444444444444,0.013147068753090425,False
CALIBRATE_2022_EVALUATE_2023,C2,24,LTC-USDT,45,8,117,11,True,4,FIT_PASS,True,True,False,0.049505247342148166,0.004936050951917816,0.03967725710661505,True,65,52,True,0.507396449704142,-0.009495949668904394,-0.007795506680990695,True,73,11,44,True,0.024749400987943884,-0.0071447287972747,0.5753424657534246,0.018648701190491324,False
