transport_direction,universe_id,landmark_age_hours,train_period_id,evaluation_period_id,train_row_count,train_unique_positions,train_unique_pairs,train_unique_signal_days,evaluation_row_count,evaluation_unique_positions,evaluation_unique_pairs,evaluation_unique_signal_days,base_support_pass,design_rank,fit_status,predicted_negative_subset_row_count,predicted_negative_subset_unique_pairs,predicted_negative_subset_signal_days,predicted_negative_subset_support_pass,predicted_negative_subset_actual_mean_rcv,predicted_negative_subset_actual_median_rcv,predicted_negative_subset_actual_negative_fraction,predicted_nonnegative_complement_actual_mean_rcv,negative_subset_point_pass,lopo_run_count,all_lopo_negative_subset_pass,negative_subset_gate_pass,joint_cell_qualified
CALIBRATE_2022_EVALUATE_2023,D2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,FIT_PASS,25,10,21,True,0.01281044339960012,-0.0001820167455408,0.52,0.02115769182183486,False,13,False,False,False
CALIBRATE_2022_EVALUATE_2023,D2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,FIT_PASS,35,10,28,True,0.006001023805227874,-0.0031259034403008,0.5428571428571428,0.019155825500718468,False,13,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,126,126,14,71,True,4,FIT_PASS,80,13,49,True,0.01938031805414289,-0.007785411295144699,0.5875,0.033280810150039815,False,17,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,126,126,14,71,True,4,FIT_PASS,106,14,63,True,0.020343744374209105,-0.00157727122706125,0.5283018867924528,0.02727311919243085,False,17,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,FIT_PASS,45,10,31,True,0.009361971302595381,0.0069903350168265,0.4888888888888889,0.041211739622725174,False,13,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,FIT_PASS,41,11,29,True,0.016848791027942907,-0.0038428176139642,0.5365853658536586,0.018117589406525917,False,13,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,FIT_PASS,24,9,21,True,0.003345883584244145,-0.00250109630366635,0.625,0.007094864400241269,False,13,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,FIT_PASS,36,9,28,True,0.0020314560370338444,-0.0039989870630054,0.5833333333333334,0.00798681684137185,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,124,124,12,69,45,45,8,22,True,4,FIT_PASS,1,1,1,False,-0.0481364711181171,-0.0481364711181171,1.0,-0.021722798163868132,False,16,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,124,124,12,69,45,45,8,22,True,4,FIT_PASS,1,1,1,False,0.0036086714251597,0.0036086714251597,0.0,-0.02273334976767827,False,16,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,FIT_PASS,5,4,5,False,-0.015658867734883057,-0.012487734218027,0.6,-0.02771390970774243,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,FIT_PASS,9,7,5,False,-0.005692084423211765,-0.0128653984055343,0.6666666666666666,0.000763770072726877,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,FIT_PASS,10,5,7,False,-0.019174231203594752,-0.0004170489931762996,0.5,0.02578555622194796,False,13,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,FIT_PASS,13,7,8,False,-0.025709472907918758,-0.0277742667013645,0.8461538461538461,0.010912894947801913,False,13,False,False,False
