transport_direction,universe_id,landmark_age_hours,train_period_id,evaluation_period_id,train_row_count,train_unique_positions,train_unique_pairs,train_unique_signal_days,evaluation_row_count,evaluation_unique_positions,evaluation_unique_pairs,evaluation_unique_signal_days,base_support_pass,fit_status,design_rank,beta_intercept,beta_cdf_time_since_completed_high_water_hours,beta_cdf_recent_12h_high_water_increment_atr,beta_cdf_recent_12h_pullback_change_atr,joint_cell_qualified
CALIBRATE_2022_EVALUATE_2023,C2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,124,124,12,69,True,FIT_PASS,4,-0.1586975080359402,0.15531267037673413,0.09759529177257996,-0.013132122653436327,False
CALIBRATE_2022_EVALUATE_2023,C2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,124,124,12,69,True,FIT_PASS,4,0.15004072610121982,-0.003838079578549516,-0.25004317699059075,0.044652416954058395,False
CALIBRATE_2022_EVALUATE_2023,C2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,FIT_PASS,4,0.14237215776616455,-0.015712347536679598,-0.15829999230306438,-0.10698323588268366,False
CALIBRATE_2022_EVALUATE_2023,C2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,FIT_PASS,4,1.1291711845075905,-0.12456584908139395,-1.236870023549869,0.11806580168148761,False
CALIBRATE_2022_EVALUATE_2023,C2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,FIT_PASS,4,0.5593894467551703,-0.10700334183992322,-0.5717346715958042,-0.0016882332678105146,False
CALIBRATE_2022_EVALUATE_2023,C2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,FIT_PASS,4,0.11945053148956443,-0.07201206871089233,-0.14241734194067696,0.04778765465331401,False
CALIBRATE_2022_EVALUATE_2023,D2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,127,127,12,69,True,FIT_PASS,4,-0.1586975080359402,0.15531267037673413,0.09759529177257996,-0.013132122653436327,False
CALIBRATE_2022_EVALUATE_2023,D2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,127,127,12,69,True,FIT_PASS,4,0.15004072610121982,-0.003838079578549516,-0.25004317699059075,0.044652416954058395,False
CALIBRATE_2022_EVALUATE_2023,D2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,FIT_PASS,4,0.14237215776616455,-0.015712347536679598,-0.15829999230306438,-0.10698323588268366,False
CALIBRATE_2022_EVALUATE_2023,D2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,FIT_PASS,4,1.1291711845075905,-0.12456584908139395,-1.236870023549869,0.11806580168148761,False
CALIBRATE_2022_EVALUATE_2023,D2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,FIT_PASS,4,0.5593894467551703,-0.10700334183992322,-0.5717346715958042,-0.0016882332678105146,False
CALIBRATE_2022_EVALUATE_2023,D2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,FIT_PASS,4,0.11945053148956443,-0.07201206871089233,-0.14241734194067696,0.04778765465331401,False
CALIBRATE_2022_EVALUATE_2023,E2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,126,126,14,71,True,FIT_PASS,4,-0.1586975080359402,0.15531267037673413,0.09759529177257996,-0.013132122653436327,False
CALIBRATE_2022_EVALUATE_2023,E2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,126,126,14,71,True,FIT_PASS,4,0.15004072610121982,-0.003838079578549516,-0.25004317699059075,0.044652416954058395,False
CALIBRATE_2022_EVALUATE_2023,E2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,FIT_PASS,4,0.14237215776616455,-0.015712347536679598,-0.15829999230306438,-0.10698323588268366,False
CALIBRATE_2022_EVALUATE_2023,E2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,FIT_PASS,4,1.1291711845075905,-0.12456584908139395,-1.236870023549869,0.11806580168148761,False
CALIBRATE_2022_EVALUATE_2023,E2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,FIT_PASS,4,0.5593894467551703,-0.10700334183992322,-0.5717346715958042,-0.0016882332678105146,False
CALIBRATE_2022_EVALUATE_2023,E2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,FIT_PASS,4,0.11945053148956443,-0.07201206871089233,-0.14241734194067696,0.04778765465331401,False
CALIBRATE_2023_EVALUATE_2022,C2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,124,124,12,69,45,45,8,22,True,FIT_PASS,4,0.09449114247094392,-0.014706867855537719,-0.07890607494123458,-0.024326084892015504,False
CALIBRATE_2023_EVALUATE_2022,C2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,124,124,12,69,45,45,8,22,True,FIT_PASS,4,-0.05690659566996764,-0.021065926094101725,0.08587284089451123,0.027130559799016078,False
CALIBRATE_2023_EVALUATE_2022,C2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,FIT_PASS,4,0.03467866011843606,0.0035173490869588003,-0.00917005724619101,-0.04952395370921268,False
CALIBRATE_2023_EVALUATE_2022,C2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,FIT_PASS,4,0.08293494949439928,-0.054837220880521606,-0.02786181785248415,-0.046794418085592586,False
