source_component_id,rd16e_decision,carry_forward,verified
MTF_COMPRESSION_EXPANSION::FULL_REMEDIATION_STACK,RETAIN_FOR_COMPOSITE_RESEARCH,True,True
MTF_TREND_BREAKOUT::FULL_REMEDIATION_STACK,RETAIN_FOR_COMPOSITE_RESEARCH,True,True
