canonical_asset_id,historical_symbol,identity_status,identity_version,pair,source
1INCH,1INCH,RESOLVED,rd18-p1r-identity-v1,1INCH-USDT,P0B_confirmed_inventory
AAVE,AAVE,RESOLVED,rd18-p1r-identity-v1,AAVE-USDT,P0B_confirmed_inventory
ACH,ACH,RESOLVED,rd18-p1r-identity-v1,ACH-USDT,P0B_confirmed_inventory
ACS,ACS,RESOLVED,rd18-p1r-identity-v1,ACS-USDT,P0B_confirmed_inventory
ADA,ADA,RESOLVED,rd18-p1r-identity-v1,ADA-USDT,P0B_confirmed_inventory
ADX,ADX,RESOLVED,rd18-p1r-identity-v1,ADX-USDT,P0B_confirmed_inventory
AGI,AGI,RESOLVED,rd18-p1r-identity-v1,AGI-USDT,P0B_confirmed_inventory
AGIX2L,AGIX2L,RESOLVED,rd18-p1r-identity-v1,AGIX2L-USDT,P0B_confirmed_inventory
AGIX2S,AGIX2S,RESOLVED,rd18-p1r-identity-v1,AGIX2S-USDT,P0B_confirmed_inventory
AGLD,AGLD,RESOLVED,rd18-p1r-identity-v1,AGLD-USDT,P0B_confirmed_inventory
AIOZ,AIOZ,RESOLVED,rd18-p1r-identity-v1,AIOZ-USDT,P0B_confirmed_inventory
AKT,AKT,RESOLVED,rd18-p1r-identity-v1,AKT-USDT,P0B_confirmed_inventory
ALEPH,ALEPH,RESOLVED,rd18-p1r-identity-v1,ALEPH-USDT,P0B_confirmed_inventory
ALEX,ALEX,RESOLVED,rd18-p1r-identity-v1,ALEX-USDT,P0B_confirmed_inventory
ALGO,ALGO,RESOLVED,rd18-p1r-identity-v1,ALGO-USDT,P0B_confirmed_inventory
ALICE,ALICE,RESOLVED,rd18-p1r-identity-v1,ALICE-USDT,P0B_confirmed_inventory
ALPINE,ALPINE,RESOLVED,rd18-p1r-identity-v1,ALPINE-USDT,P0B_confirmed_inventory
AMP,AMP,RESOLVED,rd18-p1r-identity-v1,AMP-USDT,P0B_confirmed_inventory
ANKR,ANKR,RESOLVED,rd18-p1r-identity-v1,ANKR-USDT,P0B_confirmed_inventory
APE,APE,RESOLVED,rd18-p1r-identity-v1,APE-USDT,P0B_confirmed_inventory
API3,API3,RESOLVED,rd18-p1r-identity-v1,API3-USDT,P0B_confirmed_inventory
APT,APT,RESOLVED,rd18-p1r-identity-v1,APT-USDT,P0B_confirmed_inventory
APT2L,APT2L,RESOLVED,rd18-p1r-identity-v1,APT2L-USDT,P0B_confirmed_inventory
APT2S,APT2S,RESOLVED,rd18-p1r-identity-v1,APT2S-USDT,P0B_confirmed_inventory
AR,AR,RESOLVED,rd18-p1r-identity-v1,AR-USDT,P0B_confirmed_inventory
ARB,ARB,RESOLVED,rd18-p1r-identity-v1,ARB-USDT,P0B_confirmed_inventory
ARKM,ARKM,RESOLVED,rd18-p1r-identity-v1,ARKM-USDT,P0B_confirmed_inventory
ARPA,ARPA,RESOLVED,rd18-p1r-identity-v1,ARPA-USDT,P0B_confirmed_inventory
ARTFI,ARTFI,RESOLVED,rd18-p1r-identity-v1,ARTFI-USDT,P0B_confirmed_inventory
ARTY,ARTY,RESOLVED,rd18-p1r-identity-v1,ARTY-USDT,P0B_confirmed_inventory
ASTR,ASTR,RESOLVED,rd18-p1r-identity-v1,ASTR-USDT,P0B_confirmed_inventory
ATA,ATA,RESOLVED,rd18-p1r-identity-v1,ATA-USDT,P0B_confirmed_inventory
ATOM,ATOM,RESOLVED,rd18-p1r-identity-v1,ATOM-USDT,P0B_confirmed_inventory
AUCTION,AUCTION,RESOLVED,rd18-p1r-identity-v1,AUCTION-USDT,P0B_confirmed_inventory
AUDIO,AUDIO,RESOLVED,rd18-p1r-identity-v1,AUDIO-USDT,P0B_confirmed_inventory
AURORA,AURORA,RESOLVED,rd18-p1r-identity-v1,AURORA-USDT,P0B_confirmed_inventory
AVA,AVA,RESOLVED,rd18-p1r-identity-v1,AVA-USDT,P0B_confirmed_inventory
AVAX,AVAX,RESOLVED,rd18-p1r-identity-v1,AVAX-USDT,P0B_confirmed_inventory
AXS,AXS,RESOLVED,rd18-p1r-identity-v1,AXS-USDT,P0B_confirmed_inventory
