variant,pair,canonical_asset_id,p0b_terminal_resolution,discovery_channels,restricted_membership
A_P0,ACS-USDT,ACS,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,ADA-USDT,ADA,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,AKRO-USDT,AKRO,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,ALGO-USDT,ALGO,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,AMB-USDT,AMB,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,AMIO-USDT,AMIO,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,ARPA-USDT,ARPA,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,ATOM-USDT,ATOM,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,AVAX-USDT,AVAX,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,BCH-USDT,BCH,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,BLOC-USDT,BLOC,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,BOLT-USDT,BOLT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,BOND-USDT,BOND,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,BTC-USDT,BTC,CONFIRMED_CURRENT_SEED_KLINE_VERIFIED_PAIR,current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,CELR-USDT,CELR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,CIX100-USDT,CIX100,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,CRO-USDT,CRO,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,DAPPT-USDT,DAPPT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,DAR-USDT,DAR,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,DC-USDT,DC,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,DERO-USDT,DERO,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,DOGS-USDT,DOGS,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,DOT-USDT,DOT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,ENQ-USDT,ENQ,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,EOSC-USDT,EOSC,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,ETH-USDT,ETH,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,FORESTPLUS-USDT,FORESTPLUS,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,FTT-USDT,FTT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,INVALID-RD18-USDT,INVALID-RD18,P0_OR_P0A_SOURCE,P0_OR_P0A_SOURCE,True
A_P0,KCS-USDT,KCS,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,KLAY-USDT,KLAY,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,LIT-USDT,LIT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,LUNA-USDT,LUNA,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,MAP-USDT,MAP,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,MKR-USDT,MKR,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,MSN-USDT,MSN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,MXW-USDT,MXW,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,NANO-USDT,NANO,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,NOIA-USDT,NOIA,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,ODE-USDT,ODE,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,OGO-USDT,OGO,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,ONE-USDT,ONE,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,ORN-USDT,ORN,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,PERP-USDT,PERP,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,POLS-USDT,POLS,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,PRE-USDT,PRE,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,QI-USDT,QI,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,RNDR-USDT,RNDR,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,RPL-USDT,RPL,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,SDT-USDT,SDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,SERO-USDT,SERO,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,SKY-USDT,SKY,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,SOL-USDT,SOL,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,SUKU-USDT,SUKU,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,SXP-USDT,SXP,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,USDC-USDT,,INVALID_OR_EXCLUDED_PRODUCT,announcement_explicit_spot_pair;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,VI-USDT,VI,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,VID-USDT,VID,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,VIDT-USDT,VIDT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,VOL-USDT,VOL,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,WGP-USDT,WGP,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,WIN-USDT,WIN,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,WOM-USDT,WOM,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,WXT-USDT,WXT,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,XEM-USDT,XEM,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,XTZ-USDT,XTZ,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,ZEC-USDT,ZEC,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
A_P0,ZKX-USDT,ZKX,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
B_P0A,1INCH-USDT,1INCH,CONFIRMED_CURRENT_SEED_KLINE_VERIFIED_PAIR,current_currency_non_causal_seed,True
B_P0A,AAVE-USDT,AAVE,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,ACH-USDT,ACH,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,ACS-USDT,ACS,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
B_P0A,ADA-USDT,ADA,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
B_P0A,ADX-USDT,ADX,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,AGLD-USDT,AGLD,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,AIOZ-USDT,AIOZ,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,AKT-USDT,AKT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,ALEPH-USDT,ALEPH,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,ALEX-USDT,ALEX,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,ALGO-USDT,ALGO,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
B_P0A,ALICE-USDT,ALICE,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,ALPINE-USDT,ALPINE,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,AMP-USDT,AMP,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,ANKR-USDT,ANKR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,True
B_P0A,APE-USDT,APE,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,API3-USDT,API3,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,APT-USDT,APT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,AR-USDT,AR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,ARB-USDT,ARB,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,True
B_P0A,ARKM-USDT,ARKM,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,ARPA-USDT,ARPA,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
B_P0A,ARTY-USDT,ARTY,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,ASTR-USDT,ASTR,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,ATA-USDT,ATA,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,ATOM-USDT,ATOM,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
B_P0A,AUCTION-USDT,AUCTION,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,AUDIO-USDT,AUDIO,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,AURORA-USDT,AURORA,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,AVAX-USDT,AVAX,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
B_P0A,AXS-USDT,AXS,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,AZERO-USDT,AZERO,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,BABYDOGE-USDT,BABYDOGE,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,BAL-USDT,BAL,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,BAND-USDT,BAND,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,BAT-USDT,BAT,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_listing;current_currency_non_causal_seed,True
B_P0A,BCH-USDT,BCH,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,True
