decision_time,variant,canonical_asset_id,member
2019-01-07T00:00:00+00:00,A_P0,BTC,True
2019-01-07T00:00:00+00:00,A_P0,ETH,True
2019-01-07T00:00:00+00:00,B_P0A,BTC,True
2019-01-07T00:00:00+00:00,B_P0A,ETH,True
2019-01-07T00:00:00+00:00,C_P0B,BTC,True
2019-01-07T00:00:00+00:00,C_P0B,ETH,True
2019-01-07T00:00:00+00:00,C_P0B,VET,True
2019-01-07T00:00:00+00:00,D_EVIDENCE_STRONG,BTC,True
2019-01-07T00:00:00+00:00,D_EVIDENCE_STRONG,ETH,True
2019-01-14T00:00:00+00:00,A_P0,ETH,True
2019-01-14T00:00:00+00:00,A_P0,BTC,True
2019-01-14T00:00:00+00:00,B_P0A,ETH,True
2019-01-14T00:00:00+00:00,B_P0A,BTC,True
2019-01-14T00:00:00+00:00,C_P0B,ETH,True
2019-01-14T00:00:00+00:00,C_P0B,BTC,True
2019-01-14T00:00:00+00:00,C_P0B,VET,True
2019-01-14T00:00:00+00:00,C_P0B,NEO,True
2019-01-14T00:00:00+00:00,D_EVIDENCE_STRONG,ETH,True
2019-01-14T00:00:00+00:00,D_EVIDENCE_STRONG,BTC,True
2019-01-21T00:00:00+00:00,A_P0,ETH,True
2019-01-21T00:00:00+00:00,A_P0,BTC,True
2019-01-21T00:00:00+00:00,B_P0A,ETH,True
2019-01-21T00:00:00+00:00,B_P0A,BTC,True
2019-01-21T00:00:00+00:00,C_P0B,ETH,True
2019-01-21T00:00:00+00:00,C_P0B,BTC,True
2019-01-21T00:00:00+00:00,D_EVIDENCE_STRONG,ETH,True
2019-01-21T00:00:00+00:00,D_EVIDENCE_STRONG,BTC,True
2019-01-28T00:00:00+00:00,A_P0,BTC,True
2019-01-28T00:00:00+00:00,A_P0,ETH,True
2019-01-28T00:00:00+00:00,B_P0A,BTC,True
2019-01-28T00:00:00+00:00,B_P0A,ETH,True
2019-01-28T00:00:00+00:00,C_P0B,BTC,True
2019-01-28T00:00:00+00:00,C_P0B,ETH,True
2019-01-28T00:00:00+00:00,D_EVIDENCE_STRONG,BTC,True
2019-01-28T00:00:00+00:00,D_EVIDENCE_STRONG,ETH,True
2019-02-04T00:00:00+00:00,A_P0,BTC,True
2019-02-04T00:00:00+00:00,A_P0,ETH,True
2019-02-04T00:00:00+00:00,B_P0A,BTC,True
2019-02-04T00:00:00+00:00,B_P0A,ETH,True
2019-02-04T00:00:00+00:00,C_P0B,BTC,True
2019-02-04T00:00:00+00:00,C_P0B,ETH,True
2019-02-04T00:00:00+00:00,D_EVIDENCE_STRONG,BTC,True
2019-02-04T00:00:00+00:00,D_EVIDENCE_STRONG,ETH,True
2019-02-11T00:00:00+00:00,A_P0,BTC,True
2019-02-11T00:00:00+00:00,A_P0,ETH,True
2019-02-11T00:00:00+00:00,B_P0A,BTC,True
2019-02-11T00:00:00+00:00,B_P0A,ETH,True
2019-02-11T00:00:00+00:00,C_P0B,BTC,True
2019-02-11T00:00:00+00:00,C_P0B,ETH,True
2019-02-11T00:00:00+00:00,D_EVIDENCE_STRONG,BTC,True
2019-02-11T00:00:00+00:00,D_EVIDENCE_STRONG,ETH,True
2019-02-18T00:00:00+00:00,A_P0,BTC,True
2019-02-18T00:00:00+00:00,A_P0,ETH,True
2019-02-18T00:00:00+00:00,B_P0A,BTC,True
2019-02-18T00:00:00+00:00,B_P0A,ETH,True
2019-02-18T00:00:00+00:00,C_P0B,BTC,True
2019-02-18T00:00:00+00:00,C_P0B,ETH,True
2019-02-18T00:00:00+00:00,D_EVIDENCE_STRONG,BTC,True
2019-02-18T00:00:00+00:00,D_EVIDENCE_STRONG,ETH,True
2019-02-25T00:00:00+00:00,A_P0,BTC,True
2019-02-25T00:00:00+00:00,A_P0,ETH,True
2019-02-25T00:00:00+00:00,B_P0A,BTC,True
2019-02-25T00:00:00+00:00,B_P0A,ETH,True
2019-02-25T00:00:00+00:00,C_P0B,BTC,True
2019-02-25T00:00:00+00:00,C_P0B,ETH,True
2019-02-25T00:00:00+00:00,D_EVIDENCE_STRONG,BTC,True
2019-02-25T00:00:00+00:00,D_EVIDENCE_STRONG,ETH,True
2019-03-04T00:00:00+00:00,A_P0,BTC,True
2019-03-04T00:00:00+00:00,A_P0,ETH,True
2019-03-04T00:00:00+00:00,B_P0A,BTC,True
2019-03-04T00:00:00+00:00,B_P0A,ETH,True
