decision_count,mean_eligible_count,variant,weeks_with_at_least_10,weeks_with_at_least_30,weeks_with_at_least_6,year
52,5.038461538461538,A_P0,12,0,14,2019
52,12.5,A_P0,52,0,52,2020
52,17.076923076923077,A_P0,52,0,52,2021
52,21.78846153846154,A_P0,52,0,52,2022
52,24.307692307692307,A_P0,52,0,52,2023
53,25.0,A_P0,53,0,53,2024
52,7.980769230769231,B_P0A,14,0,42,2019
52,21.23076923076923,B_P0A,52,5,52,2020
52,73.03846153846153,B_P0A,52,52,52,2021
52,189.25,B_P0A,52,52,52,2022
52,247.25,B_P0A,52,52,52,2023
53,293.79245283018867,B_P0A,53,53,53,2024
52,16.25,C_P0B,42,6,42,2019
52,37.51923076923077,C_P0B,52,52,52,2020
52,96.51923076923077,C_P0B,52,52,52,2021
52,222.23076923076923,C_P0B,52,52,52,2022
52,293.4423076923077,C_P0B,52,52,52,2023
53,354.49056603773585,C_P0B,53,53,53,2024
52,7.980769230769231,D_EVIDENCE_STRONG,14,0,42,2019
52,21.23076923076923,D_EVIDENCE_STRONG,52,5,52,2020
52,72.26923076923077,D_EVIDENCE_STRONG,52,52,52,2021
52,188.25,D_EVIDENCE_STRONG,52,52,52,2022
52,246.25,D_EVIDENCE_STRONG,52,52,52,2023
53,292.79245283018867,D_EVIDENCE_STRONG,53,53,53,2024
