baseline_eligible_count,comparison,decision_time,hysteresis_difference_count,mean_top_10_rank_displacement,top_10_added_members,top_10_exact_match,top_10_jaccard,top_10_removed_members,top_30_jaccard,top_30_overlap_count,top_6_exact_match,variant_eligible_count
3,A_P0_vs_C_P0B,2019-01-07T00:00:00+00:00,1,0.0,,False,0.6666666666666666,VET-USDT,0.6666666666666666,2,False,2
4,A_P0_vs_C_P0B,2019-01-14T00:00:00+00:00,2,0.0,,False,0.5,NEO-USDT;VET-USDT,0.5,2,False,2
2,A_P0_vs_C_P0B,2019-01-21T00:00:00+00:00,0,0.0,,True,1.0,,1.0,2,True,2
2,A_P0_vs_C_P0B,2019-01-28T00:00:00+00:00,0,0.0,,True,1.0,,1.0,2,True,2
2,A_P0_vs_C_P0B,2019-02-04T00:00:00+00:00,0,0.0,,True,1.0,,1.0,2,True,2
2,A_P0_vs_C_P0B,2019-02-11T00:00:00+00:00,0,0.0,,True,1.0,,1.0,2,True,2
2,A_P0_vs_C_P0B,2019-02-18T00:00:00+00:00,0,0.0,,True,1.0,,1.0,2,True,2
2,A_P0_vs_C_P0B,2019-02-25T00:00:00+00:00,0,0.0,,True,1.0,,1.0,2,True,2
2,A_P0_vs_C_P0B,2019-03-04T00:00:00+00:00,0,0.0,,True,1.0,,1.0,2,True,2
3,A_P0_vs_C_P0B,2019-03-11T00:00:00+00:00,0,0.0,,True,1.0,,1.0,3,True,3
13,A_P0_vs_C_P0B,2019-03-18T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;ETC-USDT;LTC-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.23076923076923078,3,False,3
13,A_P0_vs_C_P0B,2019-03-25T00:00:00+00:00,3,0.0,,False,0.3,ETC-USDT;LTC-USDT;NEO-USDT;ONT-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.23076923076923078,3,False,3
13,A_P0_vs_C_P0B,2019-04-01T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;ETC-USDT;LTC-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.23076923076923078,3,False,3
13,A_P0_vs_C_P0B,2019-04-08T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;ETC-USDT;LTC-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.23076923076923078,3,False,3
13,A_P0_vs_C_P0B,2019-04-15T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;ETC-USDT;LTC-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.23076923076923078,3,False,3
13,A_P0_vs_C_P0B,2019-04-22T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;ETC-USDT;LTC-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.23076923076923078,3,False,3
13,A_P0_vs_C_P0B,2019-04-29T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;ETC-USDT;LTC-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.23076923076923078,3,False,3
13,A_P0_vs_C_P0B,2019-05-06T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;ETC-USDT;LTC-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.23076923076923078,3,False,3
13,A_P0_vs_C_P0B,2019-05-13T00:00:00+00:00,3,0.0,,False,0.3,ETC-USDT;LTC-USDT;NEO-USDT;ONT-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.23076923076923078,3,False,3
13,A_P0_vs_C_P0B,2019-05-20T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;LTC-USDT;NEO-USDT;ONT-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.23076923076923078,3,False,3
13,A_P0_vs_C_P0B,2019-05-27T00:00:00+00:00,3,0.0,,False,0.3,ETC-USDT;LTC-USDT;NEO-USDT;ONT-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.23076923076923078,3,False,3
14,A_P0_vs_C_P0B,2019-06-03T00:00:00+00:00,3,0.0,,False,0.3,ETC-USDT;LTC-USDT;NEO-USDT;ONT-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.21428571428571427,3,False,3
15,A_P0_vs_C_P0B,2019-06-10T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;ETC-USDT;LTC-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.2,3,False,3
15,A_P0_vs_C_P0B,2019-06-17T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;ETC-USDT;LTC-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.2,3,False,3
15,A_P0_vs_C_P0B,2019-06-24T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;ETC-USDT;LTC-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.2,3,False,3
15,A_P0_vs_C_P0B,2019-07-01T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;ETC-USDT;LTC-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.2,3,False,3
15,A_P0_vs_C_P0B,2019-07-08T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;ETC-USDT;LTC-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.2,3,False,3
16,A_P0_vs_C_P0B,2019-07-15T00:00:00+00:00,3,0.0,,False,0.3,BCHSV-USDT;LTC-USDT;MTV-USDT;NEO-USDT;TRX-USDT;XLM-USDT;XRP-USDT,0.1875,3,False,3
