policy_id,portfolio_id,universe_id,cost_multiplier,period_id,trade_count,net_pnl,profit_factor
MB_FIRST_RETEST_RECLAIM_WITHIN_FROZEN_72H,UNION_FOCUS,D2,2.0,ROBUSTNESS_2022,43,-9865.924713688859,0.6302734528558825
MB_FIRST_RETEST_RECLAIM_WITHIN_FROZEN_72H,UNION_FOCUS,D2,2.0,ROBUSTNESS_2023,117,65584.30097322336,2.2497773997101125
MB_FIRST_RETEST_RECLAIM_WITHIN_FROZEN_72H,UNION_FOCUS,E2,1.0,ROBUSTNESS_2022,43,-8165.685302811841,0.6802366920358985
MB_FIRST_RETEST_RECLAIM_WITHIN_FROZEN_72H,UNION_FOCUS,E2,1.0,ROBUSTNESS_2023,119,54637.94770946915,1.9536644920601234
MB_FIRST_RETEST_RECLAIM_WITHIN_FROZEN_72H,UNION_FOCUS,E2,2.0,ROBUSTNESS_2022,43,-9865.924713688859,0.6302734528558825
MB_FIRST_RETEST_RECLAIM_WITHIN_FROZEN_72H,UNION_FOCUS,E2,2.0,ROBUSTNESS_2023,119,46663.40011280107,1.8042302044627416
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,C2,1.0,ROBUSTNESS_2022,42,-13320.267581018243,0.5683689453450301
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,C2,1.0,ROBUSTNESS_2023,106,43486.41822635474,2.2420392343326503
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,C2,2.0,ROBUSTNESS_2022,42,-14756.549611225679,0.5356285521124194
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,C2,2.0,ROBUSTNESS_2023,106,37284.84589199274,2.0361095080883773
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,D2,1.0,ROBUSTNESS_2022,42,-13320.267581018243,0.5683689453450301
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,D2,1.0,ROBUSTNESS_2023,107,46908.77311661666,2.3152844180237793
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,D2,2.0,ROBUSTNESS_2022,42,-14756.549611225679,0.5356285521124194
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,D2,2.0,ROBUSTNESS_2023,107,40643.9239624176,2.1097791099392325
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,E2,1.0,ROBUSTNESS_2022,42,-13320.267581018243,0.5683689453450301
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,E2,1.0,ROBUSTNESS_2023,106,47863.19888342343,2.3611953371092516
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,E2,2.0,ROBUSTNESS_2022,42,-14756.549611225679,0.5356285521124194
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,MOMENTUM_BREAKOUT,E2,2.0,ROBUSTNESS_2023,106,41549.41923264742,2.1495318764638114
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,C2,1.0,ROBUSTNESS_2022,25,-13385.62496184482,0.4016163163179905
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,C2,1.0,ROBUSTNESS_2023,75,33437.74975832159,2.1218426633456438
MB_ONE_BAR_BREAKOUT_LEVEL_HOLD,RELATIVE_STRENGTH_ROTATION,C2,2.0,ROBUSTNESS_2022,25,-14350.51366705237,0.37797326560259165
