canonical_asset_id,days_since_last_valid_candle,decision_time,eligible,largest_day_share,liquidity_rank,listing_age_days,missing_day_count,reason,reason_code,symbol,top_10,top_30,top_4,top_6,top_8,trailing_28d_mean_quote_volume_usdt,trailing_28d_median_daily_quote_volume_usdt,trailing_28d_sum_quote_volume_usdt,trailing_7d_median_quote_volume_usdt,valid_day_count,zero_volume_day_count
BTC,1,2021-05-10T00:00:00+00:00,True,0.06560516270244916,1,859,0,ELIGIBLE,ELIGIBLE,BTC-USDT,True,True,True,True,True,347205516.07313585,343858634.50455546,9721754450.047804,480164200.55983657,28,0
ETH,1,2021-05-10T00:00:00+00:00,True,0.0683199061239714,2,828,0,ELIGIBLE,ELIGIBLE,ETH-USDT,True,True,True,True,True,268237608.72953779,264815193.34337562,7510653044.427058,406093977.21196955,28,0
ADA,1,2021-05-10T00:00:00+00:00,True,0.09384451509969,3,583,0,ELIGIBLE,ELIGIBLE,ADA-USDT,True,True,True,True,True,73016225.80354635,62139254.0914806,2044454322.4992979,107239829.91194695,28,0
KCS,1,2021-05-10T00:00:00+00:00,True,0.08703567388429817,4,827,0,ELIGIBLE,ELIGIBLE,KCS-USDT,True,True,True,True,True,53813840.12831641,45540561.66784224,1506787523.5928595,91993231.09218222,28,0
BTC,1,2022-06-27T00:00:00+00:00,True,0.07196540930549553,1,1272,0,ELIGIBLE,ELIGIBLE,BTC-USDT,True,True,True,True,True,417968670.6905085,372007243.1714144,11703122779.334238,607042750.6102393,28,0
ETH,1,2022-06-27T00:00:00+00:00,True,0.08545545814440857,2,1241,0,ELIGIBLE,ELIGIBLE,ETH-USDT,True,True,True,True,True,220126196.44077733,200987689.19594467,6163533500.341765,310073725.9042632,28,0
ADA,1,2022-06-27T00:00:00+00:00,True,0.06192646662578101,3,996,0,ELIGIBLE,ELIGIBLE,ADA-USDT,True,True,True,True,True,31491890.165940396,31687531.976415336,881772924.6463311,51466315.622521415,28,0
DOT,1,2022-06-27T00:00:00+00:00,True,0.0720015015589653,4,449,0,ELIGIBLE,ELIGIBLE,DOT-USDT,True,True,True,True,True,11581641.435147801,10616992.774296768,324285960.1841384,17604188.432931695,28,0
KCS,1,2022-06-27T00:00:00+00:00,True,0.10451521697100662,5,1240,0,ELIGIBLE,ELIGIBLE,KCS-USDT,True,True,False,True,True,4412573.795967055,3522256.180272039,123552066.28707752,6862602.0895048445,28,0
BTC,1,2023-10-23T00:00:00+00:00,True,0.08348630215566168,1,1755,0,ELIGIBLE,ELIGIBLE,BTC-USDT,True,True,True,True,True,65920488.327720724,63770569.0044304,1845773673.1761804,87153183.49674332,28,0
