announcement_id,published_at,title,description,category,url,explicit_pairs,asset_codes,parsing_confidence,request_id
80356,2023-06-30T10:47:57+00:00,ST: KuCoin Delisting of Some Projects,"According to the Special Treatment Rules of KuCoin, the following projects have been disqualified, and the token will be removed from the platform:",delistings,https://www.kucoin.com/announcement/en-st-kucoin-delisting-of-some-projects-20230630?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-04-01_2023-07-01_p1
87567,2023-09-27T02:57:53+00:00,ST: KuCoin Will Delist Certain Projects,"According to the Special Treatment Rules of KuCoin, the following projects have been disqualified, and the tokens will be removed from the platform:",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-certain-projects-20230927?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
87158,2023-09-22T07:30:48+00:00,ST: KuCoin Will Delist the WAL Project,"In accordance to the requirement of the project team, the token (WAL) will be delisted from the platform.",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-the-wal-project-20230922?lang=en_US,,WAL,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
87102,2023-09-21T07:14:39+00:00,ST: KuCoin Will Delist Certain Projects,"According to the Special Treatment Rules of KuCoin, the following projects have been disqualified, and the tokens will be removed from the platform.",delistings,https://www.kucoin.com/announcement/st-kucoin-will-delist-certain-projects-20230921?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
86301,2023-09-11T07:15:13+00:00,ST: KuCoin Will Delist Certain Projects ,"According to the Special Treatment Rules of KuCoin, the following projects have been disqualified, and the tokens will be removed from the platform.",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-certain-projects-20230911?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
85492,2023-08-26T09:00:00+00:00,KuCoin Futures Will Delist USDT-Margined JST and SLP Contracts,KuCoin Futures Will Delist USDT-Margined JST and SLP Contracts,delistings,https://www.kucoin.com/announcement/en-kucoin-futures-will-delist-usdt-margined-jst-slp-contracts?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
85446,2023-08-25T10:36:45+00:00,ST: KuCoin Will Delist Certain Projects,ST: KuCoin Will Delist Certain Projects,delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-certain-projects?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
85230,2023-08-22T10:45:00+00:00,ST: KuCoin Delisting of Some Projects,ST: KuCoin Delisting of Some Projects,delistings,https://www.kucoin.com/announcement/en-st-kucoin-delisting-of-some-projects-0822?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
85040,2023-08-18T07:56:22+00:00,KuCoin Earn Will Delist ALGO Products,KuCoin Earn Will Delist ALGO Products,delistings,https://www.kucoin.com/announcement/en-kucoin-earn-will-delist-algo-products?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
84852,2023-08-14T09:59:19+00:00,POL Will Be Delisted From KuCoin Earn,POL Will Be Delisted From KuCoin Earn,delistings,https://www.kucoin.com/announcement/en-pol-will-be-delisted-from-kucoin-earn?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
84529,2023-08-10T02:12:25+00:00,ST: KuCoin Delisting of Some Projects ,ST: KuCoin Delisting of Some Projects,delistings,https://www.kucoin.com/announcement/en-st-kucoin-delisting-of-some-projects-0810?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
83904,2023-08-02T01:53:19+00:00,ST: KuCoin Delisting of Some Projects,ST: KuCoin Delisting of Some Projects,delistings,https://www.kucoin.com/announcement/en-st-kucoin-delisting-of-some-projects-0801?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
83562,2023-07-28T09:00:00+00:00,"KuCoin Futures Will Delist USDT Margined NFT, ERN Contracts","KuCoin Futures Will Delist USDT Margined NFT, ERN Contracts",delistings,https://www.kucoin.com/announcement/en-kucoin-futures-will-delist-usdt-margined-nft-ern-contracts?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
83196,2023-07-26T06:42:41+00:00,ST: KuCoin Delisting of Some Projects,ST: KuCoin Delisting of Some Projects,delistings,https://www.kucoin.com/announcement/en-st-kucoin-delisting-of-some-projects-0726?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
82993,2023-07-24T09:06:07+00:00,Delisting of QUARTZ and OXEN Products from KuCoin Earn,Delisting of QUARTZ and OXEN Products from KuCoin Earn,delistings,https://www.kucoin.com/announcement/en-delisting-of-quartz-and-oxen-products-from-kucoin-earn?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
82814,2023-07-21T10:00:00+00:00,"KuCoin Futures Will Delist USDT Margined API3, IOST Contracts","KuCoin Futures Will Delist USDT Margined API3, IOST Contracts",delistings,https://www.kucoin.com/announcement/en-kucoin-futures-will-delist-usdt-margined-api3-iost-contracts?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
82225,2023-07-14T11:00:00+00:00,KuCoin Futures Will Delist USDT Margined TLM Contract,KuCoin Futures Will Delist USDT Margined TLM Contract,delistings,https://www.kucoin.com/announcement/en-kucoin-futures-will-delist-usdt-margined-tlm-contract?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-07-01_2023-10-01_p1
93586,2023-12-21T07:51:40+00:00,ST: KuCoin Will Delist Certain Projects,"According to the Special Treatment Rules of KuCoin, the following projects have been disqualified, and the tokens will be removed from the platform:",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-certain-projects-20231221?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-10-01_2024-01-01_p1
93771,2023-12-20T02:23:41+00:00,KuCoin Earn Will Delist Waves Enterprise(WEST) Product,KuCoin Earn Will Delist Waves Enterprise(WEST) Product,delistings,https://www.kucoin.com/announcement/en-kucoin-earn-will-delist-waves-enterprise-west-product?lang=en_US,,WEST,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-10-01_2024-01-01_p1
91318,2023-11-23T02:34:02+00:00,ST: KuCoin Will Delist Certain Projects ,"According to the Special Treatment Rules of KuCoin, the following projects have been disqualified, and the tokens will be removed from the platform",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-certain-projects-1123?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-10-01_2024-01-01_p1
90555,2023-11-14T09:00:00+00:00,KuCoin Futures Will Delist USDT-Margined TOMO Contract,KuCoin Futures Will Delist USDT-Margined TOMO Contract,delistings,https://www.kucoin.com/announcement/en-kucoin-futures-will-delist-usdt-margined-tomo-contract?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-10-01_2024-01-01_p1
89876,2023-11-06T06:25:28+00:00,ST: KuCoin Will Delist Certain Project,"According to the Special Treatment Rules of KuCoin, the following project will be delisted and the token will be removed from the platform",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-certain-project-20231106?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-10-01_2024-01-01_p1
89803,2023-11-03T09:10:03+00:00,KuCoin Trading Bot Will Delist Reality Metaverse(RLTM),KuCoin Trading Bot Will Delist Reality Metaverse(RLTM),delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-reality-metaverse-rltm?lang=en_US,,RLTM,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-10-01_2024-01-01_p1
89713,2023-11-03T07:18:15+00:00,KuCoin Earn Will Delist Reality Metaverse(RLTM) Product,KuCoin Earn Will Delist Reality Metaverse(RLTM) Product,delistings,https://www.kucoin.com/announcement/en-kucoin-earn-will-delist-reality-metaverse-rltm-product?lang=en_US,,RLTM,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-10-01_2024-01-01_p1
89539,2023-10-31T11:32:19+00:00,KuCoin Trading Bot Will Delist SmartKey(SKEY),KuCoin Trading Bot Will Delist SmartKey(SKEY),delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-smartkey-skey?lang=en_US,,SKEY,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-10-01_2024-01-01_p1
88656,2023-10-24T07:15:01+00:00,ST: KuCoin Will Delist Certain Projects,"According to the Special Treatment Rules of KuCoin, the following projects have been disqualified, and the tokens will be removed from the platform.",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-certain-projects-20231024?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-10-01_2024-01-01_p1
88249,2023-10-17T06:31:19+00:00,KuCoin Earn Will Delist Mojito Swap,KuCoin Earn Will Delist Mojito Swap,delistings,https://www.kucoin.com/announcement/en-kucoin-earn-will-delist-mojito-swap?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2023-10-01_2024-01-01_p1
103786,2024-03-29T11:30:00+00:00,KuCoin Futures Will Delist USDT-Margined DGB Contract,KuCoin Futures Will Delist USDT-Margined DGB Contract,delistings,https://www.kucoin.com/announcement/en-kucoin-futures-will-delist-usdt-margined-dgb-contract?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-01-01_2024-04-01_p1
103407,2024-03-26T09:30:00+00:00,KuCoin Futures Will Delist USDT-Margined GNS and ANT Contracts,KuCoin Futures Will Delist USDT-Margined GNS and ANT Contracts,delistings,https://www.kucoin.com/announcement/en-kucoin-futures-will-delist-usdt-margined-gns-and-ant-contracts?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-01-01_2024-04-01_p1
101606,2024-03-12T10:00:00+00:00,KuCoin Futures Will Delist USDT-Margined STRAX Contract,KuCoin Futures Will Delist USDT-Margined STRAX Contract,delistings,https://www.kucoin.com/announcement/en-kucoin-futures-will-delist-usdt-margined-strax-contract?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-01-01_2024-04-01_p1
99861,2024-02-27T07:53:37+00:00,ST: KuCoin Will Delist Certain Projects,"According to the Special Treatment Rules of KuCoin, the following projects have been disqualified, and the tokens will be removed from the platform",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-certain-projects-20240227?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-01-01_2024-04-01_p1
98387,2024-02-05T14:04:48+00:00,KuCoin Earn Will Delist USDD Products,KuCoin Earn Will Delist USDD Products,delistings,https://www.kucoin.com/announcement/kucoin-earn-will-delist-usdd-products?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-01-01_2024-04-01_p1
98361,2024-02-05T08:38:48+00:00,The Margin Grid Trading Bot of USDD Will Be Temporarily Closed!,The Margin Grid Trading Bot of USDD Will Be Temporarily Closed!,delistings,https://www.kucoin.com/announcement/the-margin-grid-trading-bot-of-usdd-will-be-temporarily-closed?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-01-01_2024-04-01_p1
98216,2024-02-03T05:00:00+00:00,KuCoin Futures Will Delist USDT-Margined WSM Contract,KuCoin Futures Will Delist USDT-Margined WSM Contract,delistings,https://www.kucoin.com/announcement/en-kucoin-futures-will-delist-usdt-margined-wsm-contract?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-01-01_2024-04-01_p1
96955,2024-01-23T11:01:30+00:00,ST: KuCoin Will Delist Certain Projects,"According to the Special Treatment Rules of KuCoin, the following projects have been disqualified, and the tokens will be removed from the platform",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-certain-projects-20240123?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-01-01_2024-04-01_p1
96831,2024-01-19T13:27:59+00:00,KuCoin Earn Will Delist 1EARTH Products,KuCoin Earn Will Delist 1EARTH Products,delistings,https://www.kucoin.com/announcement/kucoin-earn-will-delist-1earth-products?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-01-01_2024-04-01_p1
96710,2024-01-19T06:56:10+00:00,"KuCoin Earn Will Delist the OLT, DIVI, VSYS, and IOST Products","KuCoin Earn Will Delist the OLT, DIVI, VSYS, and IOST Products",delistings,https://www.kucoin.com/announcement/en-kucoin-earn-will-delist-the-olt-divi-vsys-and-iost-products?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-01-01_2024-04-01_p1
114205,2024-06-28T02:42:09+00:00,ST: KuCoin Will Delist Certain Projects,"According to the Special Treatment Rules of KuCoin, the tokens will be removed from the platform.",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-certain-projects-20240628?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-04-01_2024-07-01_p1
112838,2024-06-18T03:58:54+00:00,KuCoin Futures Will Delist the DCUSDT Perpetual Contract ,KuCoin Futures Will Delist the DCUSDT Perpetual Contract,delistings,https://www.kucoin.com/announcement/en-kucoin-futures-will-delist-the-dcusdt-perpetual-contract?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-04-01_2024-07-01_p1
112816,2024-06-18T03:04:52+00:00,[Updated] KuCoin Futures will Delist the AGIXUSDT and OCEANUSDT Perpetual Contracts,KuCoin Futures will Delist the AGIXUSDT and OCEANUSDT Perpetual Contracts,delistings,https://www.kucoin.com/announcement/en-kucoin-futures-will-delist-the-fetusdt-gixusdt-and-oceanusdt-perpetual-contracts-2024-06-18?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-04-01_2024-07-01_p1
112726,2024-06-17T09:01:58+00:00,The Margin Services of AGIX Will Be Temporarily Closed!,"Due to the token merger of Fetch.AI (FET), SingularityNET (AGIX) and Ocean Protocol (OCEAN) into Artificial Superintelligence Alliance (ASI), KuCoin Margin will temporarily close the Margin services of SingularityNET (AGIX).",delistings,https://www.kucoin.com/announcement/kucoin-margin-notice-240617?lang=en_US,,AGIX;ASI;FET;OCEAN,LOW_NO_EXPLICIT_PAIR,announcement_delistings_2024-04-01_2024-07-01_p1
