pair,discovery_sources,current_metadata_non_causal
ACS-USDT,official_delistings_announcement:114591,False
ADA-USDT,official_new-listings_announcement:2158;preregistered_rd18_p0_probe_sample;repository_rd13_historical_kucoin_parquet,False
AKRO-USDT,official_new-listings_announcement:2677,False
ALGO-USDT,official_new-listings_announcement:2103,False
AMB-USDT,official_new-listings_announcement:47803,False
AMIO-USDT,official_new-listings_announcement:2546,False
ARPA-USDT,official_new-listings_announcement:2235,False
ATOM-USDT,official_new-listings_announcement:1966,False
AVAX-USDT,repository_rd13_historical_kucoin_parquet,False
BCH-USDT,official_new-listings_announcement:5325,False
BLOC-USDT,official_new-listings_announcement:2309,False
BOLT-USDT,official_new-listings_announcement:2224,False
BOND-USDT,official_delistings_announcement:115794,False
BTC-USDT,preregistered_rd18_p0_probe_sample;repository_rd13_historical_kucoin_parquet,False
CELR-USDT,official_delistings_announcement:126520,False
CIX100-USDT,official_new-listings_announcement:2116,False
CRO-USDT,official_new-listings_announcement:4027,False
DAPPT-USDT,official_new-listings_announcement:2270,False
DAR-USDT,official_delistings_announcement:114591,False
DC-USDT,official_delistings_announcement:128669,False
DERO-USDT,official_new-listings_announcement:2349,False
DOGS-USDT,official_new-listings_announcement:119687,False
DOT-USDT,preregistered_rd18_p0_probe_sample;repository_rd13_historical_kucoin_parquet,False
ENQ-USDT,official_new-listings_announcement:2399,False
EOSC-USDT,official_new-listings_announcement:2385,False
ETH-USDT,preregistered_rd18_p0_probe_sample;repository_rd13_historical_kucoin_parquet,False
FORESTPLUS-USDT,official_new-listings_announcement:2216,False
FTT-USDT,preregistered_rd18_p0_probe_sample,False
INVALID-RD18-USDT,preregistered_rd18_p0_probe_sample,False
KCS-USDT,preregistered_rd18_p0_probe_sample,False
KLAY-USDT,official_delistings_announcement:128669,False
LIT-USDT,official_delistings_announcement:126520,False
LUNA-USDT,official_new-listings_announcement:2493;preregistered_rd18_p0_probe_sample,False
MAP-USDT,official_new-listings_announcement:2828,False
MKR-USDT,official_new-listings_announcement:4329,False
MSN-USDT,official_delistings_announcement:118637,False
MXW-USDT,official_new-listings_announcement:2647,False
NANO-USDT,preregistered_rd18_p0_probe_sample,False
NOIA-USDT,official_new-listings_announcement:2260,False
ODE-USDT,official_new-listings_announcement:1813,False
OGO-USDT,official_new-listings_announcement:2200,False
ONE-USDT,official_new-listings_announcement:2441,False
ORN-USDT,official_delistings_announcement:127523,False
PERP-USDT,official_delistings_announcement:109108,False
POLS-USDT,official_delistings_announcement:115794,False
PRE-USDT,official_new-listings_announcement:5161,False
QI-USDT,official_delistings_announcement:131110,False
RNDR-USDT,official_delistings_announcement:115268,False
RPL-USDT,official_delistings_announcement:131110,False
SDT-USDT,official_new-listings_announcement:2493,False
SERO-USDT,official_new-listings_announcement:2241,False
SKY-USDT,official_new-listings_announcement:125943,False
SOL-USDT,preregistered_rd18_p0_probe_sample,False
SUKU-USDT,official_new-listings_announcement:4430,False
SXP-USDT,official_new-listings_announcement:2655,False
USDC-USDT,official_new-listings_announcement:5393,False
VI-USDT,official_new-listings_announcement:3410,False
VID-USDT,official_new-listings_announcement:2355;official_new-listings_announcement:2483,False
VIDT-USDT,official_new-listings_announcement:2667;official_new-listings_announcement:5339,False
VOL-USDT,official_new-listings_announcement:2107,False
WGP-USDT,official_new-listings_announcement:2248,False
WIN-USDT,official_new-listings_announcement:2331;official_new-listings_announcement:2337,False
WOM-USDT,official_new-listings_announcement:3654,False
WXT-USDT,official_new-listings_announcement:2161,False
XEM-USDT,official_delistings_announcement:111812;official_new-listings_announcement:2110,False
XTZ-USDT,official_new-listings_announcement:2122,False
ZEC-USDT,official_new-listings_announcement:2150,False
ZKX-USDT,official_delistings_announcement:117607,False
