year,listing_announcements,delisting_announcements,total_announcements,retrievable
2017,0,0,0,False
2018,1,0,1,True
2019,70,0,70,True
2020,83,0,83,True
2021,367,0,367,True
2022,210,0,210,True
2023,220,27,247,True
2024,427,100,527,True
