portfolio_id,universe_id,cost_multiplier,period_id,trade_count,net_pnl,profit_factor
MOMENTUM_ACCELERATION,C2,1.0,DISCOVERY_2019_2020,417,5311.939006874916,1.0270076570965465
MOMENTUM_ACCELERATION,C2,1.0,TEMPORAL_REPLICATION_2021,230,172748.01043270202,1.2887774007115878
MOMENTUM_ACCELERATION,C2,2.0,DISCOVERY_2019_2020,417,-7000.145749764952,0.9639433137698074
MOMENTUM_ACCELERATION,C2,2.0,TEMPORAL_REPLICATION_2021,230,128098.18117018354,1.2484038137992433
MOMENTUM_ACCELERATION,D2,1.0,DISCOVERY_2019_2020,415,24987.81285076921,1.1368864642949816
MOMENTUM_ACCELERATION,D2,1.0,TEMPORAL_REPLICATION_2021,231,234720.22069963475,1.315444644567621
MOMENTUM_ACCELERATION,D2,2.0,DISCOVERY_2019_2020,415,11617.812663197179,1.0642694777702557
MOMENTUM_ACCELERATION,D2,2.0,TEMPORAL_REPLICATION_2021,231,185660.863964308,1.2830833281700704
MOMENTUM_ACCELERATION,E2,1.0,DISCOVERY_2019_2020,417,5311.939006874916,1.0270076570965465
MOMENTUM_ACCELERATION,E2,1.0,TEMPORAL_REPLICATION_2021,230,172748.01043270202,1.2887774007115878
MOMENTUM_ACCELERATION,E2,2.0,DISCOVERY_2019_2020,417,-7000.145749764952,0.9639433137698074
MOMENTUM_ACCELERATION,E2,2.0,TEMPORAL_REPLICATION_2021,230,128098.18117018354,1.2484038137992433
MOMENTUM_BREAKOUT,C2,1.0,DISCOVERY_2019_2020,295,86226.7240767818,1.6732188813737883
MOMENTUM_BREAKOUT,C2,1.0,TEMPORAL_REPLICATION_2021,185,282906.3483365986,1.312677974323637
MOMENTUM_BREAKOUT,C2,2.0,DISCOVERY_2019_2020,295,73547.84804457665,1.566939213161085
MOMENTUM_BREAKOUT,C2,2.0,TEMPORAL_REPLICATION_2021,185,245387.19740354174,1.2874158509238673
MOMENTUM_BREAKOUT,D2,1.0,DISCOVERY_2019_2020,294,86926.72614874256,1.713662450337461
MOMENTUM_BREAKOUT,D2,1.0,TEMPORAL_REPLICATION_2021,188,296587.9855157804,1.3344694809199031
MOMENTUM_BREAKOUT,D2,2.0,DISCOVERY_2019_2020,294,74039.28076903013,1.5998587052620723
MOMENTUM_BREAKOUT,D2,2.0,TEMPORAL_REPLICATION_2021,188,257044.4286327291,1.3067176269455203
MOMENTUM_BREAKOUT,E2,1.0,DISCOVERY_2019_2020,295,86226.7240767818,1.6732188813737883
MOMENTUM_BREAKOUT,E2,1.0,TEMPORAL_REPLICATION_2021,185,282906.3483365986,1.312677974323637
MOMENTUM_BREAKOUT,E2,2.0,DISCOVERY_2019_2020,295,73547.84804457665,1.566939213161085
MOMENTUM_BREAKOUT,E2,2.0,TEMPORAL_REPLICATION_2021,185,245387.19740354174,1.2874158509238673
RELATIVE_STRENGTH_ROTATION,C2,1.0,DISCOVERY_2019_2020,251,56112.49243527569,1.5246381721446258
RELATIVE_STRENGTH_ROTATION,C2,1.0,TEMPORAL_REPLICATION_2021,140,285101.6574280477,1.4549844517378205
RELATIVE_STRENGTH_ROTATION,C2,2.0,DISCOVERY_2019_2020,251,46006.39074122355,1.4251073962827498
RELATIVE_STRENGTH_ROTATION,C2,2.0,TEMPORAL_REPLICATION_2021,140,248855.6539060807,1.425575402749335
RELATIVE_STRENGTH_ROTATION,D2,1.0,DISCOVERY_2019_2020,250,27532.368625729254,1.2518275421419631
RELATIVE_STRENGTH_ROTATION,D2,1.0,TEMPORAL_REPLICATION_2021,137,231536.14492558956,1.4890743962618924
RELATIVE_STRENGTH_ROTATION,D2,2.0,DISCOVERY_2019_2020,250,19106.82850624243,1.1735983975020963
RELATIVE_STRENGTH_ROTATION,D2,2.0,TEMPORAL_REPLICATION_2021,137,197708.4595719011,1.4477121211620516
RELATIVE_STRENGTH_ROTATION,E2,1.0,DISCOVERY_2019_2020,251,56112.49243527569,1.5246381721446258
RELATIVE_STRENGTH_ROTATION,E2,1.0,TEMPORAL_REPLICATION_2021,141,271652.1832452299,1.4244114848530107
RELATIVE_STRENGTH_ROTATION,E2,2.0,DISCOVERY_2019_2020,251,46006.39074122355,1.4251073962827498
RELATIVE_STRENGTH_ROTATION,E2,2.0,TEMPORAL_REPLICATION_2021,141,236719.6290190348,1.3965903234017205
UNION_ALL_RAW_QUALIFIED,C2,1.0,DISCOVERY_2019_2020,432,12658.443949804261,1.0626230077245296
UNION_ALL_RAW_QUALIFIED,C2,1.0,TEMPORAL_REPLICATION_2021,242,237047.80244191352,1.307843145993015
UNION_ALL_RAW_QUALIFIED,C2,2.0,DISCOVERY_2019_2020,432,-326.0667040638764,0.9983560483007523
UNION_ALL_RAW_QUALIFIED,C2,2.0,TEMPORAL_REPLICATION_2021,242,186993.0841139963,1.2762394264599861
UNION_ALL_RAW_QUALIFIED,D2,1.0,DISCOVERY_2019_2020,429,9970.905619099747,1.0489863764033245
UNION_ALL_RAW_QUALIFIED,D2,1.0,TEMPORAL_REPLICATION_2021,242,398462.5046866793,1.4969691192125425
UNION_ALL_RAW_QUALIFIED,D2,2.0,DISCOVERY_2019_2020,429,-2255.4851343122245,0.9887492344933358
UNION_ALL_RAW_QUALIFIED,D2,2.0,TEMPORAL_REPLICATION_2021,242,326584.78192010574,1.4580801797451766
UNION_ALL_RAW_QUALIFIED,E2,1.0,DISCOVERY_2019_2020,432,12658.443949804261,1.0626230077245296
UNION_ALL_RAW_QUALIFIED,E2,1.0,TEMPORAL_REPLICATION_2021,242,225572.17818564794,1.2902757744516566
UNION_ALL_RAW_QUALIFIED,E2,2.0,DISCOVERY_2019_2020,432,-326.0667040638764,0.9983560483007523
UNION_ALL_RAW_QUALIFIED,E2,2.0,TEMPORAL_REPLICATION_2021,242,177570.67523210988,1.2600461622267196
VOLATILITY_EXPANSION,C2,1.0,DISCOVERY_2019_2020,388,1135.669609577847,1.0062318695963752
VOLATILITY_EXPANSION,C2,1.0,TEMPORAL_REPLICATION_2021,213,271493.0170930974,1.433365169743762
VOLATILITY_EXPANSION,C2,2.0,DISCOVERY_2019_2020,388,-10085.27146955927,0.9439964236592077
VOLATILITY_EXPANSION,C2,2.0,TEMPORAL_REPLICATION_2021,213,218085.25963080808,1.395002825442044
VOLATILITY_EXPANSION,D2,1.0,DISCOVERY_2019_2020,391,-3705.435484852389,0.9802003516511589
VOLATILITY_EXPANSION,D2,1.0,TEMPORAL_REPLICATION_2021,213,333152.4448031608,1.5126957788827222
VOLATILITY_EXPANSION,D2,2.0,DISCOVERY_2019_2020,391,-13804.160029992265,0.9250149472519287
