portfolio_id,universe_id,cost_multiplier,timestamp,equity,cash,gross_exposure,gross_exposure_fraction,open_positions
MOMENTUM_BREAKOUT,C2,1.0,2019-01-01 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-02 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-03 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-04 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-05 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-06 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-07 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-08 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-09 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-10 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-11 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-12 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-13 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-14 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-15 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-16 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-17 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-18 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-19 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-20 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-21 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-22 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-23 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-24 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-25 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-26 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-27 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-28 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-29 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-30 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-01-31 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-01 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-02 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-03 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-04 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-05 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-06 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-07 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-08 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-09 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-10 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-11 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-12 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-13 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-14 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-15 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-16 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-17 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-18 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
MOMENTUM_BREAKOUT,C2,1.0,2019-02-19 23:00:00+00:00,100000.0,100000.0,0.0,0.0,0
