portfolio_id,universe_id,cost_multiplier,family_id,attributed_net_pnl,attributed_trade_equivalents
UNION_ALL_RAW_QUALIFIED,C2,1.0,MOMENTUM_ACCELERATION,97538.17654579256,341.25
UNION_ALL_RAW_QUALIFIED,C2,1.0,MOMENTUM_BREAKOUT,101242.73068638761,68.25
UNION_ALL_RAW_QUALIFIED,C2,1.0,RELATIVE_STRENGTH_ROTATION,51909.26842673056,78.08333333333333
UNION_ALL_RAW_QUALIFIED,C2,1.0,VOLATILITY_EXPANSION,-983.9292671929643,186.41666666666666
UNION_ALL_RAW_QUALIFIED,C2,2.0,MOMENTUM_ACCELERATION,70709.23499991793,341.25
UNION_ALL_RAW_QUALIFIED,C2,2.0,MOMENTUM_BREAKOUT,86100.27551019832,68.25
UNION_ALL_RAW_QUALIFIED,C2,2.0,RELATIVE_STRENGTH_ROTATION,42540.405691087566,78.08333333333333
UNION_ALL_RAW_QUALIFIED,C2,2.0,VOLATILITY_EXPANSION,-12682.898791271362,186.41666666666666
UNION_ALL_RAW_QUALIFIED,D2,1.0,MOMENTUM_ACCELERATION,261589.65486566396,357.4166666666667
UNION_ALL_RAW_QUALIFIED,D2,1.0,MOMENTUM_BREAKOUT,112468.52958414523,50.25
UNION_ALL_RAW_QUALIFIED,D2,1.0,RELATIVE_STRENGTH_ROTATION,35361.121785203395,70.25
UNION_ALL_RAW_QUALIFIED,D2,1.0,VOLATILITY_EXPANSION,-985.8959292335603,193.08333333333334
UNION_ALL_RAW_QUALIFIED,D2,2.0,MOMENTUM_ACCELERATION,210086.56054254272,357.4166666666667
UNION_ALL_RAW_QUALIFIED,D2,2.0,MOMENTUM_BREAKOUT,96771.42737993263,50.25
UNION_ALL_RAW_QUALIFIED,D2,2.0,RELATIVE_STRENGTH_ROTATION,28331.711974569393,70.25
UNION_ALL_RAW_QUALIFIED,D2,2.0,VOLATILITY_EXPANSION,-10860.4031112512,193.08333333333334
UNION_ALL_RAW_QUALIFIED,E2,1.0,MOMENTUM_ACCELERATION,93178.5151244762,340.25
UNION_ALL_RAW_QUALIFIED,E2,1.0,MOMENTUM_BREAKOUT,94126.76785143837,69.25
UNION_ALL_RAW_QUALIFIED,E2,1.0,RELATIVE_STRENGTH_ROTATION,51909.26842673056,78.08333333333333
UNION_ALL_RAW_QUALIFIED,E2,1.0,VOLATILITY_EXPANSION,-983.9292671929643,186.41666666666666
UNION_ALL_RAW_QUALIFIED,E2,2.0,MOMENTUM_ACCELERATION,67246.6933406343,340.25
UNION_ALL_RAW_QUALIFIED,E2,2.0,MOMENTUM_BREAKOUT,80140.4082875955,69.25
UNION_ALL_RAW_QUALIFIED,E2,2.0,RELATIVE_STRENGTH_ROTATION,42540.405691087566,78.08333333333333
UNION_ALL_RAW_QUALIFIED,E2,2.0,VOLATILITY_EXPANSION,-12682.898791271362,186.41666666666666
