portfolio_id,universe_id,gate_id,passed
MOMENTUM_BREAKOUT,C2,BASE_NET_RETURN_POSITIVE,True
MOMENTUM_BREAKOUT,C2,STRESS_2X_NET_RETURN_POSITIVE,True
MOMENTUM_BREAKOUT,C2,STRESS_2X_PROFIT_FACTOR_GTE_1_05,True
MOMENTUM_BREAKOUT,C2,STRESS_2X_MAX_DRAWDOWN_LTE_20PCT,False
MOMENTUM_BREAKOUT,C2,STRESS_2X_TRADES_GTE_75,True
MOMENTUM_BREAKOUT,C2,BOTH_SELECTION_PERIODS_NET_PNL_POSITIVE,True
MOMENTUM_BREAKOUT,C2,STRESS_2X_LARGEST_WINNER_REMOVAL_POSITIVE,True
MOMENTUM_BREAKOUT,C2,STRESS_2X_LOAO_MIN_REMAINING_PNL_POSITIVE,True
MOMENTUM_BREAKOUT,C2,STRESS_2X_LOYO_MIN_REMAINING_PNL_POSITIVE,True
MOMENTUM_BREAKOUT,C2,PF1_BREAK_EVEN_COST_MULTIPLIER_GTE_2,True
MOMENTUM_BREAKOUT,C2,CASH_FEASIBLE,True
MOMENTUM_BREAKOUT,D2,BASE_NET_RETURN_POSITIVE,True
MOMENTUM_BREAKOUT,D2,STRESS_2X_NET_RETURN_POSITIVE,True
MOMENTUM_BREAKOUT,D2,STRESS_2X_PROFIT_FACTOR_GTE_1_05,True
MOMENTUM_BREAKOUT,D2,STRESS_2X_MAX_DRAWDOWN_LTE_20PCT,False
MOMENTUM_BREAKOUT,D2,STRESS_2X_TRADES_GTE_75,True
MOMENTUM_BREAKOUT,D2,BOTH_SELECTION_PERIODS_NET_PNL_POSITIVE,True
MOMENTUM_BREAKOUT,D2,STRESS_2X_LARGEST_WINNER_REMOVAL_POSITIVE,True
MOMENTUM_BREAKOUT,D2,STRESS_2X_LOAO_MIN_REMAINING_PNL_POSITIVE,True
MOMENTUM_BREAKOUT,D2,STRESS_2X_LOYO_MIN_REMAINING_PNL_POSITIVE,True
MOMENTUM_BREAKOUT,D2,PF1_BREAK_EVEN_COST_MULTIPLIER_GTE_2,True
MOMENTUM_BREAKOUT,D2,CASH_FEASIBLE,True
MOMENTUM_BREAKOUT,E2,BASE_NET_RETURN_POSITIVE,True
MOMENTUM_BREAKOUT,E2,STRESS_2X_NET_RETURN_POSITIVE,True
