metric,composite_alpha_v1,composite_alpha_v2,absolute_delta,relative_delta
net_return,0.4911419814467017,0.916365563453498,0.4252235820067963,0.8657854511932843
cagr,0.0688426763887499,0.11447384855126796,0.045631172162518066,0.6628326287729133
monthly_geometric_return,0.0055634565509701,0.009072777790036568,0.003509321239066468,0.6307807398000704
maximum_drawdown,0.099340842472462,0.1130412238926507,0.0137003814201887,0.13791287731414745
profit_factor,1.338906211649608,1.409847927442455,0.07094171579284692,0.05298482834390821
win_rate,0.4061371841155234,0.41442953020134227,0.008292346085818858,0.020417598806860657
total_fees,32893.9737213666,51297.12691843805,18403.15319707145,0.5594688362360277
turnover_on_initial_equity,164.05982774750282,255.77096617587134,91.71113842836851,0.5590103298750079
minimum_cash,29657.560719591755,3359.8551604996246,-26297.70555909213,-0.8867116823171466
minimum_equity,96206.36168124848,95178.94982197955,-1027.4118592689338,-0.010679250740953713
