period,start_equity,end_equity,return,trade_count,architecture_id
2019-01,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V2
2019-02,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V2
2019-03,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V2
2019-04,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V2
2019-05,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V2
2019-06,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V2
2019-07,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V2
2019-08,100000.0,99185.60388756872,-0.008143961124312815,3,COMPOSITE_ALPHA_V2
2019-09,99185.60388756872,98598.10046615508,-0.005923273120155614,2,COMPOSITE_ALPHA_V2
2019-10,98598.10046615508,97109.88126960017,-0.015093791761898734,4,COMPOSITE_ALPHA_V2
2019-11,97109.88126960017,95490.52571550729,-0.016675497209157952,6,COMPOSITE_ALPHA_V2
2019-12,95490.52571550729,95490.52571550729,0.0,0,COMPOSITE_ALPHA_V2
2020-01,95490.52571550729,95319.92836251472,-0.0017865369544705079,2,COMPOSITE_ALPHA_V2
2020-02,95319.92836251472,104156.60330366873,0.09270542994479514,7,COMPOSITE_ALPHA_V2
2020-03,104156.60330366873,105692.87725280816,0.014749654850594762,3,COMPOSITE_ALPHA_V2
2020-04,105692.87725280816,115147.50878042437,0.08945381915378792,6,COMPOSITE_ALPHA_V2
2020-05,115147.50878042437,119644.23853881653,0.03905190660239999,15,COMPOSITE_ALPHA_V2
2020-06,119644.23853881653,117683.13536632911,-0.01639112084658534,12,COMPOSITE_ALPHA_V2
2020-07,117683.13536632911,122336.03334607946,0.03953750862658967,11,COMPOSITE_ALPHA_V2
2020-08,122336.03334607946,124408.88446388728,0.016943913098309116,15,COMPOSITE_ALPHA_V2
2020-09,124408.88446388728,120522.26835594766,-0.03124066359639943,9,COMPOSITE_ALPHA_V2
2020-10,120522.26835594766,123619.44328278159,0.025697947516941877,15,COMPOSITE_ALPHA_V2
