trade_count,final_equity,net_return,net_pnl,profit_factor,win_rate,maximum_drawdown,turnover,mean_holding_hours,policy_id,portfolio_id,universe_id,cost_multiplier,minimum_cash,maximum_active_escrow_slots
555,77627.9590408909,-0.22372040959109096,-22372.0409591091,0.7976275412654747,0.45225225225225224,0.3199460386423649,106.9879487011458,39.51171171171171,EVIDENCE_GATED_LIFECYCLE_IMMEDIATE_RECYCLE,MOMENTUM_BREAKOUT,D2,2.0,7674.128495762518,0.0
411,105824.2251129612,0.0582422511296119,5824.225112961198,1.0668862818863052,0.41119221411192214,0.14743396837974873,89.65338959726178,42.74452554744526,EVIDENCE_GATED_LIFECYCLE_IMMEDIATE_RECYCLE,RELATIVE_STRENGTH_ROTATION,D2,1.0,26258.659356378837,0.0
411,94131.99989866138,-0.05868000101338622,-5868.000101338621,0.9341243579161874,0.39659367396593675,0.17219066880945968,84.71204961824715,42.74452554744526,EVIDENCE_GATED_LIFECYCLE_IMMEDIATE_RECYCLE,RELATIVE_STRENGTH_ROTATION,D2,2.0,23853.728487153712,0.0
707,97258.0647507222,-0.027419352492777938,-2741.935249277798,0.9807402845428828,0.4596888260254597,0.217388222715736,145.3501565066602,40.584158415841586,EVIDENCE_GATED_LIFECYCLE_IMMEDIATE_RECYCLE,UNION_FOCUS,E2,1.0,8544.89303933389,0.0
707,78598.8859569702,-0.214011140430298,-21401.114043029796,0.8469254633500513,0.43564356435643564,0.3433880765379637,131.42776872774806,40.584158415841586,EVIDENCE_GATED_LIFECYCLE_IMMEDIATE_RECYCLE,UNION_FOCUS,E2,2.0,7929.935310969202,0.0
547,93674.94754620362,-0.06325052453796376,-6325.052453796379,0.9415727149462305,0.48811700182815354,0.22743773776932572,114.96428421122813,39.425959780621575,EVIDENCE_GATED_LIFECYCLE_IMMEDIATE_RECYCLE,MOMENTUM_BREAKOUT,E2,1.0,8330.824025368316,0.0
547,79093.50288601566,-0.20906497113984335,-20906.49711398434,0.8069077531109642,0.453382084095064,0.31724907489304593,106.11957686352513,39.425959780621575,EVIDENCE_GATED_LIFECYCLE_IMMEDIATE_RECYCLE,MOMENTUM_BREAKOUT,E2,2.0,7674.128495762518,0.0
408,102924.76341260827,0.029247634126082778,2924.7634126082703,1.0327453644631892,0.40931372549019607,0.14743396837974873,88.69212949622616,42.8014705882353,EVIDENCE_GATED_LIFECYCLE_IMMEDIATE_RECYCLE,RELATIVE_STRENGTH_ROTATION,E2,1.0,25775.166634890615,0.0
408,91537.76360158506,-0.08462236398414946,-8462.236398414942,0.9071175522164147,0.3946078431372549,0.18606837559870532,83.8364383332381,42.8014705882353,EVIDENCE_GATED_LIFECYCLE_IMMEDIATE_RECYCLE,RELATIVE_STRENGTH_ROTATION,E2,2.0,23160.789982946095,0.0
587,93981.64046190197,-0.06018359538098028,-6018.359538098026,0.9498874054489006,0.444633730834753,0.20313492958142343,123.32881486326754,40.93015332197615,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,UNION_FOCUS,C2,1.0,8850.814483139016,5.0
587,78694.26809544297,-0.21305731904557035,-21305.731904557033,0.8220358355836023,0.4190800681431005,0.309870259023737,113.37825927532694,40.93015332197615,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,UNION_FOCUS,C2,2.0,7981.180250957994,5.0
464,92022.72039495857,-0.07977279605041432,-7977.279605041433,0.916921047745119,0.4849137931034483,0.20376655380708275,99.80728770587277,39.04956896551724,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,C2,1.0,8550.601780207584,5.0
464,79756.84934633604,-0.20243150653663966,-20243.150653663964,0.7908400062992796,0.44612068965517243,0.26630039613850687,93.21673692546501,39.04956896551724,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,C2,2.0,7968.6716140377775,5.0
395,105224.28531390752,0.05224285313907506,5224.285313907516,1.0610378699804575,0.41265822784810124,0.14195629435506488,86.14714223428912,42.924050632911396,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,RELATIVE_STRENGTH_ROTATION,C2,1.0,9841.791153744638,5.0
395,93944.12139191008,-0.06055878608089915,-6055.878608089915,0.9307664299227069,0.40253164556962023,0.17491133184891489,81.52547053656617,42.924050632911396,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,RELATIVE_STRENGTH_ROTATION,C2,2.0,9075.870371502808,5.0
593,96903.23192967268,-0.03096768070327327,-3096.7680703273218,0.9740093313013064,0.43676222596964587,0.22625436897742696,122.6519393616685,41.035413153457,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,UNION_FOCUS,D2,1.0,8850.814483139016,5.0
593,81139.86849621758,-0.1886013150378243,-18860.131503782424,0.8415211082370708,0.4131534569983137,0.3320052292772074,112.84310585894458,41.035413153457,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,UNION_FOCUS,D2,2.0,7981.180250957994,5.0
473,90708.77467913408,-0.09291225320865926,-9291.225320865924,0.904927676158583,0.4714587737843552,0.2049455722038736,100.53295005802542,39.21353065539112,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,D2,1.0,8550.601780207584,5.0
473,78415.35898778003,-0.21584641012219974,-21584.641012219974,0.7808179825925542,0.4376321353065539,0.2881835261818961,93.87436561354139,39.21353065539112,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,D2,2.0,7968.6716140377775,5.0
399,105464.27468991367,0.05464274689913662,5464.274689913669,1.0650004014721461,0.41353383458646614,0.14195629435506488,86.63797976371453,42.67919799498747,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,RELATIVE_STRENGTH_ROTATION,D2,1.0,26147.598759556193,5.0
399,94088.0537503814,-0.05911946249618605,-5911.946249618602,0.9313556062206154,0.39849624060150374,0.17491133184891489,81.95199261735583,42.67919799498747,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,RELATIVE_STRENGTH_ROTATION,D2,2.0,23842.592215851117,5.0
589,95866.73122137043,-0.04133268778629573,-4133.268778629572,0.9652410202103794,0.44142614601018676,0.21890425049733575,122.53982745843079,40.98981324278438,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,UNION_FOCUS,E2,1.0,8850.814483139016,5.0
589,80268.49428666312,-0.19731505713336883,-19731.505713336883,0.8338303919826858,0.4159592529711375,0.32552770838917733,112.72699270164361,40.98981324278438,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,UNION_FOCUS,E2,2.0,7981.180250957994,5.0
466,92504.74671774643,-0.07495253282253578,-7495.253282253572,0.921431428402723,0.47639484978540775,0.21246288772743502,99.37310743610159,39.0343347639485,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,8550.601780207584,5.0
466,80127.89899161711,-0.19872101008382892,-19872.101008382888,0.7936861569272554,0.43991416309012876,0.2881242378251942,92.84202152601306,39.0343347639485,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,2.0,7968.6716140377775,5.0
397,102981.30171091492,0.029813017109149298,2981.3017109149223,1.0346501091542313,0.4105793450881612,0.14195629435506488,85.7798744823248,42.702770780856426,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,RELATIVE_STRENGTH_ROTATION,E2,1.0,25789.32536610155,5.0
397,91855.83718541714,-0.08144162814582856,-8144.162814582858,0.9073698110143193,0.3954659949622166,0.17913765958529318,81.17945746905797,42.702770780856426,EVIDENCE_GATED_LIFECYCLE_SLOT_ESCROW,RELATIVE_STRENGTH_ROTATION,E2,2.0,23241.268631149935,5.0
573,95710.23008253747,-0.04289769917462527,-4289.76991746253,0.9653234841313311,0.47294938917975565,0.201447382410283,120.9481885699414,44.397905759162306,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,UNION_FOCUS,C2,1.0,8822.070451894746,5.0
573,80530.87726976576,-0.19469122730234245,-19469.122730234245,0.8409427090670258,0.44502617801047123,0.306551996688945,111.3933972358315,44.397905759162306,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,UNION_FOCUS,C2,2.0,7974.655692339558,5.0
455,88512.49987700334,-0.11487500122996663,-11487.500122996658,0.8855757732210519,0.5098901098901099,0.22840665693081005,95.5914917600111,44.24395604395605,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,C2,1.0,8310.568292727123,5.0
455,76997.89984428929,-0.23002100155710703,-23002.10015571071,0.7706965032559954,0.46813186813186813,0.2956481480829226,89.47487228203643,44.24395604395605,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,C2,2.0,7757.235819790707,5.0
395,105224.28531390752,0.05224285313907506,5224.285313907516,1.0610378699804575,0.41265822784810124,0.14195629435506488,86.14714223428912,42.924050632911396,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,RELATIVE_STRENGTH_ROTATION,C2,1.0,9841.791153744638,5.0
395,93944.12139191008,-0.06055878608089915,-6055.878608089915,0.9307664299227069,0.40253164556962023,0.17491133184891489,81.52547053656617,42.924050632911396,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,RELATIVE_STRENGTH_ROTATION,C2,2.0,9075.870371502808,5.0
581,99168.31393936629,-0.008316860606337184,-831.6860606337141,0.9931983323625638,0.4612736660929432,0.2168083588650237,121.40448778125726,43.96729776247849,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,UNION_FOCUS,D2,1.0,8822.070451894746,5.0
581,83285.02315556307,-0.16714976844436924,-16714.976844436926,0.8623630962884585,0.4354561101549053,0.3220768795190509,111.82368879824932,43.96729776247849,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,UNION_FOCUS,D2,2.0,7974.655692339558,5.0
463,90338.51873327461,-0.09661481266725391,-9661.481266725386,0.9050830339950373,0.49892008639308855,0.24030565579286947,96.92422087855049,44.45572354211663,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,D2,1.0,8310.568292727123,5.0
463,78368.98810036476,-0.21631011899635244,-21631.01189963524,0.7874427656523222,0.46220302375809935,0.3065879025987299,90.6730535905201,44.45572354211663,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,D2,2.0,7757.235819790707,5.0
399,105464.27468991367,0.05464274689913662,5464.274689913669,1.0650004014721461,0.41353383458646614,0.14195629435506488,86.63797976371453,42.67919799498747,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,RELATIVE_STRENGTH_ROTATION,D2,1.0,26147.598759556193,5.0
399,94088.0537503814,-0.05911946249618605,-5911.946249618602,0.9313556062206154,0.39849624060150374,0.17491133184891489,81.95199261735583,42.67919799498747,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,RELATIVE_STRENGTH_ROTATION,D2,2.0,23842.592215851117,5.0
576,97537.86929696647,-0.02462130703033527,-2462.13070303353,0.9800348194041704,0.4704861111111111,0.199587041387914,121.43831317562471,44.185763888888886,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,UNION_FOCUS,E2,1.0,8822.070451894746,5.0
576,82025.21377252192,-0.1797478622747808,-17974.78622747808,0.8527930849634635,0.4427083333333333,0.3049431212355421,111.85215113862151,44.185763888888886,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,UNION_FOCUS,E2,2.0,7974.655692339558,5.0
456,90615.93674758983,-0.09384063252410169,-9384.063252410167,0.9072245398200993,0.5043859649122807,0.2476728476212238,95.70725519976504,44.46491228070175,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,8310.568292727123,5.0
456,78821.586080824,-0.2117841391917601,-21178.413919176004,0.7903828988474634,0.4649122807017544,0.31331081740017336,89.59864898703799,44.46491228070175,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,2.0,7757.235819790707,5.0
397,102981.30171091492,0.029813017109149298,2981.3017109149223,1.0346501091542313,0.4105793450881612,0.14195629435506488,85.7798744823248,42.702770780856426,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,RELATIVE_STRENGTH_ROTATION,E2,1.0,25789.32536610155,5.0
397,91855.83718541714,-0.08144162814582856,-8144.162814582858,0.9073698110143193,0.3954659949622166,0.17913765958529318,81.17945746905797,42.702770780856426,FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,RELATIVE_STRENGTH_ROTATION,E2,2.0,23241.268631149935,5.0
