symbol,missing_open_time,previous_observed_open_time,next_observed_open_time,missing_hour_overlaps_documented_outage
BTCUSDT,2023-03-24T13:00:00+00:00,2023-03-24T12:00:00+00:00,2023-03-24T14:00:00+00:00,True
ETHUSDT,2023-03-24T13:00:00+00:00,2023-03-24T12:00:00+00:00,2023-03-24T14:00:00+00:00,True
