timestamp,cash,market_value,equity,open_position_count
2020-01-21T00:00:00Z,100000.0,0.0,100000.0,0
2020-01-22T00:00:00Z,100000.0,0.0,100000.0,0
2020-01-23T00:00:00Z,100000.0,0.0,100000.0,0
2020-01-24T00:00:00Z,100000.0,0.0,100000.0,0
2020-01-25T00:00:00Z,100000.0,0.0,100000.0,0
2020-01-26T00:00:00Z,100000.0,0.0,100000.0,0
2020-01-27T00:00:00Z,100000.0,0.0,100000.0,0
2020-01-28T00:00:00Z,100000.0,0.0,100000.0,0
2020-01-29T00:00:00Z,100000.0,0.0,100000.0,0
2020-01-30T00:00:00Z,79423.37097546113,20450.788986717736,99874.15996217888,2
2020-01-31T00:00:00Z,79423.37097546113,21105.991294440355,100529.3622699015,2
2020-02-01T00:00:00Z,79423.37097546113,20581.527750049318,100004.89872551046,2
2020-02-02T00:00:00Z,79423.37097546113,20930.15483243946,100353.52580790059,2
2020-02-03T00:00:00Z,79423.37097546113,20785.049203331597,100208.42017879273,2
2020-02-04T00:00:00Z,79423.37097546113,20929.676084401,100353.04705986213,2
2020-02-05T00:00:00Z,79423.37097546113,20651.95978149466,100075.3307569558,2
2020-02-06T00:00:00Z,79423.37097546113,21668.198777524412,101091.56975298555,2
2020-02-07T00:00:00Z,79423.37097546113,22010.16314507198,101433.53412053312,2
2020-02-08T00:00:00Z,79423.37097546113,22037.520272463164,101460.8912479243,2
2020-02-09T00:00:00Z,79423.37097546113,22189.42013970213,101612.79111516327,2
2020-02-10T00:00:00Z,79423.37097546113,22794.889500652513,102218.26047611365,2
2020-02-11T00:00:00Z,79423.37097546113,22136.83616346242,101560.20713892355,2
2020-02-12T00:00:00Z,79423.37097546113,23102.10574886649,102525.47672432763,2
2020-02-13T00:00:00Z,79423.37097546113,23907.058284425708,103330.42925988685,2
2020-02-14T00:00:00Z,85320.21097079909,14892.874821270107,100213.08579206919,1
2020-02-15T00:00:00Z,85320.21097079909,15052.659622459812,100372.87059325891,1
2020-02-16T00:00:00Z,85320.21097079909,14415.994317172957,99736.20528797204,1
2020-02-17T00:00:00Z,85320.21097079909,14441.897499879487,99762.10847067858,1
2020-02-18T00:00:00Z,85320.21097079909,14119.5629510314,99439.77392183049,1
2020-02-19T00:00:00Z,85320.21097079909,14790.862848925857,100111.07381972494,1
2020-02-20T00:00:00Z,85320.21097079909,13966.18118376915,99286.39215456824,1
2020-02-21T00:00:00Z,85320.21097079909,13964.580425287286,99284.79139608638,1
2020-02-22T00:00:00Z,85320.21097079909,14084.637311427092,99404.84828222619,1
2020-02-23T00:00:00Z,85320.21097079909,14042.726543901921,99362.93751470101,1
2020-02-24T00:00:00Z,85320.21097079909,14464.744689120636,99784.95565991972,1
2020-02-25T00:00:00Z,85320.21097079909,14055.387088258483,99375.59805905758,1
2020-02-26T00:00:00Z,85320.21097079909,13560.461670365776,98880.67264116487,1
2020-02-27T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-02-28T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-02-29T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-01T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-02T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-03T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-04T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-05T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-06T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-07T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-08T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-09T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-10T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-11T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-12T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-13T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-14T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-15T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-16T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-17T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-18T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-19T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-20T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-21T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-22T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-23T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-24T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-25T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-26T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-27T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-28T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-29T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-30T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-03-31T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-04-01T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-04-02T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-04-03T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-04-04T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
2020-04-05T00:00:00Z,98860.62933946188,0.0,98860.62933946188,0
